0	 0, 0, 0
0.2	 0, 0, 0
0.4	 0, 0, 0
0.6	 0, 0, 0
0.8	 0, 0, 0
1	 0, 0, 0
1.2	 0, 0, 0
1.4	 0, 0, 0
1.6	 0, 0, 0
1.8	 0, 0, 0
2	 0, 0, 0
2.2	 0, 0, 0
2.4	 0, 0, 0
2.6	 0, 0, 0
2.8	 0, 0, 0
3	 0.0333333, 0, 0
3.2	 0.0666667, 0, 0
3.4	 0.1, 0, 0
3.6	 0.133333, 0, 0
3.8	 0.166667, 0, 0
4	 0.2, 0, 0
4.2	 0.233333, 0, 0
4.4	 0.266667, 0, 0
4.6	 0.3, 0, 0
4.8	 0.333333, 0, 0
5	 0.366667, 0, 0
5.2	 0.4, 0, 0
5.4	 0.433333, 0, 0
5.6	 0.466667, 0, 0
5.8	 0.5, 0, 0
6	 0.533333, 0, 0
6.2	 0.566667, 0, 0
6.4	 0.6, 0, 0
6.6	 0.633333, 0, 0
6.8	 0.666667, 0, 0
7	 0.7, 0, 0
7.2	 0.733333, 0, 0
7.4	 0.766667, 0, 0
7.6	 0.8, 0, 0
7.8	 0.833333, 0, 0
8	 0.866667, 0, 0
8.2	 0.9, 0, 0
8.4	 0.933333, 0, 0
8.6	 0.966667, 0, 0
8.8	 1, 0, 0
9	 1, 0, 0
9.2	 1, 0, 0
9.4	 1, 0, 0
9.6	 1, 0, 0
9.8	 1, 0, 0
10	 1, 0, 0
10.2	 1, 0, 0
10.4	 1, 0, 0
10.6	 1, 0, 0
10.8	 1, 0, 0
11	 1, 0, 0
11.2	 1, 0, 0
11.4	 1, 0, 0
11.6	 1, 0, 0
11.8	 1, 0, 0
12	 1, 0, 0
