0	 -4.5, 0, 0	 4.5, 0, 0
1	 -4.50042, 0, 0	 4.50042, 0, 0
2	 -4.52487, 0, 0	 4.52488, 0, 0
3	 -4.54756, 0, 0	 4.54759, 0, 0
4	 -4.56866, 0, 0	 4.5687, 0, 0
5	 -4.58832, 0, 0	 4.58838, 0, 0
6	 -4.60667, 0, 0	 4.60673, 0, 0
7	 -4.62381, 0, 0	 4.62389, 0, 0
8	 -4.63986, 0, 0	 4.63994, 0, 0
9	 -4.65491, 0, 0	 4.655, 0, 0
10	 -4.66902, 0, 0	 4.66912, 0, 0
11	 -4.68229, 0, 0	 4.6824, 0, 0
12	 -4.69478, 0, 0	 4.69489, 0, 0
13	 -4.70655, 0, 0	 4.70666, 0, 0
14	 -4.71764, 0, 0	 4.71776, 0, 0
15	 -4.72812, 0, 0	 4.72825, 0, 0
16	 -4.73803, 0, 0	 4.73816, 0, 0
17	 -4.7474, 0, 0	 4.74754, 0, 0
18	 -4.75628, 0, 0	 4.75642, 0, 0
19	 -4.7647, 0, 0	 4.76484, 0, 0
20	 -4.77269, 0, 0	 4.77284, 0, 0
21	 -4.78028, 0, 0	 4.78043, 0, 0
22	 -4.7875, 0, 0	 4.78765, 0, 0
23	 -4.79436, 0, 0	 4.79452, 0, 0
24	 -4.8009, 0, 0	 4.80106, 0, 0
25	 -4.80713, 0, 0	 4.80729, 0, 0
26	 -4.81307, 0, 0	 4.81324, 0, 0
27	 -4.81875, 0, 0	 4.81891, 0, 0
28	 -4.82416, 0, 0	 4.82433, 0, 0
29	 -4.82934, 0, 0	 4.82951, 0, 0
30	 -4.8343, 0, 0	 4.83447, 0, 0
31	 -4.83904, 0, 0	 4.83921, 0, 0
32	 -4.84358, 0, 0	 4.84375, 0, 0
33	 -4.84793, 0, 0	 4.8481, 0, 0
34	 -4.8521, 0, 0	 4.85227, 0, 0
35	 -4.8561, 0, 0	 4.85628, 0, 0
36	 -4.85994, 0, 0	 4.86012, 0, 0
37	 -4.86363, 0, 0	 4.86381, 0, 0
38	 -4.86717, 0, 0	 4.86736, 0, 0
39	 -4.87058, 0, 0	 4.87077, 0, 0
40	 -4.87386, 0, 0	 4.87405, 0, 0
41	 -4.87702, 0, 0	 4.8772, 0, 0
42	 -4.88006, 0, 0	 4.88024, 0, 0
43	 -4.88298, 0, 0	 4.88317, 0, 0
44	 -4.8858, 0, 0	 4.88599, 0, 0
45	 -4.88852, 0, 0	 4.88871, 0, 0
46	 -4.89115, 0, 0	 4.89134, 0, 0
47	 -4.89368, 0, 0	 4.89387, 0, 0
48	 -4.89613, 0, 0	 4.89632, 0, 0
49	 -4.89849, 0, 0	 4.89868, 0, 0
50	 -4.90077, 0, 0	 4.90096, 0, 0
51	 -4.90298, 0, 0	 4.90317, 0, 0
52	 -4.90511, 0, 0	 4.9053, 0, 0
53	 -4.90717, 0, 0	 4.90737, 0, 0
54	 -4.90917, 0, 0	 4.90936, 0, 0
55	 -4.9111, 0, 0	 4.9113, 0, 0
56	 -4.91297, 0, 0	 4.91317, 0, 0
57	 -4.91479, 0, 0	 4.91498, 0, 0
58	 -4.91654, 0, 0	 4.91674, 0, 0
59	 -4.91825, 0, 0	 4.91845, 0, 0
60	 -4.9199, 0, 0	 4.9201, 0, 0
61	 -4.9215, 0, 0	 4.9217, 0, 0
62	 -4.92306, 0, 0	 4.92325, 0, 0
63	 -4.92456, 0, 0	 4.92476, 0, 0
64	 -4.92603, 0, 0	 4.92623, 0, 0
65	 -4.92745, 0, 0	 4.92765, 0, 0
66	 -4.92883, 0, 0	 4.92903, 0, 0
67	 -4.93017, 0, 0	 4.93037, 0, 0
68	 -4.93148, 0, 0	 4.93168, 0, 0
69	 -4.93275, 0, 0	 4.93295, 0, 0
70	 -4.93398, 0, 0	 4.93418, 0, 0
71	 -4.93518, 0, 0	 4.93538, 0, 0
72	 -4.93635, 0, 0	 4.93655, 0, 0
73	 -4.93748, 0, 0	 4.93769, 0, 0
74	 -4.93859, 0, 0	 4.93879, 0, 0
75	 -4.93967, 0, 0	 4.93987, 0, 0
76	 -4.94072, 0, 0	 4.94092, 0, 0
77	 -4.94174, 0, 0	 4.94194, 0, 0
78	 -4.94273, 0, 0	 4.94294, 0, 0
79	 -4.9437, 0, 0	 4.94391, 0, 0
80	 -4.94465, 0, 0	 4.94485, 0, 0
81	 -4.94557, 0, 0	 4.94577, 0, 0
82	 -4.94647, 0, 0	 4.94667, 0, 0
83	 -4.94734, 0, 0	 4.94755, 0, 0
84	 -4.9482, 0, 0	 4.9484, 0, 0
85	 -4.94903, 0, 0	 4.94924, 0, 0
86	 -4.94985, 0, 0	 4.95005, 0, 0
87	 -4.95064, 0, 0	 4.95085, 0, 0
