0	 -14, 0, 00	 14, 0, 0
1	 -13, 0, 01	 13, 0, 0
2	 -12, 0, 02	 12, 0, 0
3	 -11, 0, 03	 11, 0, 0
4	 -10, 0, 04	 10, 0, 0
5	 -9, 0, 05	 9, 0, 0
6	 -8, 0, 06	 8, 0, 0
7	 -7, 0, 07	 7, 0, 0
8	 -6, 0, 08	 6, 0, 0
9	 -5, 0, 09	 5, 0, 0
10	 -7, 0, 010	 7, 0, 0
11	 -6, 0, 011	 6, 0, 0
12	 -5, 0, 012	 5, 0, 0
13	 -7, 0, 013	 4, 0, 0
14	 -9, 0, 014	 6, 0, 0
15	 -9, 0, 015	 6, 0, 0
16	 -9, 0, 016	 6, 0, 0
17	 -9, 0, 017	 6, 0, 0
18	 -9, 0, 018	 6, 0, 0
19	 -9, 0, 019	 6, 0, 0
20	 -9, 0, 020	 6, 0, 0
21	 -9, 0, 021	 6, 0, 0
22	 -9, 0, 022	 6, 0, 0
23	 -9, 0, 023	 6, 0, 0
24	 -9, 0, 024	 6, 0, 0
25	 -9, 0, 025	 6, 0, 0
26	 -9, 0, 026	 6, 0, 0
27	 -9, 0, 027	 6, 0, 0
28	 -9, 0, 028	 6, 0, 0
29	 -9, 0, 029	 6, 0, 0
30	 -9, 0, 030	 6, 0, 0
31	 -9, 0, 031	 6, 0, 0
32	 -9, 0, 032	 6, 0, 0
33	 -9, 0, 033	 6, 0, 0
34	 -9, 0, 034	 6, 0, 0
35	 -9, 0, 035	 6, 0, 0
36	 -9, 0, 036	 6, 0, 0
37	 -9, 0, 037	 6, 0, 0
38	 -9, 0, 038	 6, 0, 0
39	 -9, 0, 039	 6, 0, 0
40	 -9, 0, 040	 6, 0, 0
41	 -9, 0, 041	 6, 0, 0
42	 -9, 0, 042	 6, 0, 0
43	 -9, 0, 043	 6, 0, 0
44	 -9, 0, 044	 6, 0, 0
45	 -9, 0, 045	 6, 0, 0
46	 -9, 0, 046	 6, 0, 0
47	 -9, 0, 047	 6, 0, 0
48	 -9, 0, 048	 6, 0, 0
49	 -9, 0, 049	 6, 0, 0
50	 -9, 0, 050	 6, 0, 0
51	 -9, 0, 051	 6, 0, 0
52	 -9, 0, 052	 6, 0, 0
53	 -9, 0, 053	 6, 0, 0
54	 -9, 0, 054	 6, 0, 0
55	 -9, 0, 055	 6, 0, 0
56	 -9, 0, 056	 6, 0, 0
57	 -9, 0, 057	 6, 0, 0
58	 -9, 0, 058	 6, 0, 0
59	 -9, 0, 059	 6, 0, 0
60	 -9, 0, 060	 6, 0, 0
61	 -9, 0, 061	 6, 0, 0
62	 -9, 0, 062	 6, 0, 0
63	 -9, 0, 063	 6, 0, 0
64	 -9, 0, 064	 6, 0, 0
65	 -9, 0, 065	 6, 0, 0
66	 -9, 0, 066	 6, 0, 0
67	 -9, 0, 067	 6, 0, 0
68	 -9, 0, 068	 6, 0, 0
69	 -9, 0, 069	 6, 0, 0
70	 -9, 0, 070	 6, 0, 0
71	 -9, 0, 071	 6, 0, 0
72	 -9, 0, 072	 6, 0, 0
73	 -9, 0, 073	 6, 0, 0
74	 -9, 0, 074	 6, 0, 0
75	 -9, 0, 075	 6, 0, 0
76	 -9, 0, 076	 6, 0, 0
77	 -9, 0, 077	 6, 0, 0
78	 -9, 0, 078	 6, 0, 0
79	 -9, 0, 079	 6, 0, 0
80	 -9, 0, 080	 6, 0, 0
81	 -9, 0, 081	 6, 0, 0
82	 -9, 0, 082	 6, 0, 0
83	 -9, 0, 083	 6, 0, 0
84	 -9, 0, 084	 6, 0, 0
85	 -9, 0, 085	 6, 0, 0
86	 -9, 0, 086	 6, 0, 0
87	 -9, 0, 087	 6, 0, 0
88	 -9, 0, 088	 6, 0, 0
89	 -9, 0, 089	 6, 0, 0
90	 -9, 0, 090	 6, 0, 0
91	 -9, 0, 091	 6, 0, 0
92	 -9, 0, 092	 6, 0, 0
93	 -9, 0, 093	 6, 0, 0
94	 -9, 0, 094	 6, 0, 0
95	 -9, 0, 095	 6, 0, 0
96	 -9, 0, 096	 6, 0, 0
97	 -9, 0, 097	 6, 0, 0
98	 -9, 0, 098	 6, 0, 0
99	 -9, 0, 099	 6, 0, 0
