0	-28,28,1130,2929

0.5	-28.2461,28.2461,1139.84,2929

1	-28.3804,28.3804,1145.22,2929

1.5	-28.4829,28.4829,1149.32,2929

2	-28.5687,28.5687,1152.75,2929

2.5	-28.6434,28.6434,1155.74,2929

3	-28.7102,28.7102,1158.41,2929

3.5	-28.7712,28.7712,1160.85,2929

4	-28.8275,28.8275,1163.1,2929

4.5	-28.8801,28.8801,1165.21,2929

5	-28.9297,28.9297,1167.19,2929

5.5	-28.9766,28.9766,1169.06,2929

6	-29.0212,29.0212,1170.85,2929

6.5	-29.0639,29.0639,1172.56,2929

7	-29.1048,29.1048,1174.19,2929

7.5	-29.1457,29.1457,1175.83,2929

8	-29.1942,29.1942,1177.77,2929

8.5	-29.2494,29.2494,1179.98,2929

9	-29.3095,29.3095,1182.38,2929

9.5	-29.3698,29.3698,1184.79,2929

10	-29.4308,29.4308,1187.23,2929

10.5	-29.4913,29.4913,1189.65,2929

11	-29.5508,29.5508,1192.03,2929

11.5	-29.6107,29.6107,1194.43,2929

12	-29.6713,29.6713,1196.85,2929

12.5	-29.7335,29.7335,1199.34,2929

13	-29.7949,29.7949,1201.79,2929

13.5	-29.8548,29.8548,1204.19,2929

14	-29.9128,29.9128,1206.51,2929

14.5	-29.9679,29.9679,1208.72,2929

15	-30.0215,30.0215,1210.86,2929

15.5	-30.0739,30.0739,1212.96,2929

16	-30.1249,30.1249,1215,2929

16.5	-30.1745,30.1745,1216.98,2929

17	-30.2227,30.2227,1218.91,2929

17.5	-30.2693,30.2695,1220.78,2929

18	-30.3144,30.3145,1222.58,2929

18.5	-30.9394,31.017,1249.13,2983

19	-31.1996,31.2578,1259.15,3003

19.5	-31.3105,31.2786,1261.78,3027

20	-31.4207,31.3188,1264.79,3049

20.5	-31.4849,31.3512,1266.72,3053

21	-31.5294,31.403,1268.65,3053

21.5	-31.5633,31.4889,1271.04,3053

22	-31.5983,31.5689,1273.35,3061

22.5	-31.6426,31.6009,1274.87,3062

23	-31.6891,31.6356,1276.49,3066

23.5	-31.7298,31.6586,1277.77,3069

24	-31.7667,31.6583,1278.5,3070

24.5	-31.8012,31.6595,1279.21,3071

25	-31.8342,31.6748,1280.18,3074

25.5	-31.8643,31.6954,1281.19,3077

26	-31.8335,31.7536,1281.74,3082

26.5	-31.8118,31.8002,1282.24,3086

27	-31.8093,31.8188,1282.56,3090

27.5	-31.8386,31.9845,1286.46,3096

28	-31.8907,32.1,1289.81,3098

28.5	-31.9877,32.1782,1293.32,3104

29	-32.1153,32.2396,1297.1,3106

29.5	-32.2304,32.2891,1300.39,3112

30	-32.3319,32.3069,1302.78,3117

30.5	-32.4343,32.3954,1306.59,3119

31	-32.536,32.4737,1310.19,3129

31.5	-32.6347,32.5415,1313.53,3135

32	-32.7283,32.6023,1316.61,3146

32.5	-32.8143,32.7077,1320.44,3149

33	-32.8895,32.8482,1324.75,3155

33.5	-32.9463,32.9554,1328.03,3161

34	-33.0173,32.9965,1330.28,3169

34.5	-33.1059,33.0509,1333.14,3175

35	-33.189,33.1162,1336.1,3181

35.5	-33.2647,33.1925,1339.15,3192

36	-33.3312,33.2741,1342.11,3199

36.5	-33.3891,33.3504,1344.79,3203

37	-33.4083,33.4684,1347.53,3228

37.5	-34.084,33.9366,1370.41,3259

38	-34.2179,34.1527,1377.41,3290

38.5	-34.2264,34.2338,1379.2,3319

39	-34.2829,34.3267,1382.19,3347

39.5	-34.3395,34.4324,1385.44,3368

40	-34.3978,34.5224,1388.4,3383

40.5	-34.4472,34.6045,1391.03,3398

41	-34.4876,34.6777,1393.31,3412

41.5	-34.5329,34.738,1395.42,3427

42	-34.5845,34.7588,1396.87,3442

42.5	-34.5823,34.7861,1397.37,3454

43	-34.6283,34.8267,1399.1,3460

43.5	-34.6766,34.8662,1400.86,3473

44	-34.7232,34.9157,1402.78,3480

44.5	-34.7652,34.9489,1404.28,3488

45	-34.8073,34.9662,1405.47,3496

45.5	-34.9945,35.0013,1409.91,3512

46	-35.1333,35.0667,1414,3517

46.5	-35.206,35.0911,1415.94,3527

47	-35.2479,35.0653,1416.26,3532

47.5	-35.2765,35.0575,1416.68,3537

48	-35.2795,35.1183,1417.96,3545

48.5	-35.3004,35.1861,1419.73,3557

49	-35.3421,35.2506,1421.85,3565

49.5	-35.3992,35.3215,1424.41,3571

50	-35.4628,35.3552,1426.36,3578

50.5	-35.5284,35.4108,1428.78,3587

51	-35.5946,35.5104,1432.1,3595

51.5	-35.6579,35.6244,1435.65,3605

52	-35.7045,35.7185,1438.46,3613

52.5	-35.7379,35.7995,1440.75,3625

53	-35.7708,35.872,1442.86,3634

53.5	-35.8058,35.9458,1445.03,3641

54	-35.8446,36.0294,1447.48,3646

54.5	-35.9039,36.1323,1450.73,3654

55	-35.9778,36.229,1454.14,3663

55.5	-36.0322,36.3125,1456.9,3672

56	-36.3603,36.3856,1464.92,3696

56.5	-36.4694,36.453,1468.45,3722

57	-36.597,36.51,1472.14,3739

57.5	-36.5797,36.5614,1472.82,3763

58	-36.6073,36.6109,1474.36,3777

58.5	-36.7217,37.2149,1488.73,3801

59	-36.879,37.4914,1497.41,3823

59.5	-36.9202,37.5089,1498.58,3842

60	-36.9413,37.5536,1499.9,3850

60.5	-36.976,37.6209,1501.94,3866

61	-37.0376,37.688,1504.51,3880

61.5	-37.0936,37.7423,1506.72,3892

62	-37.1411,37.8133,1509.09,3905

62.5	-37.1844,37.902,1511.73,3921

63	-37.3398,37.9684,1516.16,3928

63.5	-37.3547,38.0271,1517.64,3941

64	-37.3986,38.0739,1519.45,3952

64.5	-37.4542,38.1091,1521.27,3967

65	-37.5159,38.1211,1522.74,3981

65.5	-37.5577,38.0455,1522.07,3993

66	-37.5997,38.0085,1522.17,4013

66.5	-37.6421,37.9459,1521.76,4023

67	-37.6912,37.9354,1522.53,4028

67.5	-37.7194,37.9565,1523.52,4044

68	-37.7486,38.0039,1525.05,4050

68.5	-37.7898,38.0745,1527.29,4060

69	-37.8601,38.1469,1530.14,4064

69.5	-37.8928,38.217,1532.2,4073

70	-37.9481,38.2865,1534.69,4088

70.5	-38.003,38.3577,1537.21,4096

71	-38.0558,38.4293,1539.7,4108

71.5	-38.1071,38.4966,1542.07,4117

72	-38.1573,38.5636,1544.42,4125

72.5	-38.2077,38.6299,1546.75,4134

73	-38.2524,38.7041,1549.13,4141

73.5	-38.2926,38.7799,1551.45,4151

74	-38.3425,38.8971,1554.79,4156

74.5	-38.416,38.9793,1557.91,4175

75	-39.1428,39.0428,1573.71,4199

75.5	-39.2853,39.1234,1578.17,4219

76	-39.2548,39.217,1579.44,4236

76.5	-39.2862,39.2587,1580.9,4264

77	-39.319,39.5767,1587.91,4289

77.5	-39.3577,39.7605,1592.36,4309

78	-39.3993,39.7928,1593.84,4325

78.5	-39.4451,39.8432,1595.77,4353

79	-39.5315,39.8986,1598.6,4378

79.5	-39.6071,39.9916,1601.97,4395

80	-39.6928,40.0484,1604.83,4416

80.5	-39.7934,40.0916,1607.7,4431

81	-39.8666,40.1377,1610.09,4440

81.5	-39.9174,40.1875,1612.1,4451

82	-39.9532,40.2348,1613.76,4463

82.5	-39.9599,40.2843,1614.88,4477

83	-39.8999,40.3303,1614.6,4490

83.5	-39.8999,40.3731,1615.46,4504

84	-39.9053,40.5208,1618.52,4516

84.5	-39.8945,40.7162,1622.22,4530

85	-39.9028,40.7547,1623.15,4551

85.5	-39.9213,40.7816,1624.06,4566

86	-39.9635,40.857,1626.41,4580

86.5	-40.0147,40.9067,1628.43,4597

87	-40.086,40.9765,1631.25,4608

87.5	-40.1615,41.0454,1634.14,4614

88	-40.2354,41.1096,1636.9,4625

88.5	-40.3126,41.1699,1639.65,4635

89	-40.3981,41.2276,1642.51,4648

89.5	-40.4781,41.2835,1645.23,4656

90	-40.5501,41.3373,1647.75,4672

90.5	-40.6196,41.3893,1650.18,4678

91	-40.6874,41.4397,1652.54,4690

91.5	-40.7516,41.4903,1654.84,4699

92	-40.8117,41.5358,1656.95,4711

92.5	-40.8707,41.5831,1659.08,4721

93	-40.9312,41.6202,1661.03,4731

93.5	-41.0156,41.6336,1662.98,4745

94	-41.245,41.6442,1667.78,4767

94.5	-41.5607,41.6957,1675.13,4794

95	-41.6548,41.7646,1678.39,4807

95.5	-41.7266,41.8682,1681.9,4830

96	-41.7763,41.9966,1685.46,4849

96.5	-41.8176,42.5944,1698.24,4878

97	-41.8538,42.7773,1702.62,4906

97.5	-41.9669,42.8261,1705.86,4923

98	-41.9652,42.864,1706.58,4942

98.5	-41.8812,42.8908,1705.44,4955

99	-41.9385,42.8844,1706.46,4975

99.5	-42.006,42.8314,1706.75,4992

100	-42.0707,42.7015,1705.44,5006

100.5	-42.1303,42.6434,1705.47,5025

101	-42.1985,42.6482,1706.93,5040

101.5	-42.253,42.6742,1708.54,5058

102	-42.2754,42.7067,1709.64,5073

102.5	-42.359,42.7056,1711.29,5095

103	-42.3814,42.7174,1711.98,5108

103.5	-42.6402,42.7493,1717.79,5126

104	-42.7721,42.7887,1721.22,5141

104.5	-42.8427,42.8476,1723.81,5161

105	-42.8828,42.9324,1726.3,5173

105.5	-42.9538,43.0034,1729.15,5187

106	-43.0374,43.0628,1732,5198

106.5	-43.1045,43.1139,1734.37,5206

107	-43.158,43.1668,1736.5,5222

107.5	-43.2085,43.2319,1738.81,5241

108	-43.255,43.2935,1740.97,5249

108.5	-43.3082,43.3521,1743.21,5259

109	-43.3616,43.4608,1746.45,5275

109.5	-43.423,43.6292,1751.04,5289

110	-43.4948,43.6932,1753.76,5306

110.5	-43.5622,43.7318,1755.88,5320

111	-43.6221,43.8402,1759.25,5335

111.5	-43.6628,43.9047,1761.35,5358

112	-43.6837,43.9594,1762.86,5372

112.5	-43.7056,44.0125,1764.36,5397

113	-44.0467,44.1508,1773.95,5416

113.5	-44.3126,44.2624,1781.5,5429

114	-44.4975,44.4067,1788.08,5448

114.5	-44.4552,44.5526,1790.16,5461

115	-44.5283,44.6468,1793.5,5480

115.5	-44.592,44.7275,1796.39,5503

116	-44.6866,44.7882,1799.5,5524

116.5	-44.8962,44.9805,1807.53,5537

117	-45.0095,44.9959,1810.11,5560

117.5	-45.0867,45.0282,1812.3,5584

118	-45.152,45.2658,1818.36,5604

118.5	-45.1806,45.4308,1822.23,5629

119	-45.2187,45.3328,1821.03,5640

119.5	-45.2544,45.2889,1820.87,5668

120	-45.2888,45.5006,1825.79,5688

120.5	-45.3204,45.5965,1828.34,5701

121	-45.3267,45.6654,1829.84,5716

121.5	-45.3378,45.731,1831.38,5735

122	-45.3599,45.7797,1832.79,5756

122.5	-45.389,45.7816,1833.41,5774

123	-45.4149,45.8003,1834.31,5788

123.5	-45.4424,45.8247,1835.34,5811

124	-45.4422,45.8609,1836.06,5829

124.5	-45.4506,45.8997,1837.01,5850

125	-45.4899,45.939,1838.58,5864

125.5	-45.5322,45.9801,1840.25,5881

126	-45.5777,46.0245,1842.04,5899

126.5	-45.6273,46.0711,1843.97,5917

127	-45.7079,46.1305,1846.77,5933

127.5	-45.7993,46.207,1850.13,5951

128	-45.8734,46.2777,1853.02,5974

