time_min,center_concentration_uM,average_concentration_uM
0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01
1.000000000000000056e-01,8.947337348437825355e+00,9.986105329945052844e+00
2.000000000000000111e-01,8.458508384993754348e+00,9.972220687405174644e+00
3.000000000000000444e-01,8.182194662500750226e+00,9.958393330312606651e+00
4.000000000000000222e-01,7.999790100258794112e+00,9.944769333256482824e+00
5.000000000000000000e-01,7.868074521638689589e+00,9.931543039822706476e+00
6.000000000000000888e-01,7.767286025012300144e+00,9.918893459802514911e+00
7.000000000000000666e-01,7.686988555438966308e+00,9.906951936316341190e+00
8.000000000000000444e-01,7.621104405446933683e+00,9.895797141087610882e+00
9.000000000000000222e-01,7.565836870747925325e+00,9.885462888812414306e+00
1.000000000000000000e+00,7.518685327901855509e+00,9.875949383531205328e+00
1.100000000000000089e+00,7.477931908398280036e+00,9.867233712533771239e+00
1.200000000000000178e+00,7.442353883213558063e+00,9.859278254223912796e+00
1.300000000000000044e+00,7.411053337031619392e+00,9.852036906668892868e+00
1.400000000000000133e+00,7.383351926153856937e+00,9.845459476334331939e+00
1.500000000000000000e+00,7.358723671610754025e+00,9.839494651317586715e+00
1.600000000000000089e+00,7.336750899109810042e+00,9.834091939593786691e+00
1.700000000000000178e+00,7.317094717419323935e+00,9.829202874718243166e+00
1.800000000000000044e+00,7.299474857679967066e+00,9.824781715375715763e+00
1.900000000000000133e+00,7.283655660733840520e+00,9.820785802460790137e+00
2.000000000000000000e+00,7.269436168847001944e+00,9.817175689404459504e+00
2.100000000000000089e+00,7.256642996290286973e+00,9.813915126241015585e+00
2.200000000000000178e+00,7.245125105471433180e+00,9.810970952671638656e+00
2.300000000000000266e+00,7.234749905880300425e+00,9.808312937594166669e+00
2.400000000000000355e+00,7.225400282814344877e+00,9.805913590172076866e+00
2.500000000000000000e+00,7.216972288292541116e+00,9.803747958956369857e+00
2.600000000000000089e+00,7.209373310370585486e+00,9.801793429711111116e+00
2.700000000000000178e+00,7.202520593535886029e+00,9.800029528605334050e+00
2.800000000000000266e+00,7.196340021178250446e+00,9.798437734747054151e+00
2.900000000000000355e+00,7.190765097304648634e+00,9.797001304243272202e+00
3.000000000000000000e+00,7.185736082649800238e+00,9.795705106786645189e+00
3.100000000000000089e+00,7.181199252766758079e+00,9.794535475006806990e+00
3.200000000000000178e+00,7.177106254333539326e+00,9.793480066343812851e+00
3.300000000000000266e+00,7.173413541975542707e+00,9.792527736908597902e+00
3.400000000000000355e+00,7.170081882189220934e+00,9.791668426633375333e+00
3.500000000000000000e+00,7.167075914011515003e+00,9.790893054932562123e+00
3.600000000000000089e+00,7.164363758287450423e+00,9.790193426071446936e+00
3.700000000000000178e+00,7.161916669003766778e+00,9.789562143445508013e+00
3.800000000000000266e+00,7.159708721355486638e+00,9.788992532006222547e+00
3.900000000000000355e+00,7.157716532118775454e+00,9.788478568108001099e+00
4.000000000000000000e+00,7.155919008597731334e+00,9.788014816101968663e+00
4.100000000000000533e+00,7.154297122960200817e+00,9.787596371049884780e+00
4.200000000000000178e+00,7.152833709211188662e+00,9.787218806984594011e+00
4.299999999999999822e+00,7.151513280406962103e+00,9.786878130190565628e+00
4.400000000000000355e+00,7.150321864004963501e+00,9.786570737024760547e+00
4.500000000000000000e+00,7.149246853490600628e+00,9.786293375842729958e+00
4.600000000000000533e+00,7.148276874630780320e+00,9.786043112632329510e+00
4.700000000000000178e+00,7.147401664884073469e+00,9.785817299998162966e+00
4.800000000000000711e+00,7.146611964654159266e+00,9.785613549170486536e+00
4.900000000000000355e+00,7.145899419209596815e+00,9.785429704745448376e+00
5.000000000000000000e+00,7.145256490215466272e+00,9.785263821890509917e+00
5.100000000000000533e+00,7.144676375927851986e+00,9.785114145775503758e+00
5.200000000000000178e+00,7.144152939199169161e+00,9.784979093011822115e+00
5.300000000000000711e+00,7.143680642526447855e+00,9.784857234904265511e+00
5.400000000000000355e+00,7.143254489452194100e+00,9.784747282338784657e+00
5.500000000000000000e+00,7.142869971694461917e+00,9.784648072146179487e+00
5.600000000000000533e+00,7.142523021445440712e+00,9.784558554797694541e+00
5.700000000000000178e+00,7.142209968332634773e+00,9.784477783303014320e+00
5.800000000000000711e+00,7.141927500586161770e+00,9.784404903192166714e+00
5.900000000000000355e+00,7.141672630001209221e+00,9.784339143476756817e+00
6.000000000000000000e+00,7.141442660324190506e+00,9.784279808493645092e+00
6.100000000000000533e+00,7.141235158728055588e+00,9.784226270546019677e+00
6.200000000000000178e+00,7.141047930074823746e+00,9.784177963262941091e+00
6.300000000000000711e+00,7.140878993692813204e+00,9.784134375607965950e+00
6.400000000000000355e+00,7.140726562422936574e+00,9.784095046472847557e+00
6.500000000000000000e+00,7.140589023712339056e+00,9.784059559799667127e+00
6.600000000000000533e+00,7.140464922555105787e+00,9.784027540179414117e+00
6.700000000000000178e+00,7.140352946099840281e+00,9.783998648880590565e+00
6.800000000000000711e+00,7.140251909761067495e+00,9.783972580265713148e+00
6.900000000000000355e+00,7.140160744687628736e+00,9.783949058558244261e+00
7.000000000000000000e+00,7.140078486455302631e+00,9.783927834924922351e+00
7.100000000000000533e+00,7.140004264864344030e+00,9.783908684843583003e+00
7.200000000000000178e+00,7.139937294733651463e+00,9.783891405727970891e+00
7.300000000000000711e+00,7.139876867594444398e+00,9.783875814784424918e+00
7.400000000000000355e+00,7.139822344195483339e+00,9.783861747078265836e+00
7.500000000000000000e+00,7.139773147740513082e+00,9.783849053789019479e+00
7.600000000000000533e+00,7.139728757786296676e+00,9.783837600635980181e+00
7.700000000000000178e+00,7.139688704736991021e+00,9.783827266457622684e+00
7.800000000000000711e+00,7.139652564876400653e+00,9.783817941929957129e+00
7.900000000000000355e+00,7.139619955885358138e+00,9.783809528410008838e+00
8.000000000000000000e+00,7.139590532797425837e+00,9.783801936892139395e+00
8.099999999999999645e+00,7.139563984349459602e+00,9.783795087066675222e+00
8.200000000000001066e+00,7.139540029688658862e+00,9.783788906470133995e+00
8.300000000000000711e+00,7.139518415401658658e+00,9.783783329718771071e+00
8.400000000000000355e+00,7.139498912833604827e+00,9.783778297816803970e+00
8.500000000000000000e+00,7.139481315669268469e+00,9.783773757532387094e+00
8.599999999999999645e+00,7.139465437750358134e+00,9.783769660834410686e+00
8.700000000000001066e+00,7.139451111106452252e+00,9.783765964384421920e+00
8.800000000000000711e+00,7.139438184177715918e+00,9.783762629078125883e+00
8.900000000000000355e+00,7.139426520211763716e+00,9.783759619631725357e+00
9.000000000000000000e+00,7.139415995816969840e+00,9.783756904208676275e+00
9.099999999999999645e+00,7.139406499657056315e+00,9.783754454082858487e+00
9.200000000000001066e+00,7.139397931273331110e+00,9.783752243334662424e+00
9.300000000000000711e+00,7.139390200021921373e+00,9.783750248576895459e+00
9.400000000000000355e+00,7.139383224114881799e+00,9.783748448707246581e+00
9.500000000000000000e+00,7.139376929754966739e+00,9.783746824685120913e+00
9.600000000000001421e+00,7.139371250354926701e+00,9.783745359330200841e+00
9.700000000000001066e+00,7.139366125833078058e+00,9.783744037140655436e+00
9.800000000000000711e+00,7.139361501977750990e+00,9.783742844129216465e+00
9.900000000000000355e+00,7.139357329873755376e+00,9.783741767675175893e+00
1.000000000000000000e+01,7.139353565384919165e+00,9.783740796390850036e+00
