#Time (minutes),total_volume (um^3),relative_volume,Hours,Phase
0,2494,100,0,G0/G1
30,2494,100,0.5,G0/G1
60,2494,100,1,G0/G1
90,2494,100,1.5,G0/G1
120,2494,100,2,G0/G1
150,2494,100,2.5,G0/G1
180,2494,100,3,G0/G1
210,2494,100,3.5,G0/G1
240,2494,100,4,G0/G1
270,2494,100,4.5,G0/G1
300,2494,100,5,G0/G1
330,2494,100,5.5,G0/G1
360,2494,100,6,G0/G1
390,2494,100,6.5,G0/G1
420,2494,100,7,G0/G1
450,2696.961248,108.1379811,7.5,S
480,2992.707031,119.9962723,8,S
510,3303.270877,132.448712,8.5,S
540,3592.92522,144.0627594,9,S
570,3847.758743,154.2806232,9.5,S
600,4064.722106,162.9800363,10,S
630,4245.827923,170.241697,10.5,S
660,4395.141751,176.2286187,11,S
690,4517.272462,181.1255999,11.5,S
720,4616.658455,185.1106036,12,S
750,4697.268384,188.342758,12.5,S
780,4762.511268,190.9587517,13,G2
810,4815.24684,193.0732494,13.5,G2
840,4857.839103,194.7810386,14,G2
870,4892.224109,196.1597477,14.5,G2
900,4919.977917,197.2725709,15,G2
930,4942.378562,198.1707523,15.5,G2
960,4960.459827,198.8957429,16,M
990,4975.056623,199.4810194,16.5,M
1020,4986.842609,199.953593,17,M
1050,4996.36105,200.3352466,17.5,M
1080,2477.745379,99.34825097,18,G0/G2
1110,2477.745379,99.34825097,18.5,G0/G1
1140,2480.851614,99.47279926,19,G0/G1
1170,2480.851614,99.47279926,19.5,G0/G1
1200,2483.361981,99.57345554,20,G0/G1
1230,2483.361981,99.57345554,20.5,G0/G1
1260,2485.391266,99.65482222,21,G0/G1
1290,2485.391266,99.65482222,21.5,G0/G1
1320,2487.032045,99.72061126,22,G0/G1
1350,2487.032045,99.72061126,22.5,G0/G1
1380,2488.358999,99.77381713,23,G0/G1
1410,2488.358999,99.77381713,23.5,G0/G1
1440,2489.432392,99.81685614,24,G0/G1
