id,x,y,z,radius,nuclear_radius,ms,mbx,dt
0.0,-15.0,0.0,0.0,5.0,3.15,1.0,0.0,0.0
1.0,15.0,0.0,0.0,5.0,3.15,-1.0,0.0,0.0
0.0,-13.5,0.0,0.0,5.0,3.15,1.0,0.0,0.1
1.0,13.5,0.0,0.0,5.0,3.15,-1.0,0.0,0.1
0.0,-12.5,0.0,0.0,5.0,3.15,1.0,0.0,0.2
1.0,12.5,0.0,0.0,5.0,3.15,-1.0,0.0,0.2
0.0,-11.5,0.0,0.0,5.0,3.15,1.0,0.0,0.3
1.0,11.5,0.0,0.0,5.0,3.15,-1.0,0.0,0.3
0.0,-10.5,0.0,0.0,5.0,3.15,1.0,0.0,0.4
1.0,10.5,0.0,0.0,5.0,3.15,-1.0,0.0,0.4
0.0,-9.5,0.0,0.0,5.0,3.15,1.0,0.0,0.5
1.0,9.5,0.0,0.0,5.0,3.15,-1.0,0.0,0.5
0.0,-8.5,0.0,0.0,5.0,3.15,1.0,0.0,0.6
1.0,8.5,0.0,0.0,5.0,3.15,-1.0,0.0,0.6
0.0,-7.5,0.0,0.0,5.0,3.15,1.0,0.0,0.7
1.0,7.5,0.0,0.0,5.0,3.15,-1.0,0.0,0.7
0.0,-6.5,0.0,0.0,5.0,3.15,1.0,0.0,0.8
1.0,6.5,0.0,0.0,5.0,3.15,-1.0,0.0,0.8
0.0,-5.5,0.0,0.0,5.0,3.15,1.0,0.0,0.9
1.0,5.5,0.0,0.0,5.0,3.15,-1.0,0.0,0.9
0.0,-4.5,0.0,0.0,5.0,3.15,1.0,0.0,1.0
1.0,4.5,0.0,0.0,5.0,3.15,-1.0,0.0,1.0
0.0,-3.514,0.0,0.0,5.0,3.15,1.0,0.0,1.1
1.0,3.514,0.0,0.0,5.0,3.15,-1.0,0.0,1.1
0.0,-4.141,0.0,0.0,5.0,3.15,0.0,0.0,1.2
1.0,4.141,0.0,0.0,5.0,3.15,0.0,0.0,1.2
0.0,-4.141,0.0,0.0,5.0,3.15,0.0,0.0,1.3
1.0,4.141,0.0,0.0,5.0,3.15,0.0,0.0,1.3
0.0,-4.17,0.0,0.0,5.0,3.15,0.0,0.0,1.4
1.0,4.17,0.0,0.0,5.0,3.15,0.0,0.0,1.4
0.0,-4.196,0.0,0.0,5.0,3.15,0.0,0.0,1.5
