0: 129,168,46
2: 13,191,133,64,233
3: 77,59,137,225,44,153
4: 200,141,206,113,149
5: 61,186,146,174,108,220
6: 82,15,94,193,221,150
7: 14,236,11,154,240,130
8: 76,256,163,19,115,52
9: 49,171,187,210,231,22
10: 29,114,248,212,175
11: 7,236,99,179,240,25
12: 146,121,243,253,126
13: 2,76,256,128,191,64
14: 7,236,165,198,130
15: 6,193,255,60,221,202
16: 145,128,252,205,196,245
17: 72,156,209,226
18: 197,136,190,84,75,73
19: 79,219,115,194,52,8
20: 67,109,171,187,195,222
21: 86,74,65,226,132,144
22: 87,231,120,207,49,9
23: 172,137,107,225,92,235
24: 77,173,238,152
25: 240,11,99,33,140
26: 177,242,45,174,195,222
27: 244,232
28: 188,48,249,116,246,124
29: 10,239,248
30: 57,31,205,43,250,122
31: 57,252,227,228,30,205
32: 254,46,253,178,243
33: 136,84,131,25,140
34: 103,97,134,154,151,130
35: 139,156,158,68,142,133
36: 74,132,67,138,83,160
37: 176,78,39,147,212,175
38: 148,154,151,240,66
39: 78,37,155,197,147
40: 204,158,87,207,233
41: 161,114,248,140,215,99
42: 180,79,115,217,234,164
43: 166,101,57,30,250,201
44: 102,169,235,137,3,153
45: 174,26,195,186,83,104
46: 32,0,168,178
47: 116,246,164,181,62
48: 188,28,183,249
49: 9,187,138,87,22,162
50: 189,152,89,96,161,215
51: 91,75,167,73,159,192
52: 170,194,247,19,76,8
53: 241,196,120,245,90,218
54: 250,80,185,82,94,201
55: 230,88,213,157,203,185
56: 117,208,223,255,172,202
57: 228,31,30,124,101,43
58: 230,97,213,251,150,198
59: 77,237,173,3,216,225
60: 125,221,15,93,107,202
61: 126,224,5,146,220
62: 164,47,217,227,100
63: 208,229,98,199,141,127
64: 241,196,233,2,128,13
65: 21,132,143,129,168,144
66: 148,38,81,136,190
67: 20,187,138,36,83,195
68: 123,142,170,191,133,35
69: 129,144,209
70: 242,222,109,134,148,151
71: 119,189,238,152
72: 17,204,156,158,86,226
73: 51,75,197,18,159,155
74: 86,21,36,132,162,138
75: 51,214,167,73,18,190
76: 256,8,13,52,170,191
77: 24,173,59,3,153
78: 176,37,39
79: 180,42,219,19,115
80: 90,250,122,203,54,185
81: 177,242,148,66,214,190
82: 6,94,193,201,135,54
83: 104,160,36,67,45,195
84: 197,136,18,147,33,131
85: 200,199,244
86: 74,226,21,162,72,204
87: 22,207,204,40,162,49
88: 55,157,231,218,203,210
89: 118,179,237,96,215,50
90: 245,122,218,80,203,53
91: 51,220,167,224,192
92: 172,23,223,235
93: 216,107,225,125,60,105
94: 82,6,54,185,230,150
95: 111,234,181
96: 237,173,89,152,50
97: 34,58,103,213,198,130
98: 166,149,141,127,135,63
99: 11,179,25,140,41,215
100: 252,227,217,62,145,163
101: 211,166,149,43,57
102: 169,44,153
103: 34,97,213,157,182,134
104: 186,106,121,83,160,45
105: 125,165,93,216,118
106: 121,104,178,243,160,143
107: 172,93,23,225,202,60
