0: 129,259,513,473,776,523
2: 265,437,518,539,588,669,924
3: 77,268,521,563,565,642
4: 913,917,524,878,585,785
5: 365,108,527,621,864,957,978
6: 150,282,640,793,326,260,531,82
7: 130,323,706,535,649,293,996
8: 470,256,683,703,765,543,297
9: 171,546,574,1005,746,750,187,869
10: 29,175,613,451,536,548
11: 445,307,551,696,988,405,179,572
12: 306,555,611,146,510,876
13: 319,316,470,558,829,265,437,549
14: 280,236,323,561,630,874,620
15: 193,326,1022,528,566,888
16: 901,882,903,512,741,252,569
17: 575,576
18: 797,356,197,579,769,341
19: 194,345,297,263,583,955,937
20: 109,171,746,476,586,962
21: 74,589,763,366,980,368,144
22: 979,989,371,593,301,546,750
23: 595,997,752,417,399,986
24: 418,322,598,646,870,992,865
25: 288,140,580,684,600,33
26: 982,45,573,603,390,471,383,768
27: 232,981,517,606
28: 1008,188,48,391,610,672,873
29: 175,613,10
30: 205,616,619,57,495,398,835
31: 1019,403,227,616,619,842,971
32: 254,253,1021,1020,559,597,622
33: 560,625,419,615,600,140,25
34: 261,533,459,628,836,103,97
35: 269,133,338,567,591,633,539
36: 266,804,138,267,438,160,557
37: 394,392,212,309,941,641
38: 154,262,66,645,698,733,860
39: 897,155,596,450,647,274
40: 454,87,298,651,811,233,734
41: 248,656,944,1012,486,810
42: 334,659,739,180,409,915
43: 452,363,661,717,747,919
44: 235,417,137,608,663,995,756,986
45: 104,26,573,666,471,768
46: 786,414,369,178,776,523,597,668
47: 475,447,670,781,889,794,246
48: 188,28,672,429,648,477
49: 301,479,284,654,792,948,674,803
50: 96,612,677,834,870,161,796
51: 313,681,727,815,73,340,759
52: 541,683,765,770,297,263,583
53: 218,90,685,434,444,812,487,538
54: 347,94,282,816,201,688,922
55: 185,715,824,422,404,692
56: 381,699,492,891,993,208
57: 495,228,705,906,30,568,616
58: 458,318,198,708,731,837,943
59: 388,498,525,714,841,268
60: 500,107,716,825,845,909,402
61: 220,278,719,957,621,126
62: 164,504,387,670,707,721,781
63: 401,285,506,723,863,199
64: 410,265,549,588,857,728,508
65: 143,294,520,730,132,987,710
66: 38,446,262,615,645,698,733,884,136
67: 270,557,671,736,952,267,427
68: 505,587,170,375,742,861
69: 513,609,748
70: 311,283,644,751,783,807,578,961
71: 497,431,638,653,755,322,152
72: 86,226,757,801,911,156,969,657
73: 305,51,815,596,759
74: 21,530,554,589,636,697,763,368
75: 313,341,658,766,815,930,940
76: 485,375,808,541,770,999
77: 3,268,642,772,325,388
78: 331,647,905,774
79: 219,778,937,915,409
80: 923,203,185,849,337,393,784
81: 550,788,935,1000,311,807,148,537
82: 135,260,528,687,6,942,793
83: 462,342,743,795,352,104,666,853
84: 797,356,131,545,617,264
85: 482,200,287,691,799,976
86: 72,366,226,744,801,984
87: 40,298,350,991,651,803
88: 295,379,1007,210,805,157,667
89: 481,405,349,572,789,809,946
90: 53,218,355,685,953,487,538,813
91: 360,820,1001,968,167,681,727,483
92: 223,373,822
93: 825,856,909,351,105,466,753,950
94: 347,54,827,282,626,816,489
95: 411,181,817,831
96: 50,612,834,423,796,384
97: 343,103,848,639,496,34,836
98: 974,277,314,838,363,717,166
99: 947,405,349,840,946,215,445,656
100: 227,842,858,461,448,702
101: 124,844,211,818,452,363,974
102: 846,735,722
103: 97,821,848,920,34,459,836
104: 45,666,83,743,853,471
105: 361,466,832,93,125,509,856
106: 143,1002,400,932,599,294,859
107: 60,500,402,291,773,862
108: 365,5,532,767,864,177,474,782
109: 20,594,746,867,476,134,586
110: 872,478,790,420,315
111: 648,875,480,601,447,700
112: 482,917,798,878,206
113: 332,939,484,275,802,602,880
