0: 129,259,513,473,523
2: 669,437,549,265,539,518,588
3: 642,521,565,268,563
4: 917,878,785,585,524,913
5: 365,978,864,174,527
6: 82,150,260,531,640,793
7: 996,323,706,130,649,535
8: 765,703,683,543,470,256
9: 750,187,869,546,574,1005
10: 771,175,536,29,613,548
11: 445,988,179,572,307,551
12: 876,555,510,306,146,611
13: 437,829,316,549,470,558
14: 280,236,630,620,323,874
15: 326,888,528,1022,193,566
16: 882,741,252,569,903,901
17: 139,576,575
18: 356,797,197,960,579,769
19: 955,194,937,345,263,583
20: 476,109,171,746,962,586
21: 258,144,589,74,368,980
22: 371,593,989,979,301,750,546
23: 595,399,997,172,752,372
24: 598,418,1003,646,322,992
25: 140,288,600,684,33,580,526
26: 768,390,603,45,982,573
27: 981,606,517
28: 1008,246,873,610,672
29: 175,10,613,542,239
30: 57,495,835,616,398,619
31: 1019,403,842,205,619,227
32: 1021,253,254,622,243,1020,559
33: 140,655,600,25,419,615
34: 261,533,459,628,103,97,836
35: 591,333,633,567,269,133,338
36: 804,266,138,557,160,438
37: 394,641,941,212,536,392
38: 154,262,66,860,645,698
39: 897,155,596,274,647,450
40: 298,454,233,811,87,651
41: 656,215,486,810,944,248
42: 409,334,584,180,885,659
43: 747,661,919,452,363,717,98
44: 756,995,663,608,986,417
45: 768,26,666,573,104,471
46: 786,668,776,597,523,369
47: 246,447,889,475,670,794
48: 477,534,672,429,873,188
49: 479,792,948,674,654,284
50: 96,612,796,161,677,870
51: 815,73,313,681,340,727
52: 541,770,263,765,683,583
53: 538,434,444,812,90,685
54: 922,201,688,347,94
55: 422,185,824,404,577,692
56: 492,993,699,381,891,208
57: 30,495,906,616,228,705
58: 458,318,943,198,708,731
59: 714,841,498,525,173,388
60: 107,402,825,845,909,716
61: 621,278,957,126,719,220
62: 504,721,387,781,164,707
63: 863,506,199,401,723,317
64: 410,241,728,319,857,265
65: 143,294,710,132,730,987
66: 38,446,262,698,733,884
67: 270,952,195,736,267,671
68: 742,861,587,170,505,375
69: 748,513
70: 961,283,644,751,807,311
71: 497,755,152,431,638,653
72: 657,911,156,757,226,969
73: 815,51,596,340,759,155
74: 589,21,554,368,763,636
75: 313,766,930,341,940,658
76: 541,808,770,375,999,191
77: 325,772,268,642,377,388
78: 331,647,905,774
79: 409,915,937,219
80: 203,393,784,337,923,849
81: 1000,148,242,537,550,807,788
82: 135,260,6,687,942,793
83: 352,795,462,666,104,743
84: 131,356,797,617,545,264
85: 976,287,1004,691,799,200
86: 757,366,226,984,744,801
87: 803,991,651,350,298,40
88: 157,1007,295,805,210,667
89: 789,481,809,179,572,946
90: 218,355,685,538,53,813
91: 820,681,727,1001,167,360
92: 223,822,373
93: 105,909,856,825,950,466
94: 347,827,282,626,816,922,54
95: 831,411,480,181,817
96: 50,423,612,384,834,796
97: 343,103,848,496,34,836
98: 717,277,363,974,838,43
99: 656,215,405,946,349,947
100: 858,227,702,448,461,842
101: 363,818,211,974,124,452,844
102: 846,722
103: 97,821,737,848,34,459
104: 853,471,743,83,666,45
105: 832,93,494,509,856,466
106: 932,400,294,1002,469,859
107: 500,402,862,845,60,773
108: 864,782,532,177,365,474
109: 476,134,594,20,867,746
110: 315,478,872,420
111: 875,601,700,480,794,447
112: 798,482,206,917,878
113: 802,939,880,602,275,332
114: 926,339,580,883,761,304
115: 885,951,739,814,353,488
116: 721,522,670,889,490,973
117: 581,963,408,386,492,891
118: 832,1017,494,970,789,421
119: 895,430,431,839,653
120: 434,660,499,370,898,685
121: 469,501,847,900,306,762
122: 902,245,503,393,784,855
123: 861,505,904,701
124: 906,844,529,1014,101,211
125: 1018,251,909,871,856,509
126: 502,719,851,912,278,61
127: 914,511,552,614,894,760
128: 354,1023,916,868,145,512
129: 515,0,516,276,259,513
130: 519,630,327,535,7,323
131: 356,84,625,140,545,526
132: 65,143,682,530,730,520
133: 669,887,269,35,539,338
134: 476,594,783,578,644,109
135: 82,260,894,528,552,687
136: 733,190,624,884,615,560
137: 281,563,986,235,635,756,565
138: 804,310,36,284,557,571
139: 17,575,286,662,676
140: 25,33,625,615,131,526
141: 627,913,690,602,585,908
142: 273,567,292,286,591,435
143: 65,682,599,294,710,132
144: 258,21,514,980,257,604
145: 512,607,758,956,354,128
146: 611,912,278,852,510,12
147: 693,709,617,264,443,309
148: 537,81,807,311,623,645
149: 314,838,627,290,440,679
150: 6,531,640,407,631,221
151: 320,634,637,283,311,623
152: 638,677,870,322,755,71
153: 886,325,455,642
154: 38,892,649,535,860,698
155: 159,897,759,39,73,596
156: 657,333,911,435,72,662
157: 182,491,920,88,805,667
158: 924,720,300,338,633,673
159: 329,652,897,759,155
160: 795,342,438,266,36,682
161: 689,947,677,50,349,796
162: 204,925,350,948,654,697
163: 703,543,729,488,954,956
164: 781,966,359,460,707,62
165: 910,561,458,198,712
166: 552,687,289,717,277,614
167: 91,727,360,214,968,766
168: 515,259,730,732,369,987
169: 735,373
170: 738,1010,505,375,808,68
171: 357,187,746,1005,962,20
172: 23,595,694,752,921,202
173: 525,764,498,629,59,834
174: 767,864,186,632,527,5
175: 771,10,29
176: 331,693,777,443
177: 242,550,108,782,474,397
178: 786,597,400,710,622,559
179: 789,89,421,988,572,11
180: 806,584,42,985,659
181: 475,966,794,817,95,480
182: 157,821,737,920,413,328,667
183: 787,534,391,605,718,830
184: 833,618,510,912,851
185: 55,489,923,422,849,715,824
186: 424,632,775,174,527,852
187: 357,171,9,643,869,1005
188: 873,648,700,429,48
189: 689,877,431,638,430,348
190: 136,624,884,279,344,433
191: 999,887,829,375,76,742
192: 441,800,544,396,890
193: 1022,255,760,15,894,528
194: 358,955,896,19,704,263
195: 67,270,962,736,899,586
196: 903,272,695,882,868,508
197: 274,907,18,797,769,305
198: 458,58,943,837,165,910
199: 290,680,690,723,63,506
200: 482,799,917,524,287,85
201: 54,688,919,289,942,347
202: 862,773,694,595,172,472
203: 393,487,80,538,923,813
204: 744,162,925,350,298,734
205: 1019,398,927,31,754,619
206: 308,878,929,112
207: 593,370,991,651,499,931
208: 562,826,933,492,699,56
209: 918,936,881,335,299,576
210: 406,938,667,379,1007,88
211: 332,101,818,939,1014,124
212: 926,761,548,37,941,536
213: 943,496,570,708,343,934
214: 968,945,779,940,167,766
215: 656,99,41,944,877,947
216: 990,225,949,753,498,629
217: 353,707,702,303,951,504
218: 953,355,231,898,90,685
219: 964,955,79,937
220: 1001,376,360,61,957,719
221: 972,854,150,531,959,631
222: 367,899,586,476,783,665
223: 92,581,822,556,963
224: 965,502,719,396,376,890
225: 949,216,498,382,841,967
226: 757,366,86,385,969,72
227: 858,971,100,403,31,842
228: 819,973,705,568,57,616
229: 562,826,975,664,606,517
230: 407,827,404,577,977,570
231: 989,218,953,898,979,379
232: 981,408
233: 518,454,720,983,811,40
234: 739,985,460,590,659,359
235: 986,374,417,997,635,137
236: 14,620,970,874,421,988
237: 990,753,466,1017,494,893
238: 865,428,992
239: 994,650,542,29
240: 996,432,780,446,649,698
241: 410,64,312,998,728,843
242: 1000,177,81,550,436,782
243: 1002,1020,501,675,559,32
244: 442,1004,664,606
245: 1006,122,302,393,487,855
246: 1008,47,28,873,447,889
247: 738,1010,449
248: 1012,304,711,451,486,41,944
249: 939,1014,453,880,389,529,507
250: 464,1016,747,661,688,456
251: 1018,125,871,972,854,731
252: 461,741,16,1019,842,569
253: 254,32,1020,790,745,439
254: 749,465,1021,253,32,745
255: 1022,193,493,1011,760,468
256: 354,470,1023,558,543,8
257: 515,516,604,258,144,732
258: 144,589,21,732,520,257
259: 515,0,129,168,523,369
260: 82,135,326,6,528,531
261: 327,34,425,533,628,519
262: 38,66,645,537,344,884
263: 704,541,52,194,19,583
264: 791,545,84,617,147,309
265: 319,549,2,410,64,588
266: 804,36,530,554,682,160
267: 67,736,557,427,571,671
268: 714,563,3,388,77
269: 742,567,587,887,133,35
270: 67,982,952,195,899,573
271: 634,459,637,628,737,547
272: 196,582,695,508,998,728
273: 861,567,587,142,292,701
274: 907,197,596,305,39,450
275: 785,585,484,802,113,602
276: 516,129,609,740,748,513
277: 440,717,98,166,614,838
278: 621,146,912,852,61,126
279: 341,658,433,190,624,579
280: 14,426,910,561,630,620
281: 137,714,841,563,967,635
282: 640,347,793,94,827,626
283: 70,578,644,151,634,311
284: 310,654,138,479,571,49
285: 401,1004,664,691,975
286: 139,662,292,676,142,435
287: 85,691,723,200,524,680
288: 600,25,684,726,580,883
289: 687,717,166,942,201,919
290: 627,199,690,149,679,506
291: 1022,1011,694,566,500,862
292: 676,701,273,142,286
293: 996,1009,780,307,551,706
294: 932,65,143,106,400,599,710
295: 958,805,715,953,355,1007,88
296: 428,646,497,755
297: 703,683,729,583,778,345
298: 204,350,734,40,454,87
299: 918,881,209,740,514,604
300: 454,158,720,673,801,734
301: 750,869,792,371,22,674
302: 1006,245,855,569,754,901
303: 217,353,758,954,702,448
304: 761,248,451,486,883,114
305: 815,930,596,769,274,197
306: 900,775,847,121,555,12,611
307: 1009,293,551,445,11,696
308: 206,878,785,484,929,416
309: 443,641,941,791,264,147
310: 804,654,138,284,697,636
311: 148,807,70,283,151,623
312: 410,241,983,931,811,843
313: 815,51,766,930,75,727
314: 908,149,818,974,838,627
315: 110,876,478,823,618,420
316: 999,829,13,770,765,470
317: 562,975,933,401,63,863
318: 58,977,708,731,631,854
319: 857,549,265,1023,558,916,64
320: 151,425,637,892,623,860
321: 886,325,865,772
322: 646,755,24,418,152,870
323: 7,706,874,14,130,630
324: 936,881,609
325: 886,321,153,77,772,642
326: 15,888,260,528,531,959
327: 261,425,130,519,892,535
328: 867,378,413,938,667,182
329: 159,774,897
330: 903,444,695,901,812,1006
331: 176,78,905,693
332: 908,818,211,939,113,602
333: 35,591,633,911,435,156
334: 409,814,915,778,42,885
335: 918,209,576,575,657,969
336: 343,934,491,692,848,920
337: 784,80,724,489,849,816
338: 539,924,158,133,35,633
339: 926,791,545,580,114,526
340: 483,681,73,51,928,759
341: 279,658,579,930,769,75
342: 795,462,160,932,682,599
343: 934,97,336,848,213,496
344: 935,433,537,788,262,190,884
345: 915,778,937,19,297,583
346: 397,779,940,935,658,433
347: 793,94,282,54,201,942
348: 430,395,944,877,189,1012
