0: 12,95,245,291,1,551,4,13,292,493
1: 12,95,245,47,237,70,0,65,551,238,71,466,627
2: 283,324,277,70,90,627,499,271,539
3: 15,74,515,526,435,243,78,290
4: 466,245,0,551,443,5,493,20,514,634,24
5: 584,552,582,245,4,76,293,466,443,514,25,24,434
6: 300,81,528,628,638,299,494,473,308,30,108,301,521,116
7: 292,34,373,123,283,332,331,493,129,20,32,128
8: 586,198,41,470,197,176,47,51,48,599
9: 517,95,291,229,243,416,547,619,501,19
10: 92,581,285,278,459,238,66,97,627,91
11: 576,238,48,54,71,72,53,76,232,293,97,466,541,597,636
12: 476,95,245,291,1,237,0,609,74,13
13: 553,74,515,252,443,12,245,291,0,102,101
14: 213,545,463,502,212,206,496,207,513
15: 553,74,55,3,252,210,107,540,526
16: 75,17,429,628,591,211,57,61,79,80
17: 75,205,429,16,246,213,545,560,571,593,591,212,58,610
18: 451,503,271,319,268,499
19: 292,633,122,283,9,517,95,291,90
20: 129,33,339,581,32,514,551,4,7,493,24
21: 33,339,488,447,514,104,293,97,434,588
22: 201,288,78,497,290,242,73,464,544
23: 27,37,345,133,352,112,577,461
24: 35,25,434,4,5,493,129,20,339,514,128,634
25: 565,135,35,340,347,24,434,108,602,109,301,300,5,582,339,438
26: 135,136,340,588,302,103,552,430,535,294,348
27: 37,23,102,101,505,577,553,515,635,483
28: 139,38,30,347,394,354,108,301,477,423
29: 302,246,260,560,552,430,571,582,592,641,135,110,109
30: 28,354,108,301,6,638,308,477,589
31: 123,142,124,332,323,324,372,418,621,118
32: 129,20,33,539,119,333,581,285,612,373,7,283,332,486
33: 129,20,339,374,326,333,581,21,32,130,285,447,514,97,527
34: 373,7,372,331,620,128,346,127,338,40,380,151,616
35: 565,471,39,25,340,347,24,527,40,129,339
36: 334,374,154,125,447,341,131,376,126,375
37: 438,27,23,128,102,101,345,133,346,127,505,577
38: 565,471,28,419,347,40,353,346,423,542,157
39: 450,471,389,525,35,527,154,130,546,388
40: 565,471,38,35,34,373,129,128,346,153,151,542,616,157
41: 170,586,8,169,470,406,408,176
42: 69,520,47,237,244,416,555,46,518
43: 190,613,186,231,187
44: 172,586,198,445,534,167,192
45: 448,572,168,173,195,464,630,236,244
