0: 12,95,695,1,651,13,551,4,466,245,493
1: 12,95,695,47,237,0,65,551,238,71,466,245
2: 283,332,277,70,627,499,90,539,32
3: 15,515,526,291,720,74,290,435,681,510
4: 466,245,0,443,5,493,20,514,634,24
5: 584,582,4,293,466,245,76,514,24,434
6: 300,109,81,638,628,664,641,299,308,116,30,108
7: 292,373,642,332,331,493,486,129,20,333,32,128,715
8: 170,586,198,41,723,470,197,47,48,599
9: 12,517,95,291,651,619,720,501,547,19
10: 581,285,495,692,459,238,66,92,97,627,696,91
11: 576,48,686,54,643,636,53,667,541,597,679
12: 9,95,695,609,291,1,237,651,0,13,619,720,74,252
13: 12,695,291,0,74,553,515,252,443,101
14: 502,212,463,672,206,496,213,513
15: 483,553,3,515,252,210,107,708,526,74
16: 75,429,684,628,211,57,591,80,528,61
17: 706,429,213,253,545,684,560,571,593,212,58,591
18: 451,503,704,697,319,268,499
19: 633,122,283,324,719,722,689,9,517,95,651
20: 129,33,581,32,514,551,4,466,7,493,24
21: 33,339,488,447,514,126,692,104,434,588
22: 242,464,431,544,243,676,700,78,497,290,681,73
23: 27,345,133,352,112,577,652,625,635,461
24: 715,25,434,4,5,129,20,339,514,634
25: 565,715,35,340,347,24,699,339,438
26: 294,710,302,552,430,535,716,103,135,588,729
27: 37,23,102,345,505,577,553,703,515,635
28: 139,38,30,347,394,699,301,108,438,477,423,354
29: 302,711,109,560,638,552,430,582,592,641,694,135
30: 28,301,108,6,638,308,116,477,354,114,589,110
31: 123,372,124,332,324,621,331,486,620,118,713,142,418
32: 648,20,33,539,119,333,581,285,612,7,332,486,2
33: 129,648,20,339,333,21,32,130,447,514,692
34: 380,662,373,642,338,151,40,646,616
35: 565,471,389,39,25,340,347,129,339,130,527
36: 334,374,154,125,447,126,131,376,341,375
37: 438,27,102,101,345,133,346,127,577,634,128
38: 565,450,139,471,28,347,688,353,423,685,419
39: 471,389,525,35,154,130,527,153,546,388,159
40: 688,373,642,129,471,34,153,616
41: 170,586,8,723,470,406,426,653,408
42: 69,520,47,237,244,416,555,46,197,518
43: 613,191,187,601,231,660
44: 665
45: 448,663,168,173,195
46: 165,168,195,426,518,482,190,411,42,520
47: 42,695,1,237,51,555,65,470,197,8,48,71,623,599
48: 11,686,54,71,623,643,53,667,232,599,198,8,47
49: 445,192,534,425,686,72,240,77
50: 427,201,630,178,202
