0: 335,103,98,326,105,5,4,292,348,21,66,279
1: 56,75,210,244,74,245,13,70,238,237,69,198,180,2
2: 27,135,301,299,109,29,237,69,198,75,245,1,13,57
3: 70,46,68,45,236,238,196,290,100,174,202,258,244,50,74
4: 335,103,98,326,105,5,0,292,348,21,66,279
5: 291,368,103,326,232,0,4,292,23,92,278,66,18,91,279
6: 85,84,16,264,112,313,265,107,30
7: 
8: 231,44,47,166,167,188,247,192,204,226,197,97
9: 46,194,45,196,173,201
10: 325,118,317,318,268,270,276,271,320
11: 110,17,53,254,58,301,81,82,253,12,219,109,29,212,260,206
12: 180,176,301,181,182,109,29,206,11,177,49,198,199,293
13: 56,75,210,244,74,245,1,70,238,237,69,198,180,2
14: 246,71,76,59,27,301,299,109,29,348
15: 251,222,58,261,266,184,265,212,260,218,221,85,61,217
16: 85,6,250,264,135,266,265,107,35,116,57
17: 59,254,81,82,253,219,214,206,248,11,54
18: 231,92,278,226,91,97,93,19,230,103,5,232
19: 230,284,20,225,65,276,231,18,91,97,93
20: 19,95,189,230,284,275,65,89,276,330
21: 287,240,193,54,66,239,105,0,4,292
22: 371,281,127,370,34,377
23: 291,143,103,367,5,230,92,278
24: 231,188,233,93,225,187
25: 39,388,158,347,380,96,387,345,379,133,150
26: 67,240,227,233,280
27: 110,135,301,299,109,2,29,246,76,14,307,354,113,57
28: 36,108,130,331,31,123,329,237,69,60,244,74,282,134
29: 110,180,27,135,58,301,12,299,109,2,212,11,246,198,76,14
30: 107,359,6,313,340,316
31: 386,312,36,156,108,130,331,123,28,250,57
32: 332,372,337,125,36,38,130,379,151,150
33: 375,149,381,37
34: 22,371,281,384,336,377
35: 386,344,138,156,107,359,16,250,116,140,57
36: 386,312,385,156,353,108,38,130,331,31,123,151,28,329,32
37: 389,159,96,387,375,33,154,149
38: 386,36,385,156,353,345,130,379,40,133,151,32
39: 162,161,394,124,388,393,158,347,153,380,346,129,387,25,345,133
40: 392,391,385,160,155,353,38,378,379
41: 175,164,170,252,176,185
42: 165,168,190,191,205,43,65,174,187,166
43: 42,46,168,189,190,195,45,229,196,174
44: 47,48,49,167,171,247,192,193,204,199,71,293,197,8
45: 46,189,194,195,196,290,100,43,174,9,3
46: 168,169,45,196,43,174,173,9,3
47: 44,166,167,171,247,192,204,293,197,8,191,205,170
48: 44,167,171,172,192,200
49: 177,44,172,192,193,199,200,71,207,12,206
50: 78,202,201,178,258,208,209,203,243,3
51: 179,252,169,170
52: 62,184,181,185,213,218,211
53: 219,182,213,260,218,11
54: 21,72,239,59,17,81,253,214,248,105
55: 56,60,210,250,80,203,244,257,74,243
56: 55,179,75,210,80,203,211,245,252,1,13,61,217,70,238,180
57: 346,129,16,250,27,135,299,2,386,156,35,331,31,123
58: 110,180,135,251,301,266,109,29,15,212,260,218,11,61,217
59: 17,254,81,82,253,246,54,76,14,105,348,303
60: 304,55,244,257,74,243,282,312,132,108,28
61: 85,56,210,80,211,217,180,135,251,58,184,15,212
62: 261,86,184,52,213,218
63: 228,73,94,102,274,281
64: 223,224,270,269
65: 42,19,186,189,190,229,284,20,225,187,231,97
66: 92,21,193,278,226,279,103,5,0,4,292
67: 26
68: 95,189,236,290,100,237,69,3,258,244,74,282
69: 68,236,237,75,244,74,245,1,13,2,134,108,28
70: 169,238,205,174,3,56,75,210,245,1,13
71: 246,44,49,92,198,247,192,193,278,199,76,14
72: 54,239,207,214,248
73: 63,228,274
74: 55,60,75,258,203,244,243,245,282,1,13,68,236,237,69,3,108,28
75: 56,210,244,74,245,1,13,70,238,237,69,198,180,2
76: 246,71,14,59,27,301,299,109,29,348
77: 254,82,262,219,87,248,310,255,303,309
78: 202,201,258,208,249,50,243,235,242
79: 83,208,256,263
80: 85,55,56,179,210,215,220,203,264,61,217
81: 59,17,254,82,253,219,214,206,248,11,54
