0: 217
1: 172
2: 170
3: 265
4: 258
5: 235,113
6: 170,186,222,268
7: 144,244
8: 261,259,11,106
9: 212,197
10: 164
11: 127,167,8
12: 108,21,254
13: 46,176
14: 165,229,87
15: 114,238
16: 190
17: 261,107,141
18: 112,240,270,167
19: 148,95,152
20: 238,186
21: 110,12
22: 111,208
23: 153,139
24: 262,156
25: 214,138,94
26: 90,69,145
27: 173,102,204
28: 125
29: 139,159,272
30: 154
31: 179,128
32: 166
33: 236,112
34: 273,253
35: 129,206
36: 163,209
37: 185,183
38: 101,48,202,146
39: 130,145
40: 48,187,172,150,124
41: 188
42: 128,185
43: 127,219
44: 257,103
45: 202,189
46: 13,182,195,144
47: 260
48: 40,38,124,237
49: 155,198,51
50: 55,161
51: 49,200
52: 146,211,252
53: 163,175,209
54: 114,157,180
55: 50,168
56: 182,177,174
57: 156,241
58: 207,136
59: 117,250,212,198
60: 140
61: 180
62: 189,126
63: 160,187,197,144
64: 216
65: 159,228
66: 169
67: 194
68: 161,181
69: 131,26
70: 107,272
71: 196,173
72: 221,133,115
73: 160
74: 118,192
75: 116,248
76: 244,199
77: 220
78: 205,174
79: 143,110
80: 109,248
81: 249,203,120,162
82: 205,135
83: 89,183,204,231
84: 198,196,177,201
85: 194,245,165
86: 213,275
87: 14,104,243
88: 193,275
89: 83,274
90: 26,99,178
91: 153,184
92: 140,191
93: 125,247,132
94: 25,214,223,148
95: 19,158,166,154
96: 149,239,256
97: 226,266
98: 121,181,230,251
99: 90,271,171,267
101: 38,201,174
102: 200,203,27,173
103: 44,257,215
104: 87,255
105: 269,184
106: 253,259,8
107: 271,70,179,17
108: 12,254,140
109: 80,248
110: 21,79
111: 22,184,249
112: 18,149,240,256,33
113: 223,235,5
114: 15,227,54
115: 72,123
116: 223,75
117: 59,250,121
118: 74,253
119: 257,270,242
120: 81,217
121: 98,117,251
122: 218,220
123: 260,115
124: 48,40,193,233,237
125: 93,247,28
126: 233,62
127: 219,43,11
128: 274,42,31
129: 35,206,266
130: 39
131: 135,69
132: 234,265,93
133: 168,72,258
134: 225,241
135: 131,221,82
136: 210,58,207
137: 246
138: 25
139: 159,23,29
140: 108,92,60
141: 267,17,261
142: 245,263
143: 227,79
144: 7,46,63
145: 39,26
146: 52,252,38
147: 213
148: 19,94,152,223
149: 96,112,239,256
150: 264,172,40
151: 231,216
152: 19,148
153: 184,91,23
154: 30,200,95
155: 49,268
156: 224,24,57
157: 180,54
158: 95,208
159: 65,139,178,29
160: 63,73
161: 68,50
162: 81,203
163: 53,209,36,225,260
164: 240,10
165: 14,229,85
166: 95,32
167: 18,270,11
168: 55,133,176,232
169: 179,66
170: 2,6,222,250
171: 99
172: 1,40,187,150
173: 27,247,71,102
174: 78,205,101,56
175: 53,232
176: 168,13
177: 201,182,84,56
178: 90,159
179: 107,271,31,169
180: 157,54,61
181: 68,98
182: 46,56,177
183: 83,37
184: 111,153,91,105
185: 37,42
186: 6,20
187: 63,40,172,197
188: 41
189: 62,45,202,191
190: 222,16
191: 189,92
192: 74
193: 88,124
194: 85,67
195: 46,251
196: 71,84,252
197: 9,63,187
198: 212,84,59,49
199: 76
200: 154,227,51,102
201: 177,84,101
202: 45,38,189
203: 81,249,102,162
204: 27,83
205: 82,78,174
206: 35,129
207: 58,136,210
208: 22,248,158
209: 53,163,36
210: 136,207
211: 52
212: 9,198,59
213: 147,86
214: 25,223,263,94
215: 243,103
216: 64,151,269
217: 0,120
218: 220,122
219: 127,43,273
220: 77,218,122
221: 72,135
222: 6,170,190
223: 113,116,214,94,148
224: 156
225: 163,134
226: 97,266,246
227: 143,200,114
228: 65
229: 14,165
230: 98
231: 83,151
232: 175,168
233: 237,126,124
234: 132,265
235: 5,113
236: 33
237: 233,48,124
238: 20,15
239: 96,149
240: 112,18,164,256
241: 134,57
242: 257,119
243: 215,87
244: 7,76
245: 85,142,263
246: 137,226
247: 93,125,173
248: 208,75,109,80
249: 111,81,203
250: 117,170,59
251: 195,121,98
252: 52,146,196
253: 106,118,34
254: 108,12
255: 104
256: 96,112,149,240
257: 44,103,242,119
258: 4,133
259: 8,106
260: 123,163,47
261: 17,8,141
262: 24
263: 142,214,245
264: 150
265: 132,234,3
266: 129,97,226
267: 141,99
268: 155,6
269: 105,216
270: 18,167,119
271: 107,99,179
272: 70,29
273: 34,219
274: 128,89
275: 88,86
