0: 277,217
1: 172,282
2: 170,322
3: 278,265
4: 258
5: 235,299
6: 170,186,222,268
7: 144,244,316
8: 261,11,259,300
9: 212,197,282
10: 164,279
11: 290,307,300,8
12: 278,21,254
13: 46,176
14: 165,229,87
15: 114,238,296
16: 190
17: 261,107,141
18: 112,240,256,270
19: 148,324,152
20: 238,186
21: 110,12,28
22: 111,208,311
23: 153,139,314
24: 262,156
25: 214,138
26: 90,69,279
27: 173,321,102,204
28: 317,21,125
29: 119,139,159,272
30: 283,301
31: 179,128
32: 280,81
33: 236,112
34: 273,253
35: 129,206
36: 323,209
37: 183
38: 101,48,202
39: 130,145,284,285,308
40: 187,291,124,150
41: 188
42: 319,128,185
43: 127,219,308
44: 257,103
45: 202,189
46: 13,182,195,316
47: 260,297
48: 38,124,233,237
49: 155,198,51
50: 55,312
51: 49,200
52: 146,211,252
53: 163,175,209
54: 286,296,157
55: 50,168,176
56: 182,177,174
57: 156,241
58: 207,136
59: 117,250,212,198
60: 276
61: 180
62: 189,287
63: 160,187,197
64: 216
65: 159,228
66: 302
67: 194
68: 320,181
69: 131,26
70: 272,107
71: 196,321
72: 221,133,326,115
73: 305,160
74: 118,192
75: 116,223,318
76: 244,199
77: 220
78: 205,174
79: 110,325,143
80: 248,109,277
81: 203,32,120,289
82: 205,135,313
83: 288,183,204,231
84: 198,309,177,201
85: 194,245,165
86: 213,275
87: 14,104,243
88: 309,193,275
89: 288,128,274,310
90: 26,99,178
91: 314,184
92: 191
93: 247,303
94: 298,148
95: 158,166,295,324,154,283
96: 149,256,304
97: 226,266,320
98: 121,181,230,251
99: 90,271,267,281
101: 38,201,174
102: 200,203,27
103: 44,257,215
104: 87,255
105: 269,184
106: 253,300
107: 17,70,271,179
108: 278,254
109: 248,80
110: 21,79,292
111: 22,249,311
112: 18,149,240,256,33
113: 223,235
114: 296,15,143,227
115: 297,72,123
116: 223,75
117: 59,250,121
118: 74,253
119: 29,257,270,242
120: 81,217
121: 98,117,251
122: 218,220
123: 260,115
124: 48,40,291,233,237,293
125: 303,28,317
126: 287,233
127: 43,307,290,308
128: 274,89,42,31
129: 35,206,266
130: 39,285
131: 313,69
132: 234,265,303
133: 168,72,258,326
134: 225,241
135: 313,221,82
136: 210,58,207
137: 246
138: 294,25
139: 162,159,23,29,310
140: 276,278
141: 267,17,261
142: 245,263
143: 227,114,79
144: 7,316
145: 39,279,284,308
146: 52,252
147: 213
148: 19,94,223,298
149: 96,112,315,239,256
150: 264,172,40
151: 216,231
152: 306,19,324,155
153: 314,23
154: 200,283,95
155: 49,268,152
156: 224,24,57
157: 180,54,286
158: 95,295,208
159: 65,162,139,178,29
160: 63,73,305
161: 312,320
162: 139,159,289
163: 53,209,323
164: 240,10
165: 14,229,85
166: 95,280
167: 270,290
168: 55,133,232
169: 179,302
170: 2,6,222,250
171: 281
172: 282,1,291,150
173: 27,247,321
174: 78,205,101,56,201
175: 53,232
176: 55,13
177: 201,182,84,56
178: 90,159
179: 271,107,31,169
180: 157,286,61
181: 68,98
182: 46,56,177
183: 83,37
184: 311,91,105
185: 42,319
186: 6,20
187: 63,40,197,282
188: 315,41
189: 62,45,202,191
190: 322,16
191: 189,92
192: 74
193: 88,293
194: 85,67
195: 46,251
196: 71,201,252
197: 9,63,187
198: 212,84,309,59,49
199: 76
200: 154,227,51,102
201: 196,177,84,101,174
202: 45,38,189
203: 81,249,102,289
204: 27,83
205: 82,78,174
206: 35,129
207: 58,136,210
208: 22,248,158
209: 53,163,36
210: 136,207
211: 52
212: 9,198,59
213: 147,86
214: 25,223,263,298
215: 243,103
216: 151,269,64
217: 0,120
218: 220,122
219: 308,43,273
220: 77,218,122
221: 72,135,313
222: 6,170,322
223: 113,116,214,298,75,148
224: 156
225: 323,134
226: 97,266,246
227: 143,200,114
228: 65
229: 14,165
230: 98
231: 83,151
232: 175,168
233: 237,48,124,126,293
234: 132,265
235: 5,113
236: 33
237: 254,233,48,124,293
238: 20,15
239: 149,284
240: 112,18,164,256
241: 134,57
242: 257,119
243: 215,87
244: 7,76
245: 85,142,263
246: 137,226
247: 93,173,303
248: 208,80,318,109
249: 111,203
250: 117,170,59
251: 195,121,98
252: 52,146,196
253: 118,34,106
254: 237,108,12,278
255: 104
256: 96,112,18,149,240
257: 44,103,242,119
258: 4,326,133
259: 300,8
260: 123,323,47
261: 17,8,141
262: 24
263: 142,214,245
264: 150
265: 132,234,3
266: 129,97,226,320
267: 141,281,99
268: 155,301,6
269: 105,216
270: 18,167,119
271: 99,179,107
272: 70,29
273: 34,219
274: 128,89
275: 292,309,88,86
276: 140,60
277: 0,80
278: 108,12,254,140,3
279: 145,10,26
280: 32,166
281: 171,267,99
282: 9,172,1,187
283: 30,154,95
284: 39,145,308,239
285: 39,130
286: 54,157,180
287: 126,62
288: 89,83,310
289: 162,81,203
290: 11,167,127
291: 40,124,172
292: 275,110
293: 124,193,233,237
294: 138
295: 318,95,158
296: 114,15,54
297: 115,47
298: 214,223,94,148
299: 5
300: 307,11,259,8,106
301: 30,268
302: 66,169
303: 93,125,247,132
304: 96
305: 73,160
306: 152
307: 300,127,11
308: 39,145,219,284,43,127
309: 84,198,88,275
310: 139,89,288
311: 22,111,184
312: 161,50
313: 131,135,221,82
314: 91,153,23
315: 149,188
316: 7,144,46
317: 28,125
318: 295,75,248
319: 42,185
320: 97,161,68,266
321: 27,173,71
322: 2,190,222
323: 36,225,163,260
324: 19,95,152
325: 79
326: 258,133,72
