tool,run_id,dx_um,dt_min,average_source,center_source,resolution_label,time_min,average_uM,center_uM
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.0,10.0,10.0
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.1,9.370134037456609,9.049883710578799
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.2,8.919670921120412,8.190394111464741
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.3,8.578091686554508,7.4156216176605225
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.4,8.312805703595908,6.723975988611418
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.5,8.103962584391086,6.115370359580288
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.6,7.938109809328365,5.588022975776944
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.7,7.805600176383142,5.137407809884518
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.8,7.699270535148249,4.756783688337211
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,0.9,7.613676553294287,4.438209981159693
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.0,7.544611170464988,4.173453529484544
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.1,7.488783601351001,3.9546108231822124
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.2,7.443596153959103,3.774461484494476
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.3,7.406983986080809,3.6266247258193465
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.4,7.377297098975873,3.505589631651951
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.5,7.353211649477057,3.4066730606149918
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.6,7.333662190925576,3.3259413190665224
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.7,7.3177892117146435,3.2601180343952527
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.8,7.304898082263209,3.2064911874242936
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,1.9,7.294426655536282,3.162826169292131
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.0,7.285919525039688,3.127288003017173
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.1,7.279007464640005,3.0983737016504724
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.2,7.2733909399229555,3.0748545460813315
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.3,7.2688268429838905,3.0557274715354827
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.4,7.26511779452505,3.0401745064766867
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.5,7.262103500303991,3.027529158056459
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.6,7.2596537574781586,3.0172486918018477
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.7,7.257662789762472,3.008891355214865
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.8,7.256044655127482,3.0020977141449654
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,2.9,7.254729520631,2.996575390148328
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.0,7.25366063920611,2.9920865979510376
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.1,7.252791895243211,2.9884379808523294
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.2,7.252085811404855,2.9854723274323347
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.3,7.2515119296620005,2.9830618257057213
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.4,7.251045496084155,2.981102572023321
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.5,7.250666392264818,2.9795101029710884
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.6,7.250358267053358,2.9782157606861968
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.7,7.2501078309971705,2.977163736754051
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.8,7.249904282973083,2.9763086683776074
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,3.9,7.249738844223582,2.9756136838744682
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,4.0,7.249604379667195,2.9750488136562283
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,4.1,7.2494950901298845,2.9745896984349853
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,4.2,7.249406262211086,2.974216539114785
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,4.3,7.249334064988764,2.973913243183925
PhysiCell,PhysiCell_dx_10um,10.0,,mean over all voxels from microenvironment[4],mean over center voxels from microenvironment[4],voxel size=10 um,4.4,7.249275384790984,2.973666730858554
