tool,run_id,dx_um,dt_min,average_source,center_source,resolution_label,time_min,average_uM,center_uM
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.0,10.0,10.0
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.1,9.880855415055139,4.455280323853572
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.2,9.817040295517884,3.7817117095531354
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.3,9.761107257683516,3.455422071348609
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.4,9.711576739298879,3.265412241806557
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.5,9.667993209365031,3.14055349327036
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.6,9.629976218137394,3.0515906144973153
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.7,9.597067478518243,2.9846280850258813
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.8,9.568748515318168,2.9322871276814095
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,0.9,9.544484580573869,2.8902888538883484
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.0,9.52375921142736,2.8559672840574035
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.1,9.50609471904626,2.82755796595444
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.2,9.49106165996171,2.8038311997847565
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.3,9.478281185906697,2.7838913268172862
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.4,9.467423296474156,2.7670614020413296
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.5,9.458203002025561,2.7528140883069874
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.6,9.450375623019024,2.7407286285439296
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.7,9.443731928675984,2.730463045422108
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.8,9.438093490739778,2.721735505315357
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,1.9,9.433308432490339,2.71431135733163
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.0,9.429247640676605,2.7079937894974644
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.1,9.425801446117086,2.702616861570192
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.2,9.42287674680128,2.6980401507388203
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.3,9.420394532750604,2.694144529526882
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.4,9.418287767060578,2.690828765905271
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.5,9.416499577949443,2.6880067401516516
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.6,9.414981719666583,2.6856051380643087
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.7,9.413693264278075,2.6835615214170465
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.8,9.412599490821425,2.681822703316047
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,2.9,9.411670942672023,2.6803433739461076
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,3.0,9.410882627977687,2.679084934422216
PhysiCell,PhysiCell_dx_20um_uptake,20.0,,mean over all voxels,mean over center voxels,voxel size=20 um,3.1,9.410213341609994,2.67801450512799
