layout,dx_um,dt_diffusion_min,total_volume_um3,cell_voxel_average_uM,cell_voxel_window_average_uM,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM
cells_10,5.0,0.05,1.0,9.784397718484275,9.68211872952698,9.780682609625073,9.743967360530824,9.780682609625073,9.780682609625035
cells_10,5.0,0.05,523.0,9.741859710892976,9.619426829484048,9.737412092626318,9.693468087397207,9.73714275028407,9.714124701385797
cells_10,5.0,0.05,1000.0,9.741813162448334,9.619358231828794,9.737364742699839,9.693412830011606,9.737095351960097,9.703208428522865
cells_10,5.0,0.1,1.0,9.88110380979646,9.770194374746376,9.879113198210074,9.831900066448991,9.879113198210074,9.879113198210064
cells_10,5.0,0.1,523.0,9.869057179821894,9.746917136565292,9.86686496234982,9.814872586437156,9.866906743072223,9.842720752178582
cells_10,5.0,0.1,1000.0,9.86904505522565,9.746893709313795,9.866852634850773,9.814855449177463,9.866894419460392,9.83053818171669
cells_10,10.0,0.05,1.0,9.29846284444641,9.339055263286255,9.152812317818979,9.383255029074387,9.152812317818979,9.152812317818979
cells_10,10.0,0.05,523.0,8.450491351847607,8.539301933668416,8.130166512855197,8.636511081173108,8.130166512855197,8.136335904824143
cells_10,10.0,0.05,1000.0,8.448778310311319,8.537685206052647,8.128102540050586,8.63500088205407,8.128102540050586,8.152100546585894
cells_10,10.0,0.1,1.0,9.479391553635892,9.454888913033997,9.267524727140547,9.478551119820239,9.267524727140547,9.267524727140547
cells_10,10.0,0.1,523.0,9.110501067140351,9.068595340985748,8.749102525519042,9.108918737294863,8.749102525519042,8.753318524413272
cells_10,10.0,0.1,1000.0,9.109924785494607,9.067991839888181,8.748293067979473,9.108341187479448,8.748293067979473,8.764701843541678
cells_10,20.0,0.05,1.0,8.78682994582128,9.322733088783956,8.78682994582128,9.530129803587466,8.78682994582128,8.786829945821278
cells_10,20.0,0.05,523.0,4.215610482384205,6.699620992311291,4.215610482384205,7.704454660458833,4.215610482384205,4.216710704647261
cells_10,20.0,0.05,1000.0,4.195968661278857,6.687789858262149,4.195968661278857,7.696177502145254,4.858924366205647,4.214095303494279
cells_10,20.0,0.1,1.0,8.689290189058642,9.30358073252297,8.689290189058642,9.516573512944797,8.689290189058642,8.689290189058642
cells_10,20.0,0.1,523.0,4.736426660934559,7.164099919703604,4.736426660934559,8.02851179916539,4.736426660934559,4.737521612498261
cells_10,20.0,0.1,1000.0,4.721979319325193,7.156089254111222,4.721979319325192,8.022926794954731,5.381221612622365,4.7400021036914435
cells_10,40.0,0.05,1.0,9.010948530250445,9.669389703923889,9.128256476442568,9.833142607433789,9.010948530250445,9.010948530250445
cells_10,40.0,0.05,523.0,3.5499286429322283,7.840157554992329,4.313935766033066,8.910311443271867,4.568604807066679,3.5499289826693436
cells_10,40.0,0.05,1000.0,3.5459893421671795,7.838823349755424,4.310458704594516,8.909639787875667,4.565281825403628,3.546082951373711
cells_10,40.0,0.1,1.0,8.926049442296215,9.652774744896918,9.056981022630511,9.82360501763243,8.926049442296213,8.926049442296213
cells_10,40.0,0.1,523.0,3.7146887066273413,7.965996068539673,4.480513269305994,8.966891070003939,4.7357881235322115,3.7146890471726315
cells_10,40.0,0.1,1000.0,3.7135377704675827,7.96562322658116,4.479502473403396,8.96670173612024,4.734824041048666,3.7136315627784287
inner_voxels,5.0,0.05,1.0,6.735591879561337,8.620042063617207,6.735591879561337,9.007467857978906,6.735591879561337,6.735606889605059
inner_voxels,5.0,0.05,523.0,7.497369127630684,8.566120060518164,7.497369127630684,8.966356565605006,8.05921116959251,8.187333485526882
inner_voxels,5.0,0.05,1000.0,7.863913398372911,8.83657342088473,7.863913398372911,9.05935286360512,8.411365798129612,8.67457487556615
inner_voxels,5.0,0.1,1.0,6.75663143151161,8.796454947677324,6.75663143151161,9.16380951937882,6.75663143151161,6.756647881881863
inner_voxels,5.0,0.1,523.0,7.820769887635838,8.866263411015936,7.820769887635838,9.221747266794901,8.369871300912246,8.490979883044261
inner_voxels,5.0,0.1,1000.0,8.149947703014567,9.120375016533867,8.149947703014567,9.305683616409041,8.698206159433706,8.950793132781328
inner_voxels,10.0,0.05,1.0,7.555885501022451,8.69312626760946,7.55588550102245,9.03459599406667,7.55588550102245,7.55588550102245
inner_voxels,10.0,0.05,523.0,5.079544149320211,7.3537732597331,5.079544149320211,8.043984258053008,5.737806140889514,5.533548335462739
inner_voxels,10.0,0.05,1000.0,5.0749962145470064,7.351291796235336,5.0749962145470064,8.042147257235854,6.093700931351065,5.821636782314189
inner_voxels,10.0,0.1,1.0,7.402927472415016,8.774099188653002,7.402927472415016,9.110979601601993,7.402927472415016,7.402927472415016
inner_voxels,10.0,0.1,523.0,5.725385858168216,7.978067046176106,5.725385858168216,8.533428772444175,6.3991195048174365,6.185683289872466
inner_voxels,10.0,0.1,1000.0,5.722862501229055,7.976866578782823,5.722862501229055,8.532557597404809,6.743485745445073,6.473986099233255
inner_voxels,20.0,0.05,1.0,8.78682994582128,9.322733088783956,8.78682994582128,9.528257514441231,8.78682994582128,8.78682994582128
inner_voxels,20.0,0.05,523.0,4.215610482384204,6.69962099231129,4.215610482384204,7.6952471192066945,4.88762327526739,4.217177551877338
inner_voxels,20.0,0.05,1000.0,4.195968661278856,6.687789858262149,4.195968661278856,7.686936332090638,4.870188475786283,4.221707409583154
inner_voxels,20.0,0.1,1.0,8.689290189058642,9.30358073252297,8.689290189058642,9.514283059985742,8.689290189058642,8.689290189058642
inner_voxels,20.0,0.1,523.0,4.736426660934559,7.164099919703604,4.736426660934559,8.019065107364558,5.415510655420404,4.738010174010484
inner_voxels,20.0,0.1,1000.0,4.721979319325192,7.156089254111222,4.721979319325192,8.013452695588628,5.402930533301518,4.747962765825477
inner_voxels,40.0,0.05,1.0,9.61094739895505,9.859581559381036,9.610947398955048,9.867518580979025,9.610947398955048,9.610947398955048
inner_voxels,40.0,0.05,523.0,4.755251366831332,8.04157945616153,4.755251366831333,8.150968498249032,4.755251366831333,4.755251366831411
inner_voxels,40.0,0.05,1000.0,4.696672852000731,8.017882022273614,4.696672852000731,8.128566574445877,5.608677462161437,4.6966728579837245
inner_voxels,40.0,0.1,1.0,9.584830071174942,9.850331839840639,9.584830071174942,9.858610664737606,9.584830071174942,9.584830071174942
inner_voxels,40.0,0.1,523.0,4.904263001248817,8.10908706734338,4.904263001248817,8.21254516924138,4.904263001248817,4.9042630012488955
inner_voxels,40.0,0.1,1000.0,4.852060651195684,8.088502919998069,4.852060651195684,8.19306109029205,5.747386031475109,4.8520606570692575
