center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12,10.0,195,10.0,10.0,10.0,10.000000000000002,0.0,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.782189081770088,9.746561604102567,9.283340721410134,9.283340721410134,9.283340721410134,9.474736116783241,9.99363743667722,9.871229989279291,12,9.846332707661569,195,9.73289910403827,9.841917947590389,9.73289910403827,9.73289910403827,0.1,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.548454844339428,9.439434002643237,9.028204335174934,9.028204335174935,9.028204335174934,9.255025584927678,9.987580106446758,9.724008465303967,12,9.73087277513353,195,9.583661396167198,9.742413670667077,9.583661396167198,9.5836613961672,0.2,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.420622244933623,9.289314055944073,8.896463619596808,8.89646361959681,8.896463619596808,9.13428333758892,9.981656587212122,9.632158362283617,12,9.651932707939507,195,9.488267056735934,9.673636767935347,9.488267056735934,9.488267056735934,0.3,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.339208572047923,9.198869137893057,8.814832014803056,8.814832014803056,8.814832014803056,9.057109816286571,9.975888629940993,9.568097262291912,12,9.594915943411891,195,9.42228451706841,9.623027774412032,9.42228451706841,9.42228451706841,0.4,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.282242824121154,9.137394875195326,8.758536665515027,8.758536665515027,8.758536665515027,9.002901193730986,9.970322895191794,9.520620560292153,12,9.55168734282559,195,9.37375976629466,9.584021782037773,9.373759766294661,9.373759766294661,0.5,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.23974480758911,9.092354939769516,8.71691804135209,8.71691804135209,8.71691804135209,8.962338682251124,9.965006354252402,9.483821800978815,12,9.517639678909655,195,9.336369484549135,9.55288503177129,9.336369484549136,9.336369484549136,0.6,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.206565888804146,9.057624391617503,8.684627406586577,8.684627406586577,8.684627406586577,8.930600500910835,9.959976100012227,9.454311738498465,12,9.490014016728875,195,9.306519322926269,9.527348530765243,9.306519322926269,9.306519322926269,0.7,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.179781927043969,9.029840018818597,8.658678778810428,8.658678778810428,8.658678778810428,8.904937796995679,9.955256179395132,9.4300178760127,12,9.46707045299053,195,9.282031343504809,9.50595798342905,9.28203134350481,9.28203134350481,0.8,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.157606542470484,9.006994807559026,8.637269660369775,8.637269660369777,8.637269660369775,8.883665778633947,9.950858140600758,9.40960502622395,12,9.447661772499922,195,9.261513081006795,9.487739728865362,9.261513081006795,9.261513081006797,0.9,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
