time_min,average_uM,center_corner_mean_uM
0.0,10.0,10.0
0.1,9.779097684946453,4.77887718881015
0.2,9.716918459845798,4.449516474869745
0.3,9.665405941292022,4.220504523119958
0.4,9.622761934502945,4.054147264952134
0.5,9.587504241282847,3.9290991348141757
0.6,9.55838819554702,3.832601315592569
0.7,9.534366008181843,3.7566337291613796
0.8,9.51455858760913,3.6959188876903752
0.9,9.498231883509655,3.646839349349642
1.0,9.484775687950462,3.606825100247141
1.1,9.473684584972814,3.5739927612474447
1.2,9.464541103059416,3.54692512004729
1.3,9.457001085319428,3.5245317498652073
1.4,9.450781183226182,3.5059580653580844
1.5,9.445648296367844,3.490524198306667
1.6,9.441410737522292,3.4776827448301018
1.7,9.437910891163348,3.466988766493461
1.8,9.435019142605322,3.4580779462164655
1.9,9.43262887497705,3.450650303202557
2.0,9.43065235572013,3.444457788957786
2.1,9.42901735946936,3.439294657995961
2.2,9.427664397885168,3.4349898689628175
2.3,9.42654444827,3.431401005088031
2.4,9.425617091278855,3.428409355375872
2.5,9.42484898376326,3.425915899294309
2.6,9.42421260598831,3.4238380062384137
2.7,9.423685233432298,3.4221067082350656
2.8,9.423248092432656,3.4206644375254873
2.9,9.422885666379434,3.4194631444862837
3.0,9.422585125248238,3.41846272884858
3.1,9.422335856240977,3.417629730316368
3.2,9.422129077364735,3.4169362347647896
3.3,9.421957519091782,3.41635896007975
3.4,9.42181516194527,3.415878491965308
3.5,9.42169702005859,3.415478645095824
3.6,9.421598962554258,3.4151459291073545
3.7,9.421517566055952,3.414869102309015
3.8,9.42144999284667,3.4146387987984244
3.9,9.421393890166469,3.414447216997328
4.0,9.421347306945751,3.414287859570049
4.1,9.421308624927368,3.4141553163158944
4.2,9.421276501669503,3.41404508299109
4.3,9.421249823363548,3.413953410159947
4.4,9.421227665764151,3.4138771771347183
4.5,9.42120926182697,3.413813786868821
4.6,9.421193974895136,3.413761078343427
4.7,9.4211812764774,3.41371725355374
4.8,9.421170727827347,3.4136808166759445
4.9,9.421161964670201,3.4136505233934464
5.0,9.421154684536907,3.4136253386940227
5.1,9.421148636258431,3.4136044017281693
5.2,9.421143611250486,3.4135869965520538
5.3,9.42113943628234,3.4135725277733915
5.4,9.421135967476223,3.413560500281438
5.5,9.421133085327261,3.413550502378382
5.6,9.421130690569832,3.4135421917430078
5.7,9.421128700746195,3.4135352837523563
5.8,9.421127047357743,3.4135295417662053
5.9,9.42112567349976,3.413524769045191
6.0,9.421124531897478,3.413520802028455
6.1,9.421123583275152,3.4135175047425186
6.2,9.42112279500172,3.4135147641513437
6.3,9.421122139965913,3.4135124862894037
6.4,9.421121595642026,3.4135105930460825
6.5,9.421121143313922,3.413509019491831
6.6,9.421120767430432,3.4135077116549297
6.7,9.421120455069921,3.4135066246729773
6.8,9.421120195495492,3.4135057212560342
6.9,9.421119979785457,3.413504970408894
7.0,9.42111980052635,3.4135043463688484
7.1,9.421119651557897,3.4135038277226184
7.2,9.421119527761096,3.4135033966722546
7.3,9.421119424882178,3.413503038424888
7.4,9.421119339386335,3.41350274068546
7.5,9.421119268336154,3.413502493235038
7.6,9.421119209290662,3.4135022875803225
7.7,9.42111916022139,3.4135021166622823
7.8,9.421119119442666,3.413501974613999
7.9,9.421119085553668,3.413501856559363
8.0,9.42111905739029,3.4135017584457796
8.1,9.421119033985123,3.4135016769050894
8.2,9.421119014534234,3.413501609138002
8.3,9.421118998369522,3.413501552818015
8.4,9.421118984935775,3.413501506011575
8.5,9.421118973771591,3.413501467111711
8.6,9.42111896449353,3.41350143478288
8.7,9.42111895678293,3.4135014079151222
8.8,9.421118950374977,3.4135013855859637
8.9,9.421118945049587,3.4135013670287444
9.0,9.421118940623874,3.413501351606304
9.1,9.421118936945838,3.4135013387891115
9.2,9.421118933889169,3.4135013281370803
9.3,9.421118931348886,3.4135013192844643
9.4,9.421118929237755,3.4135013119272983
9.5,9.421118927483274,3.4135013058129626
9.6,9.42111892602519,3.4135013007315114
9.7,9.421118924813431,3.4135012965084632
9.8,9.42111892380638,3.4135012929988093
9.9,9.421118922969457,3.4135012900820403
10.0,9.421118922273921,3.4135012876580006
