time_min,average_uM,center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM
0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.1,9.997853186148623,9.922427255576162,9.899457252363856,9.908651845591054,9.908651845591054,9.908651845591054,9.833403896927031
0.2,9.995745053115941,9.82383333867796,9.793243518687003,9.806275285722728,9.80627528572273,9.806275285722728,9.73645725681639
0.3,9.993655411742138,9.772239889224373,9.739690994762592,9.753722792829553,9.753722792829551,9.753722792829553,9.685775932852776
0.4,9.99159257147036,9.739966467535236,9.706593621026663,9.721047835846013,9.721047835846012,9.721047835846013,9.65399541825769
0.5,9.98957034996734,9.717523992581963,9.683728467783734,9.698400530849746,9.698400530849748,9.698400530849746,9.631864007740088
0.6,9.987603806921243,9.700817472654231,9.666778098374545,9.681576631955842,9.681576631955844,9.681576631955842,9.615373624955469
0.7,9.985706569880204,9.68777934050437,9.65358770367367,9.668465776685153,9.668465776685153,9.668465776685153,9.60249572429229
0.8,9.983889474698888,9.677246932344497,9.64295468916326,9.657885745784547,9.657885745784547,9.657885745784547,9.592087736393694
0.9,9.982160162776625,9.668513023516713,9.63415148572464,9.649119371032969,9.64911937103297,9.649119371032969,9.583453860307795
1.0,9.980523245577672,9.661121092073497,9.626710340832892,9.64170465396234,9.641704653962337,9.64170465396234,9.576144568068068
1.1,9.978980738412428,9.654762501273051,9.620316016258435,9.635329746751601,9.635329746751601,9.635329746751601,9.569855753931453
1.2,9.977532576617625,9.649220738137124,9.614747914496908,9.629776154955966,9.629776154955964,9.629776154955966,9.564373970790832
1.3,9.976177113617968,9.644339233682018,9.609846827291395,9.624886032779614,9.624886032779612,9.624886032779614,9.5595447953908
1.4,9.974911555739451,9.640001822347559,9.605494817916998,9.620542360197657,9.620542360197657,9.620542360197657,9.555253604458423
1.5,9.973732320054118,9.636120367876892,9.601602520890262,9.61665640954997,9.61665640954997,9.61665640954997,9.551413394561218
1.6,9.972635317445619,9.632626651020407,9.598100837839679,9.613159539734433,9.613159539734433,9.613159539734433,9.547956793970995
1.7,9.97161616997438,9.629466896592835,9.594935347849388,9.609997666486388,9.609997666486388,9.609997666486388,9.544830672111987
1.8,9.970670373680932,9.626597992345774,9.592062453173352,9.607127445739055,9.607127445739055,9.607127445739055,9.541992414705883
1.9,9.969793417664244,9.623984824324037,9.58944666746786,9.604513586156777,9.604513586156777,9.604513586156777,9.539407298435666
2.0,9.968980868972453,9.621598367305157,9.587058675083583,9.60212692452281,9.602126924522809,9.60212692452281,9.537046609318377
2.1,9.968228431251202,9.619414296515156,9.584873921670434,9.599943027274747,9.599943027274747,9.599943027274747,9.534886274529939
2.2,9.967531983548616,9.617411965470838,9.582871577352766,9.597941161286865,9.597941161286865,9.597941161286865,9.532905854864891
2.3,9.966887604315337,9.615573644735628,9.581033765042601,9.596103527606752,9.596103527606754,9.596103527606752,9.531087794195193
2.4,9.966291584503914,9.61388394891227,9.579344979817813,9.594414684791774,9.594414684791774,9.594414684791774,9.529416854343285
2.5,9.965740432756613,9.612329400882011,9.57779164748052,9.592861110421978,9.592861110421978,9.592861110421978,9.52787968514937
2.6,9.965230874947892,9.610898097042247,9.576361785465307,9.591430864260142,9.591430864260142,9.591430864260142,9.526464494036052
2.7,9.964759849785597,9.609579447487203,9.575044739656162,9.590113326817729,9.590113326817727,9.590113326817729,9.525160789413725
2.8,9.964324501742045,9.608363972226321,9.57383097794673,9.588898994296581,9.588898994296581,9.588898994296581,9.52395917931228
2.9,9.963922172255868,9.607243139612446,9.572711926537478,9.587779315992803,9.587779315992803,9.587779315992803,9.522851211624323
3.0,9.963550389894962,9.606209236795078,9.571679838659943,9.586746563918316,9.586746563918316,9.586746563918316,9.521829245932151
3.1,9.963206859981925,9.605255264651,9.570727688091106,9.585793727049795,9.585793727049795,9.585793727049795,9.520886349486439
3.2,9.962889454041715,9.604374851567533,9.569849081767703,9.584914424548952,9.584914424548952,9.584914424548952,9.520016211797197
3.3,9.962596199325263,9.603562181864595,9.569038187238085,9.584102833717214,9.584102833717214,9.584102833717214,9.519213073686204
3.4,9.962325268584205,9.602811935682688,9.568289671741528,9.583353629494152,9.58335362949415,9.583353629494152,9.518471667674362
3.5,9.962074970213791,9.602119237935415,9.567598650484895,9.582661933084506,9.582661933084506,9.582661933084506,9.517787167336762
3.6,9.961843738838288,9.601479614499375,9.566960642266555,9.58202326787572,9.582023267875718,9.58202326787572,9.517155143823354
3.7,9.961630126382108,9.600888954243253,9.566371531031242,9.581433521239038,9.581433521239038,9.581433521239038,9.516571528165358
3.8,9.961432793647568,9.60034347581964,9.56582753226437,9.580888911130536,9.580888911130536,9.580888911130536,9.51603257830441
3.9,9.961250502404038,9.599839698385153,9.565325163379141,9.580385956651677,9.580385956651678,9.580385956651677,9.51553485001964
4.0,9.961082107982154,9.5993744155972,9.564861217434673,9.579921451912945,9.579921451912945,9.579921451912945,9.515075171108226
4.1,9.960926552359101,9.59894467237436,9.564432739663618,9.579492442683314,9.579492442683312,9.579492442683314,9.514650618311428
4.2,9.96078285771597,9.59854774401284,9.564037006394475,9.57909620541456,9.57909620541456,9.57909620541456,9.514258496582212
4.3,9.960650120444877,9.598181117332066,9.563671506035844,9.5787302283106,9.5787302283106,9.5787302283106,9.513896320370286
4.4,9.960527505582084,9.597842473584555,9.56333392185249,9.578392194174475,9.578392194174475,9.578392194174475,9.513561796661495
4.5,9.960414241642262,9.597529672913085,9.56302211631203,9.578079964813902,9.5780799648139,9.578079964813902,9.513252809556024
4.6,9.960309615829265,9.597240740175543,9.562734116818923,9.577791566824011,9.577791566824011,9.577791566824011,9.512967406206778
4.7,9.960212969599013,9.59697385198693,9.56246810268218,9.577525178595238,9.577525178595238,9.577525178595238,9.512703783968172
