time_min,average_uM,center_corner_mean_uM
0.0,10.0,10.0
0.1,9.993778510143756,7.550990798661978
0.2,9.988103968201276,7.191875075335213
0.3,9.982585103531783,7.058501898535569
0.4,9.977203406396846,6.985946308348637
0.5,9.971991062611014,6.93893941492345
0.6,9.966990923060528,6.905364154726336
0.7,9.962241108596091,6.879855757803518
0.8,9.957768955832057,6.859637861969828
0.9,9.953589965170323,6.84311482254776
1.0,9.949709167293856,6.829298155287041
1.1,9.946123352427337,6.8175399657563815
1.2,9.942823346792327,6.807396326424841
1.3,9.939795983560131,6.798551786908224
1.4,9.937025666485363,6.790775128482516
1.5,9.934495542252266,6.783892187995606
1.6,9.93218834243046,6.7777685279076705
1.7,9.930086965045133,6.772298044160092
1.8,9.928174859585113,6.7673952876135575
1.9,9.926436268061671,6.7629901780809565
2.0,9.924856363159233,6.759024297849857
2.1,9.92342131441265,6.755448249044406
2.2,9.922118305188892,6.752219739639925
2.3,9.920935516955678,6.74930217577319
2.4,9.919862092594869,6.74666361034934
2.5,9.918888087038539,6.7442759453443335
2.6,9.918004410977462,6.742114316799825
2.7,9.917202771573843,6.740156612878608
2.8,9.916475612814674,6.738383089976305
2.9,9.915816057226403,6.736776061995817
3.0,9.91521785002971,6.7353196449377934
3.1,9.914675306367664,6.733999543906756
3.2,9.914183261934499,6.732802873126497
3.3,9.913737027125498,6.731718002041016
3.4,9.913332344691359,6.730734422351487
3.5,9.912965350792211,6.729842632115054
3.6,9.912632539292298,6.729034033953966
3.7,9.912330729105667,6.728300845095494
3.8,9.91205703438839,6.727636017456559
3.9,9.911808837368897,6.727033166352381
4.0,9.911583763610901,6.726486506681923
4.1,9.91137965951107,6.725990795649799
4.2,9.911194571843462,6.725541281242853
4.3,9.911026729174614,6.725133655802793
4.4,9.910874524985198,6.7247640141332985
4.5,9.910736502346584,6.724428815657663
4.6,9.910611340012572,6.724124850206104
4.7,9.91049783979817,6.723849207063767
4.8,9.91039491512802,6.723599246953896
4.9,9.910301580647447,6.723372576667334
5.0,9.910216942798328,6.7231670260809935
5.1,9.910140191270873,6.722980627335042
5.2,9.91007059125035,6.722811595962377
5.3,9.910007476385125,6.722658313784673
5.4,9.909950242409167,6.722519313407838
5.5,9.909898341358238,6.722393264165973
5.6,9.909851276324638,6.722278959377631
5.7,9.909808596700428,6.722175304791229
5.8,9.909769893863697,6.722081308108169
5.9,9.909734797266625,6.7219960694829055
6.0,9.909702970888016,6.721918772908593
6.1,9.909674110016267,6.721848678405644
6.2,9.909647938332077,6.721785114938271
6.3,9.909624205262956,6.721727473991077
6.4,9.909602683584215,6.721675203744168
6.5,9.909583167243479,6.72162780379098
6.6,9.909565469387903,6.721584820348244
6.7,9.909549420575196,6.721545841912206
6.8,9.909534867151349,6.721510495319559
6.9,9.909521669779506,6.721478442175335
7.0,9.909509702105929,6.721449375613599
7.1,9.909498849550237,6.721423017359921
7.2,9.909489008208416,6.721399115067531
7.3,9.90948008385799,6.721377439901639
7.4,9.90947199105592,6.721357784348814
7.5,9.909464652320565,6.721339960230463
7.6,9.909457997389843,6.721323796901373
7.7,9.909451962548527,6.721309139616103
7.8,9.90944649001823,6.721295848047559
7.9,9.909441527404216,6.721283794943604
8.0,9.90943702719377,6.7212728649088325
8.1,9.909432946301289,6.721262953299835
8.2,9.90942924565579,6.7212539652233865
8.3,9.90942588982683,6.721245814628006
8.4,9.909422846685281,6.721238423480111
8.5,9.90942008709573,6.721231721016974
8.6,9.909417584637534,6.721225643069247
8.7,9.909415315351852,6.721220131446637
8.8,9.909413257512274,6.721215133380797
8.9,9.909411391416793,6.721210601020143
9.0,9.9094096991992,6.721206490971726
9.1,9.909408164657998,6.721202763885799
9.2,9.909406773101319,6.7211993840790925
9.3,9.909405511206227,6.721196319193176
9.4,9.9094043668912,6.721193539884673
9.5,9.909403329200439,6.721191019544326
9.6,9.909402388198966,6.721188734042247
9.7,9.909401534877532,6.721186661496889
9.8,9.909400761066335,6.721184782065559
9.9,9.909400059356829,6.721183077754449
10.0,9.90939942303076,6.721181532246355
