time_min,average_uM,center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM
0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.1,9.993778510143756,5.534565451648087,9.56741614567587,7.550990798661978,7.550990798661979,7.550990798661978,8.46055591176066
0.2,9.988103968201276,5.225024958685702,9.158725191984725,7.191875075335213,7.191875075335215,7.191875075335213,8.154222847574173
0.3,9.982585103531783,5.124844827507336,8.992158969563802,7.058501898535569,7.058501898535569,7.058501898535569,8.023446879159259
0.4,9.977203406396846,5.071337570258306,8.900555046438967,6.985946308348637,6.985946308348637,6.985946308348637,7.948406944802457
0.5,9.971991062611014,5.036857787944787,8.841021041902112,6.93893941492345,6.938939414923449,6.93893941492345,7.898504515495351
0.6,9.966990923060528,5.012294144521429,8.798434164931242,6.905364154726336,6.905364154726336,6.905364154726336,7.86231736903273
0.7,9.962241108596091,4.993661406354902,8.766050109252134,6.879855757803518,6.879855757803518,6.879855757803518,7.834553878901418
0.8,9.957768955832057,4.978908889273988,8.740366834665668,6.859637861969828,6.859637861969828,6.859637861969828,7.812398108102923
0.9,9.953589965170323,4.966862006762763,8.719367638332756,6.84311482254776,6.84311482254776,6.84311482254776,7.794201162673322
1.0,9.949709167293856,4.95679475684853,8.70180155372555,6.829298155287041,6.829298155287041,6.829298155287041,7.778927862329721
1.1,9.946123352427337,4.9482320391243615,8.686847892388403,6.8175399657563815,6.817539965756383,6.8175399657563815,7.765892862453093
1.2,9.942823346792327,4.940848686079436,8.673943966770246,6.807396326424841,6.807396326424841,6.807396326424841,7.754622837034561
1.3,9.939795983560131,4.934413816426514,8.662689757389934,6.798551786908224,6.798551786908225,6.798551786908224,7.744779234851665
1.4,9.937025666485363,4.928758286506698,8.652791970458335,6.790775128482516,6.790775128482517,6.790775128482516,7.736112504795409
1.5,9.934495542252266,4.923754732517617,8.644029643473594,6.783892187995606,6.783892187995605,6.783892187995606,7.7284337377589925
1.6,9.93218834243046,4.919304861744694,8.636232194070647,6.7777685279076705,6.777768527907671,6.7777685279076705,7.721596459623135
1.7,9.930086965045133,4.915331108028983,8.629264980291198,6.772298044160092,6.77229804416009,6.772298044160092,7.715484597100835
1.8,9.928174859585113,4.911771012506814,8.623019562720302,6.7673952876135575,6.7673952876135575,6.7673952876135575,7.710004329960266
1.9,9.926436268061671,4.908573357801053,8.61740699836086,6.7629901780809565,6.7629901780809565,6.7629901780809565,7.70507846060866
2.0,9.924856363159233,4.905695458391876,8.612353137307837,6.759024297849857,6.759024297849857,6.759024297849857,7.700642452721849
2.1,9.92342131441265,4.9031012289489935,8.607795269139817,6.755448249044406,6.755448249044404,6.755448249044406,7.696641598012775
2.2,9.922118305188892,4.900759785112237,8.603679694167612,6.752219739639925,6.752219739639925,6.752219739639925,7.693028957987552
2.3,9.920935516955678,4.8986444140548135,8.599959937491565,6.74930217577319,6.74930217577319,6.74930217577319,7.689763845581485
2.4,9.919862092594869,4.896731805215699,8.59659541548298,6.74666361034934,6.74666361034934,6.74666361034934,7.686810687616074
2.5,9.918888087038539,4.895001466289976,8.59355042439869,6.7442759453443335,6.7442759453443335,6.7442759453443335,7.684138159019252
2.6,9.918004410977462,4.893435272669573,8.590793360930078,6.742114316799825,6.742114316799825,6.742114316799825,7.6817185131848476
2.7,9.917202771573843,4.892017114134566,8.588296111622649,6.740156612878608,6.740156612878608,6.740156612878608,7.67952705551536
2.8,9.916475612814674,4.890732613267047,8.586033566685563,6.738383089976305,6.738383089976305,6.738383089976305,7.677541722737976
2.9,9.915816057226403,4.889568897430317,8.583983226561317,6.736776061995817,6.736776061995817,6.736776061995817,7.675742741347049
3.0,9.91521785002971,4.888514411290305,8.582124878585283,6.7353196449377934,6.7353196449377934,6.7353196449377934,7.674112346038271
3.1,9.914675306367664,4.887558760458833,8.580440327354681,6.733999543906756,6.733999543906756,6.733999543906756,7.672634544279209
3.2,9.914183261934499,4.886692579383102,8.57891316686989,6.732802873126497,6.732802873126496,6.732802873126497,7.671294916894535
3.3,9.913737027125498,4.885907418414401,8.577528585667633,6.731718002041016,6.731718002041017,6.731718002041016,7.670080447200271
3.4,9.913332344691359,4.885195646282181,8.576273198420791,6.730734422351487,6.730734422351487,6.730734422351487,7.668979373121549
3.5,9.912965350792211,4.88455036513002,8.575134899100089,6.729842632115054,6.729842632115055,6.729842632115054,7.667981058096303
3.6,9.912632539292298,4.883965335943736,8.574102731964194,6.729034033953966,6.729034033953966,6.729034033953966,7.6670758775580135
3.7,9.912330729105667,4.88343491269333,8.573166777497658,6.728300845095494,6.728300845095495,6.728300845095494,7.666255118513682
3.8,9.91205703438839,4.882953983871908,8.572318051041211,6.727636017456559,6.727636017456559,6.727636017456559,7.665510890264804
3.9,9.911808837368897,4.882517920382773,8.57154841232199,6.727033166352381,6.72703316635238,6.727033166352381,7.664836044713842
4.0,9.911583763610901,4.882122528927042,8.570850484436804,6.726486506681923,6.726486506681923,6.726486506681923,7.66422410499464
4.1,9.91137965951107,4.881764010196506,8.57021758110309,6.725990795649799,6.7259907956498,6.725990795649799,7.663669201389766
4.2,9.911194571843462,4.881438921293513,8.569643641192192,6.725541281242853,6.725541281242853,6.725541281242853,7.663166013670327
4.3,9.911026729174614,4.881144141890793,8.569123169714793,6.725133655802793,6.725133655802793,6.725133655802793,7.6627097191282045
4.4,9.910874524985198,4.880876843716017,8.568651184550578,6.7247640141332985,6.724764014133298,6.7247640141332985,7.6622959456769815
4.5,9.910736502346584,4.88063446300352,8.568223168311805,6.724428815657663,6.724428815657663,6.724428815657663,7.661920729483014
4.6,9.910611340012572,4.880414675602433,8.567835024809778,6.724124850206104,6.724124850206106,6.724124850206104,7.6615804766576465
4.7,9.91049783979817,4.8802153744690875,8.567483039658448,6.723849207063767,6.723849207063767,6.723849207063767,7.661271928598852
4.8,9.91039491512802,4.880034649303806,8.567163844603984,6.723599246953896,6.723599246953896,6.723599246953896,7.660992130618715
4.9,9.910301580647447,4.879870768119506,8.566874385215161,6.723372576667334,6.723372576667334,6.723372576667334,7.660738403533903
5.0,9.910216942798328,4.879722160552882,8.566611891609103,6.7231670260809935,6.7231670260809935,6.7231670260809935,7.660508317931234
5.1,9.910140191270873,4.879587402749102,8.566373851920982,6.722980627335042,6.722980627335044,6.722980627335042,7.660299670850762
5.2,9.91007059125035,4.879465203668586,8.566157988256167,6.722811595962377,6.722811595962376,6.722811595962377,7.66011046465522
5.3,9.910007476385125,4.87935439267977,8.565962234889575,6.722658313784673,6.722658313784673,6.722658313784673,7.659938887877953
5.4,9.909950242409167,4.879253908315504,8.565784718500172,6.722519313407838,6.722519313407837,6.722519313407838,7.659783297862082
5.5,9.909898341358238,4.879162788082727,8.565623740249219,6.722393264165973,6.722393264165975,6.722393264165973,7.659642205021931
5.6,9.909851276324638,4.879080159225897,8.565477759529365,6.722278959377631,6.722278959377631,6.722278959377631,7.659514258574116
5.7,9.909808596700428,4.879005230354278,8.565345379228178,6.722175304791229,6.722175304791228,6.722175304791229,7.659398233600382
5.8,9.909769893863697,4.87893728385182,8.565225332364518,6.722081308108169,6.7220813081081685,6.722081308108169,7.65929301931734
5.9,9.909734797266625,4.878875668996128,8.565116469969684,6.7219960694829055,6.7219960694829055,6.7219960694829055,7.65919760844023
6.0,9.909702970888016,4.8788197957200605,8.565017750097125,6.721918772908593,6.721918772908594,6.721918772908593,7.659111087538383
6.1,9.909674110016267,4.878769128955696,8.56492822785559,6.721848678405644,6.721848678405644,6.721848678405644,7.659032628289761
6.2,9.909647938332077,4.878723183506204,8.564847046370337,6.721785114938271,6.721785114938271,6.721785114938271,7.65896147955067
6.3,9.909624205262956,4.878681519396219,8.564773428585935,6.721727473991077,6.721727473991077,6.721727473991077,7.658896960164536
6.4,9.909602683584215,4.878643737655996,8.56470666983234,6.721675203744168,6.721675203744168,6.721675203744168,7.658838452440849
6.5,9.909583167243479,4.87860947649882,8.56464613108314,6.72162780379098,6.72162780379098,6.72162780379098,7.658785396241775
6.6,9.909565469387903,4.878578407854931,8.564591232841556,6.721584820348244,6.7215848203482444,6.721584820348244,7.658737283619768
6.7,9.909549420575196,4.878550234228672,8.564541449595739,6.721545841912206,6.721545841912205,6.721545841912206,7.658693653954839
6.8,9.909534867151349,4.87852468584872,8.5644963047904,6.721510495319559,6.721510495319558,6.721510495319559,7.658654089544918
6.9,9.909521669779506,4.878501518084006,8.564455366266664,6.721478442175335,6.721478442175335,6.721478442175335,7.658618211607073
7.0,9.909509702105929,4.878480509100579,8.564418242126617,6.721449375613599,6.721449375613599,6.721449375613599,7.65858567665129
7.1,9.909498849550237,4.878461457736887,8.564384576982954,6.721423017359921,6.721423017359922,6.721423017359921,7.6585561731921485
