layout,run_id,dx_um,dt_diffusion_min,total_volume_um3,point_count,mean_absolute_error_uM,rmse_uM,mean_relative_error_percent,max_relative_error_percent
cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0,101,0.005312637652182093,0.005554564623562596,0.054238649675994885,0.06359558228992046
cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_523um3,10.0,0.05,523.0,101,0.0055103259281093315,0.005763153541037907,0.056257861352572436,0.06595476773624319
inner_voxels,inner_voxels__dx_10um__dtdiff_0p05min__volume_1000um3,10.0,0.05,1000.0,101,0.029227739112460665,0.03036101019653563,0.2983989720031742,0.3404885360295317
inner_voxels,inner_voxels__dx_10um__dtdiff_0p05min__volume_523um3,10.0,0.05,523.0,101,0.02938055642136241,0.03051810839677129,0.2999588586688285,0.3422304646193258
cells_10,cells_10__dx_10um__dtdiff_0p1min__volume_1000um3,10.0,0.1,1000.0,101,0.06942804848390488,0.0712474997240193,0.7086308272833504,0.7824315645723523
cells_10,cells_10__dx_10um__dtdiff_0p1min__volume_523um3,10.0,0.1,523.0,101,0.06950732023066354,0.07132929336221036,0.7094400792271328,0.78331629567992
inner_voxels,inner_voxels__dx_10um__dtdiff_0p1min__volume_1000um3,10.0,0.1,1000.0,101,0.07699135329571714,0.07907607516154476,0.7858463600025617,0.8676841687034131
inner_voxels,inner_voxels__dx_10um__dtdiff_0p1min__volume_523um3,10.0,0.1,523.0,101,0.07705947777019032,0.07914635751527585,0.7865418047205675,0.8684542467650147
cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1.0,101,0.08469058057826352,0.087656713294058,0.8645849909865533,0.986600614321214
inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1um3,20.0,0.1,1.0,101,0.08469058057826367,0.08765671329405811,0.8645849909865548,0.986600614321214
inner_voxels,inner_voxels__dx_20um__dtdiff_0p05min__volume_1um3,20.0,0.05,1.0,101,0.08714503444322413,0.09048358444385822,0.8896940395968076,1.0268814134355742
cells_10,cells_10__dx_20um__dtdiff_0p05min__volume_1um3,20.0,0.05,1.0,101,0.08714503444322416,0.09048358444385826,0.8896940395968078,1.0268814134355742
cells_10,cells_10__dx_40um__dtdiff_0p1min__volume_1um3,40.0,0.1,1.0,101,0.10291117460086688,0.10727527185373717,1.0507286869842487,1.2239763508669623
cells_10,cells_10__dx_40um__dtdiff_0p05min__volume_1um3,40.0,0.05,1.0,101,0.10681054267676866,0.11140298181890913,1.090551884186686,1.271766176235145
