tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,time_min,average_uM,origin_center_uM,center_uM,cell_voxel_average_uM
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.0,10.0,10.0,10.0,10.0
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.1,9.991433851460023,9.272705603417213,9.521139613564108,9.722815060454456
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.2,9.983290448743345,9.005376128727866,9.27372160163036,9.55719772486502
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.3,9.97535851199101,8.860363126659303,9.134137973854532,9.45046428619764
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.4,9.967692982099816,8.767543945901522,9.043147678965761,9.375464310046294
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.5,9.960384176448242,8.702077377412415,8.978268985906581,9.319436216039426
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.6,9.953510894172052,8.652892671882956,8.92917269935577,9.275686914478655
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.7,9.947124085940882,8.61428268867911,8.890432858360153,9.240389410308973
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.8,9.941246353616354,8.582994825970879,8.858917030474736,9.211201776733276
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,0.9,9.935877601472988,8.557034794241847,8.832686743911648,9.186611615986351
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.0,9.931001799067575,8.535109219059876,8.810476217834553,9.165598071168272
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.1,9.926592846442798,8.516340266856563,8.791421949223407,9.147445411934898
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.2,9.922619031079117,8.50010861974656,8.77491235308687,9.131634567957553
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.3,9.919046168119676,8.485962141316044,8.760499562904283,9.11777730612422
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.4,9.915839694090995,8.473560411849997,8.747845506663253,9.105574934209073
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.5,9.912965992104903,8.462639878471961,8.736687847272677,9.094791682654833
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.6,9.910393178741998,8.45299134026183,8.72681789299109,9.085237150066657
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.7,9.9080915263161,8.444445052065115,8.718065943948258,9.076754486106717
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.8,9.906033645174155,8.43686065452269,8.710291370570118,9.06921227972523
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,1.9,9.904194512746734,8.43012022520938,8.703375762263708,9.062498880894488
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.0,9.902551408361672,8.424123383971885,8.697218101195544,9.056518344436666
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.1,9.901083793269093,8.418783771742008,8.69173129154808,9.051187470281347
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.2,9.899773161801388,8.414026461565715,8.686839608875621,9.046433595283796
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.3,9.898602880381828,8.409786011990265,8.682476783005944,9.042192907881157
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.4,9.897558024898,8.406004970170908,8.678584523873448,9.038409132383453
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.5,9.89662522283034,8.402632695270666,8.675111362231751,9.035032479280375
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.6,9.89579250380918,8.399624414252852,8.672011718371074,9.032018790765335
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.7,9.895049160507797,8.396940449687756,8.669245139281463,9.029328832557866
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.8,9.894385620649826,8.39454557758133,8.66677566294991,9.026927697789416
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,2.9,9.893793330204051,8.392408485611497,8.664571280750433,9.024784298639368
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.0,9.89326464741389,8.390501310556695,8.662603477196095,9.022870928161824
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.1,9.892792747066478,8.38879923944949,8.660846831992137,9.021162879379721
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.2,9.892371534281986,8.387280162960595,8.659278673233533,9.019638111937201
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.3,9.891995567055073,8.38592437229491,8.657878773306452,9.018276958856353
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.4,9.891659986778432,8.384714292847374,8.656629080966889,9.017061867549193
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.5,9.891360456004621,8.383634249279487,8.655513484438409,9.015977170396678
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.6,9.89109310274435,8.382670257711219,8.65451760136674,9.015008881062169
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.7,9.890854470649643,8.381809841493,8.65362859220767,9.014144513350638
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.8,9.890641474483278,8.381041867608321,8.652834994184419,9.013372919919936
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,3.9,9.890451360328964,8.380356401212119,8.652126573384196,9.012684148539542
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,4.0,9.890281670047838,8.37974457617029,8.651494192906762,9.012069313904737
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,4.1,9.890130209534904,8.379198479756766,8.650929695255318,9.011520483270028
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,4.2,9.889995020373675,8.378711049903984,8.650425797388591,9.011030574378927
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,4.3,9.889874354528235,8.378275983602421,8.649975997044672,9.010593264347811
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,4.4,9.88976665174919,8.377887655214415,8.649574489110002,9.010202908316243
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,4.5,9.889670519403815,8.377541043612304,8.64921609094706,9.009854466810058
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,4.6,9.889584714471107,8.377231667176432,8.648896175716063,9.0095434408806
PhysiCell,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,4.7,9.889508127469963,8.376955525797612,8.64861061283231,9.009265814185968
