run_id,output_dir,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,mean_origin_relative_error_percent,final_origin_center_uM
dx_2um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_2um__uptake_12044__dtdiff_0p1min__volume_1um3,2.0,12044,0.1,1.0,0.011948541339665787,9.984622984420414
dx_2um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_2um__uptake_12044__dtdiff_0p1min__volume_523um3,2.0,12044,0.1,523.0,0.012027634170537812,9.984521209622939
dx_2um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_2um__uptake_12044__dtdiff_0p1min__volume_1000um3,2.0,12044,0.1,1000.0,0.012027706923879188,9.984521116005723
dx_3um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_3um__uptake_12044__dtdiff_0p1min__volume_1um3,3.0,12044,0.1,1.0,0.03798413426726644,9.9522777993956
dx_3um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_3um__uptake_12044__dtdiff_0p1min__volume_523um3,3.0,12044,0.1,523.0,0.03882975844964121,9.951215764646323
dx_3um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_3um__uptake_12044__dtdiff_0p1min__volume_1000um3,3.0,12044,0.1,1000.0,0.0388305483940966,9.95121477254856
dx_2um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_2um__uptake_12044__dtdiff_0p01min__volume_1um3,2.0,12044,0.01,1.0,0.11601165078102345,9.866909984494319
dx_2um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_2um__uptake_12044__dtdiff_0p01min__volume_523um3,2.0,12044,0.01,523.0,0.1235225336206442,9.858298522087294
dx_2um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_2um__uptake_12044__dtdiff_0p01min__volume_1000um3,2.0,12044,0.01,1000.0,0.12352984179643353,9.858290143337234
dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,5.0,12044,0.1,1.0,0.16238988507376279,9.80292954459243
