tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,time_min,average_uM,origin_center_uM,center_uM,cell_voxel_average_uM
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.0,10.0,10.0,10.0,10.0
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.1,9.999909586929917,8.750129719183905,9.999999999999998,9.999999999999998
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.2,9.999819692748666,8.724131502658876,9.98163836422561,9.98163836422561
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.3,9.999730044262364,8.718576706100288,9.975723417997136,9.975723417997136
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.4,9.999640870033032,8.716128198341734,9.97299394762747,9.97299394762747
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.5,9.999552529474014,8.714695586801401,9.971379820322298,9.971379820322298
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.6,9.999465447605083,8.713731119916185,9.970288317771553,9.970288317771553
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.7,9.999380060787265,8.71302591611597,9.969488274817795,9.969488274817795
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.8,9.99929677474505,8.712481489405127,9.96886967402515,9.96886967402515
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,0.9,9.99921593801528,8.712044685702176,9.9683728288066,9.9683728288066
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.0,9.999137829384441,8.71168400800896,9.967962253377172,9.967962253377172
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.1,9.999062655700772,8.711379473807762,9.96761538223198,9.96761538223198
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.2,9.998990556262552,8.711117730698051,9.967317111088832,9.967317111088832
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.3,9.998921610711527,8.710889486989021,9.967056915289266,9.967056915289266
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.4,9.998855848291019,8.710688062955425,9.96682722087501,9.96682722087501
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.5,9.99879325713745,8.71050852685765,9.966622431224273,9.966622431224273
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.6,9.998733792869773,8.71034715531229,9.966438318127919,9.966438318127919
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.7,9.998677386136853,8.710201082972794,9.966271625959017,9.966271625959017
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.8,9.99862394902415,8.710068067586427,9.966119805907795,9.966119805907795
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,1.9,9.998573380356945,8.709946328030457,9.965980832591741,9.965980832591741
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,2.0,9.998525570004672,8.709834430018958,9.96585307453326,9.96585307453326
PhysiCell,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,2.1,9.998480402317572,8.709731203830529,9.965735200856289,9.965735200856289
