run_id,output_dir,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,mean_origin_relative_error_percent,final_origin_center_uM
dx_40um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_40um__uptake_12044__dtdiff_0p005min__volume_1um3,40.0,12044,0.005,1.0,0.07758259968793198,9.909629795960587
dx_40um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_40um__uptake_12044__dtdiff_0p01min__volume_1um3,40.0,12044,0.01,1.0,0.07838121849473885,9.908726515788812
dx_40um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_40um__uptake_12044__dtdiff_0p1min__volume_1um3,40.0,12044,0.1,1.0,0.09281233359101056,9.892377543492023
dx_20um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_20um__uptake_12044__dtdiff_0p005min__volume_1um3,20.0,12044,0.005,1.0,0.20469484123731724,9.777153569668723
dx_20um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_20um__uptake_12044__dtdiff_0p01min__volume_1um3,20.0,12044,0.01,1.0,0.21032159986396998,9.77135956006033
dx_20um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_20um__uptake_12044__dtdiff_0p1min__volume_1um3,20.0,12044,0.1,1.0,0.30541739722533745,9.673467937122487
dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,10.0,12044,0.005,1.0,0.45242709935050174,9.526891156915154
dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.4831403307268606,9.496234663023898
dx_10um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_10um__uptake_12044__dtdiff_0p1min__volume_1um3,10.0,12044,0.1,1.0,0.7991650196010812,9.180988232803259
dx_5um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_5um__uptake_12044__dtdiff_0p005min__volume_1um3,5.0,12044,0.005,1.0,0.8860476507171465,9.093314750334365
dx_5um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_5um__uptake_12044__dtdiff_0p01min__volume_1um3,5.0,12044,0.01,1.0,0.946952172645622,9.033958377892422
dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,5.0,12044,0.1,1.0,1.156587896608124,8.82877847221895
dx_5um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_5um__uptake_12044__dtdiff_0p1min__volume_523um3,5.0,12044,0.1,523.0,1.2755377997486945,8.70834752957848
dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,1.275657685473662,8.708226153415941
dx_10um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_10um__uptake_12044__dtdiff_0p1min__volume_523um3,10.0,12044,0.1,523.0,1.4280112130911642,8.537377790243355
dx_10um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_10um__uptake_12044__dtdiff_0p1min__volume_1000um3,10.0,12044,0.1,1000.0,1.429038754940953,8.536326736458639
dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,5.0,12044,0.01,523.0,1.7703399979366659,8.194646811317394
dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,5.0,12044,0.01,1000.0,1.7717477414292757,8.193212371439502
dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,1.8233035283566157,8.062344476349978
dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,1.83162135973135,8.053568616289196
dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,1.9845304410602558,7.749821952995322
dx_40um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_40um__uptake_12044__dtdiff_0p1min__volume_1000um3,40.0,12044,0.1,1000.0,2.0221738351781013,7.708128586981832
dx_5um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_5um__uptake_12044__dtdiff_0p005min__volume_523um3,5.0,12044,0.005,523.0,2.1406477396700243,7.811119661126628
dx_5um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_5um__uptake_12044__dtdiff_0p005min__volume_1000um3,5.0,12044,0.005,1000.0,2.1434210367093827,7.808287427828768
dx_40um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_40um__uptake_12044__dtdiff_0p01min__volume_523um3,40.0,12044,0.01,523.0,2.270648903942321,7.419728444255995
dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,2.291235265053207,7.395901580421669
dx_40um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_40um__uptake_12044__dtdiff_0p01min__volume_1000um3,40.0,12044,0.01,1000.0,2.3297381922101397,7.353787932702544
dx_40um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_40um__uptake_12044__dtdiff_0p005min__volume_1000um3,40.0,12044,0.005,1000.0,2.3520805552759745,7.327984377132039
dx_10um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_10um__uptake_12044__dtdiff_0p01min__volume_523um3,10.0,12044,0.01,523.0,2.442374277828187,7.461220616367005
dx_10um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_10um__uptake_12044__dtdiff_0p01min__volume_1000um3,10.0,12044,0.01,1000.0,2.4514566359627215,7.451814334344596
dx_20um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_20um__uptake_12044__dtdiff_0p01min__volume_523um3,20.0,12044,0.01,523.0,2.6902336858599774,7.106296236684961
dx_20um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_20um__uptake_12044__dtdiff_0p01min__volume_1000um3,20.0,12044,0.01,1000.0,2.719486106148589,7.075142742897062
dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,10.0,12044,0.005,523.0,2.7516281687764526,7.1338172508678275
dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,2.7644622360321893,7.120507843557051
dx_20um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_20um__uptake_12044__dtdiff_0p005min__volume_523um3,20.0,12044,0.005,523.0,2.7957367732340197,6.990110899308484
dx_20um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_single_central_sink/dx_20um__uptake_12044__dtdiff_0p005min__volume_1000um3,20.0,12044,0.005,1000.0,2.828392948044756,6.955315013429451
