tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,average_source,center_source,raw_center_source,time_min,average_uM,center_uM,raw_center_uM
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.0,10.0,10.0,10.0
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.1,9.931426467156843,6.708470423528492,0.12541127058547621
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.2,9.889932146077571,6.060054657278882,0.06656191775452117
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.3,9.852370371395095,5.686239946412444,0.06107925387800221
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.4,9.81785908310429,5.446775208079299,0.05807100421767877
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.5,9.786200128253006,5.281766629699377,0.05611971902075318
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.6,9.757316777373763,5.161397199926336,0.05474375210352847
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.7,9.731125552560902,5.069619436928961,0.05371621941054416
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.8,9.707507103492356,4.9972105480094315,0.05291663094893829
PhysiCell,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.9,9.686308518315615,4.938561424402828,0.05227530044358179
