tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,average_source,center_source,raw_center_source,time_min,average_uM,center_uM,raw_center_uM
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.0,10.0,10.0,10.0
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.1,9.853218647806422,5.372691243327071,7.425975113603849
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.2,9.782547420000618,4.704158480594166,6.236178704122436
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.3,9.720877287737279,4.345311350912495,5.660419598469466
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.4,9.666648003668703,4.12367350139758,5.32717193744652
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.5,9.619272811182137,3.972749241219586,5.1091254352789255
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.6,9.578234544684715,3.8628392819326964,4.954234654584391
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.7,9.542943435254239,3.779006585913495,4.837919965067492
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.8,9.512762871498355,3.712982729508864,4.747186025739172
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.9,9.48705668923168,3.6598147872410496,4.6745203047140995
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.0,9.465223830944062,3.616331586474391,4.615251653017177
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.1,9.446717302142037,3.5803836921061865,4.5662921253370365
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.2,9.431051522394212,3.5504416084711843,4.525490645596971
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.3,9.417802510475056,3.5253716829874144,4.491280424006632
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.4,9.406604167221003,3.5043052181763423,4.462476926415176
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.5,9.397142743578236,3.486558747602392,4.438157100026575
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.6,9.389150724836998,3.4715834901447686,4.417584309519931
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.7,9.382400807556227,3.4589320155665115,4.400159886742279
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.8,9.376700308708267,3.4482353899318814,4.385390652958049
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.9,9.371886150851997,3.4391869073913925,4.372866308732776
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.0,9.3678204583633,3.431530099245769,4.362243102755996
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.1,9.364386742682505,3.4250496173852967,4.353231623656963
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.2,9.361486627382185,3.419564118269186,4.345587391750628
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.3,9.359037053506713,3.414920588321308,4.339103420203224
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.4,9.356967904363952,3.4109897422832662,4.3336042109134105
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.5,9.355219992287967,3.407662243839385,4.328940830795211
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.6,9.353743355305108,3.40484557217135,4.32498682601747
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.7,9.352495817724867,3.4024614062059295,4.321634802505673
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.8,9.351441774701511,3.400443430336423,4.318793546825351
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.9,9.350551166409533,3.3987354873800135,4.316385592072741
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,3.0,9.349798612493515,3.3972900201260994,4.314345154371814
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,3.1,9.349162681853901,3.3960667542578133,4.31261638050355
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,3.2,9.348625276636584,3.395031584062857,4.3111518581954265
PhysiCell,dx_20um__uptake_1p2044e16__dtdiff_0p01min,20.0,12044000000000000,0.01,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,3.3,9.348171112556896,3.394155629051957,4.309911348981649
