tool,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,average_source,center_source,raw_center_source,time_min,average_uM,center_uM,raw_center_uM
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.0,10.0,10.0,10.0
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.1,9.998931623931623,9.999999999999998,9.999999999999998
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.2,9.99787406833661,9.971100360309276,9.939806743181927
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.3,9.996823517529002,9.945565899500899,9.900100650195522
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.4,9.995782484832956,9.931143125872087,9.890803549858482
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.5,9.994754859402075,9.920375349352831,9.877991106744917
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.6,9.993745588950842,9.911993458268253,9.867854144881948
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.7,9.992759550073973,9.9053273929308,9.859997742077976
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.8,9.991801090097544,9.899889067198682,9.853741213521536
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,0.9,9.990873788429031,9.895350802639939,9.848619766183587
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.0,9.989980376801903,9.89149111787291,9.844329861726463
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.1,9.989122762588934,9.888156340837277,9.84066820670979
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.2,9.988302109786138,9.885236870774289,9.837494087562748
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.3,9.987518945645942,9.882652559461215,9.8347071008734
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.4,9.986773272761337,9.880343494794282,9.832233693642396
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.5,9.986064675168327,9.878264020717591,9.83001875028055
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.6,9.985392412874448,9.87637874670441,9.82802015443998
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.7,9.984755502810136,9.874659815963893,9.826205164547513
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.8,9.984152786239465,9.873084992523488,9.824547932099312
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,1.9,9.98358298371422,9.871636294954284,9.823027762118967
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.0,9.983044739103073,9.870299003609372,9.821627868917885
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.1,9.982536654333334,9.869060928430725,9.820334470496954
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.2,9.982057316407086,9.867911861896165,9.819136119460888
PhysiCell,dx_5um__uptake_20__dtdiff_0p1min,5.0,20,0.1,mean over all voxels,mean over unique voxels nearest the configured cell positions,single center voxel nearest the origin,2.3,9.981605318092972,9.86684316564649,9.818023202224072
