metric,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,point_count,mean_absolute_error_uM,max_absolute_error_uM,rmse_uM,mean_relative_error_percent,max_relative_error_percent,rmse_percent
average,dx_5um__uptake_12044__dtdiff_0p005min__volume_1000um3,5.0,12044,0.005,1000.0,100.0,101,0.05260960718694447,0.06153870285300478,0.05404989483568477,0.5369265027206521,0.6275672560961745,0.5517961200059591
average,dx_5um__uptake_12044__dtdiff_0p005min__volume_523um3,5.0,12044,0.005,523.0,52.300000000000004,101,0.06364418696711632,0.07015968531365324,0.06535709919742026,0.6496083925797776,0.7171049067401155,0.667314328473171
average,dx_10um__uptake_12044__dtdiff_0p01min__volume_523um3,10.0,12044,0.01,523.0,52.300000000000004,101,0.07350339802099191,0.08101287844193905,0.07447601474522748,0.7498945071026984,0.8253337280268215,0.7599966501237837
average,dx_10um__uptake_12044__dtdiff_0p01min__volume_1000um3,10.0,12044,0.01,1000.0,100.0,101,0.07397501002041977,0.08149428924651403,0.07495539893319626,0.7547072792400547,0.8302789541682132,0.7648906731912273
average,dx_10um__uptake_12044__dtdiff_0p1min__volume_1000um3,10.0,12044,0.1,1000.0,100.0,101,0.07699135329571714,0.08493307889239965,0.07907607516154476,0.7858463600025617,0.8676841687034131,0.8074030577183954
average,dx_10um__uptake_12044__dtdiff_0p1min__volume_523um3,10.0,12044,0.1,523.0,52.300000000000004,101,0.07705947777019032,0.08500829239527796,0.07914635751527585,0.7865418047205675,0.8684542467650147,0.8081208405323692
average,dx_20um__uptake_12044__dtdiff_0p1min__volume_1um3,20.0,12044,0.1,1.0,0.1,101,0.08469058057826367,0.09652644680078737,0.08765671329405811,0.8645849909865548,0.986600614321214,0.8952120513756651
average,dx_20um__uptake_12044__dtdiff_0p01min__volume_1um3,20.0,12044,0.01,1.0,0.1,101,0.08968687267559043,0.10420284106994693,0.09336576040932498,0.9156859811247362,1.0650613424712416,0.9536161291241623
average,dx_20um__uptake_12044__dtdiff_0p005min__volume_1um3,20.0,12044,0.005,1.0,0.1,101,0.09004947597714588,0.1047150405529731,0.09377343186587783,0.919393106436204,1.070296553559572,0.9577846719175349
average,dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,5.0,12044,0.01,1000.0,100.0,101,0.09115295243490518,0.10244078247409583,0.09376021287971024,0.9304275146869291,1.0470383282417854,0.9573914960135343
average,dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,5.0,12044,0.01,523.0,52.300000000000004,101,0.09666558711883576,0.10788788350094158,0.09950446942311986,0.9867204788973406,1.1027263062891102,1.0160748778254565
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,10.0,12044,0.005,1.0,0.1,101,0.09790529172513525,0.11216300523739875,0.10143419799007848,0.999508974862386,1.146422493927628,1.0359432204962256
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,10.0,12044,0.005,523.0,52.300000000000004,101,0.09860563068634572,0.10773208381064059,0.09995545919157,1.00602462576842,1.097832273702732,1.0200544981167188
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,101,0.09919280841193716,0.10833906992855269,0.10055217422438242,1.0120164915049368,1.1040556493204365,1.026145950743449
average,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,101,0.09964790702049775,0.11387705052248087,0.10316662943115197,1.0172856800875814,1.1639418182919286,1.0536219689994546
average,dx_40um__uptake_12044__dtdiff_0p1min__volume_1um3,40.0,12044,0.1,1.0,0.1,101,0.10940139870680342,0.12704557250355464,0.11401208397268743,1.1169905170556496,1.2985378000858405,1.1644982841950642
average,dx_40um__uptake_12044__dtdiff_0p01min__volume_1um3,40.0,12044,0.01,1.0,0.1,101,0.11874614347282024,0.13783563073922345,0.12374938644086088,1.2124004228748597,1.4088234102652228,1.263952568323267
average,dx_40um__uptake_12044__dtdiff_0p005min__volume_1um3,40.0,12044,0.005,1.0,0.1,101,0.11927864759316918,0.13844474581474842,0.12430274057479246,1.2178370461111598,1.4150491994413799,1.269604125351391
average,dx_10um__uptake_12044__dtdiff_0p1min__volume_1um3,10.0,12044,0.1,1.0,0.1,101,0.1221572711630777,0.13595167268399244,0.12575085834875202,1.2469305723623638,1.3895053135220539,1.2840942198105156
average,dx_5um__uptake_12044__dtdiff_0p005min__volume_1um3,5.0,12044,0.005,1.0,0.1,101,0.1280718750023005,0.14508525567166153,0.13227172739786608,1.30739776613403,1.482922112216857,1.3508009395042342
average,dx_5um__uptake_12044__dtdiff_0p01min__volume_1um3,5.0,12044,0.01,1.0,0.1,101,0.13646834562522386,0.15422167994737457,0.14086047917866656,1.3930947665424889,1.5763058645652777,1.438492971270792
average,dx_3um__uptake_12044__dtdiff_0p005min__volume_1000um3,3.0,12044,0.005,1000.0,100.0,101,0.13844972360155605,0.15590094518537256,0.14273831218803273,1.4132861175616172,1.5934539344279233,1.4576293739307704
average,dx_3um__uptake_12044__dtdiff_0p005min__volume_523um3,3.0,12044,0.005,523.0,52.300000000000004,101,0.1395638421096923,0.157349815598403,0.14387492628568566,1.4246561180938953,1.6081695019292133,1.469231308490241
average,dx_3um__uptake_12044__dtdiff_0p005min__volume_1um3,3.0,12044,0.005,1.0,0.1,101,0.15775319334206095,0.17818102841842354,0.16280341974295856,1.610369037865672,1.8211953088960944,1.6625733926940407
average,dx_3um__uptake_12044__dtdiff_0p01min__volume_1000um3,3.0,12044,0.01,1000.0,100.0,101,0.15989509960246803,0.1801437990190209,0.16492046118617779,1.6322145661463934,1.8412386465543027,1.684169812183842
average,dx_3um__uptake_12044__dtdiff_0p01min__volume_523um3,3.0,12044,0.01,523.0,52.300000000000004,101,0.16023811073732158,0.1803152315445793,0.16527020575271778,1.635715148611173,1.8429266319281814,1.6877398477001788
average,dx_3um__uptake_12044__dtdiff_0p01min__volume_1um3,3.0,12044,0.01,1.0,0.1,101,0.167328172657513,0.188813671066681,0.17265039323263434,1.7081047985131994,1.9298719681569343,1.7631237497713577
average,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,101,0.17015099635012057,0.19047288872558887,0.17535528024864538,1.7368758040620167,1.9467605633467204,1.790686777331514
average,dx_5um__uptake_12044__dtdiff_0p1min__volume_523um3,5.0,12044,0.1,523.0,52.300000000000004,101,0.17022689528156099,0.19055492138980235,0.17543533579516596,1.7376509853134479,1.9476016308303166,1.7915047881776056
average,dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,5.0,12044,0.1,1.0,0.1,101,0.17223341778549478,0.19298383305687317,0.17753334611644359,1.7581399278893806,1.9724433739466316,1.8129380449544956
average,dx_2um__uptake_12044__dtdiff_0p005min__volume_1000um3,2.0,12044,0.005,1000.0,100.0,101,0.17223390654936643,0.19435733716053427,0.1777167086431733,1.7581840236575808,1.9865339976323908,1.8148628018879622
average,dx_2um__uptake_12044__dtdiff_0p005min__volume_523um3,2.0,12044,0.005,523.0,52.300000000000004,101,0.17237527973396283,0.1944503906107098,0.17785906202670063,1.759626443714115,1.9874851006114258,1.8163154358624785
average,dx_2um__uptake_12044__dtdiff_0p005min__volume_1um3,2.0,12044,0.005,1.0,0.1,101,0.1760458076938215,0.19880100003757128,0.18167355007582392,1.7971012231476216,2.0319528509065523,1.8552764483061577
average,dx_2um__uptake_12044__dtdiff_0p01min__volume_1000um3,2.0,12044,0.01,1000.0,100.0,101,0.18072253508542446,0.20398075675090688,0.1864839551156886,1.8448386742676433,2.0848953482716333,1.9043968601635084
average,dx_2um__uptake_12044__dtdiff_0p01min__volume_523um3,2.0,12044,0.01,523.0,52.300000000000004,101,0.18075284889982932,0.2039974706269092,0.18651408687555224,1.8451478827225012,2.0850661814565075,1.9047042103061047
average,dx_2um__uptake_12044__dtdiff_0p01min__volume_1um3,2.0,12044,0.01,1.0,0.1,101,0.18182766466645836,0.20527220248230016,0.18763241928810506,1.8561216478588152,2.0980952659541385,1.9161271358408216
average,dx_3um__uptake_12044__dtdiff_0p1min__volume_523um3,3.0,12044,0.1,523.0,52.300000000000004,101,0.18583494791865196,0.2091760216037084,0.19171048681963296,1.8970165629368043,2.137975200959093,1.9577560359521324
average,dx_3um__uptake_12044__dtdiff_0p1min__volume_1000um3,3.0,12044,0.1,1000.0,100.0,101,0.18583518137933774,0.20917819789724135,0.1917108351456994,1.8970189690958068,2.137997444720915,1.9577596279631717
average,dx_3um__uptake_12044__dtdiff_0p1min__volume_1um3,3.0,12044,0.1,1.0,0.1,101,0.18596546058437022,0.2093413337558836,0.19184755526950903,1.89834935752274,2.1396648462590564,1.959156456000673
average,dx_2um__uptake_12044__dtdiff_0p1min__volume_523um3,2.0,12044,0.1,523.0,52.300000000000004,101,0.189479212124328,0.21371256417301154,0.1955300643704013,1.934230025498504,2.1843550390557818,1.9967781800487392
average,dx_2um__uptake_12044__dtdiff_0p1min__volume_1000um3,2.0,12044,0.1,1000.0,100.0,101,0.18948019507157673,0.21371457313049724,0.1955311408727463,1.9342400725225082,2.184375572600097,1.9967891920650926
average,dx_2um__uptake_12044__dtdiff_0p1min__volume_1um3,2.0,12044,0.1,1.0,0.1,101,0.18949140197567077,0.21372796173895026,0.1955428656277648,1.934354507173287,2.184512417499476,1.9969089680487204
average,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,101,0.24629282409940761,0.2638603939735429,0.25051347548945607,2.5132507308417225,2.695771173048528,2.5572114725664044
average,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,101,0.2475472557710888,0.2651932468231166,0.2517858186413968,2.5260502906933255,2.7093892603133964,2.5701983102948156
average,dx_20um__uptake_12044__dtdiff_0p01min__volume_523um3,20.0,12044,0.01,523.0,52.300000000000004,101,0.4163642397837399,0.4430489689830299,0.421287327108879,4.247746173985488,4.51544569851367,4.2990689698447415
average,dx_20um__uptake_12044__dtdiff_0p01min__volume_1000um3,20.0,12044,0.01,1000.0,100.0,101,0.4193138529119133,0.44612072634911293,0.424259332614419,4.2778335057597205,4.546735460370487,4.32939171669263
average,dx_20um__uptake_12044__dtdiff_0p005min__volume_523um3,20.0,12044,0.005,523.0,52.300000000000004,101,0.431494914233069,0.45920670402047925,0.436468568841167,4.402042669497366,4.679138734271563,4.453890602558173
average,dx_20um__uptake_12044__dtdiff_0p005min__volume_1000um3,20.0,12044,0.005,1000.0,100.0,101,0.4346533857515255,0.4624925165286822,0.4396497463291034,4.434259731617705,4.712619893074507,4.486346437903236
