metric,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,time_min,source_column,simulated_uM,analytical_uM,absolute_error_uM,relative_error_percent
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.0,mean over all voxels,10.0,10.0,0.0,0.0
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.1,mean over all voxels,9.960472970889565,9.986105329945053,0.02563235905548744,0.2566802392783141
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.2,mean over all voxels,9.93379834971533,9.972220687405175,0.03842233768984471,0.3852936963014846
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.3,mean over all voxels,9.908970335933876,9.958393330312607,0.04942299437873032,0.49629486142398505
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.4,mean over all voxels,9.885569961065002,9.944769333256483,0.05919937219148075,0.5952815013366982
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.5,mean over all voxels,9.863707312204639,9.931543039822706,0.06783572761806766,0.6830331132439883
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.6,mean over all voxels,9.843543876987344,9.918893459802515,0.07534958281517135,0.7596571444237648
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.7,mean over all voxels,9.825166766208085,9.90695193631634,0.08178517010825459,0.8255331269797643
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.8,mean over all voxels,9.808576087709929,9.895797141087609,0.08722105337768049,0.8813949208349916
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,0.9,mean over all voxels,9.793705762682526,9.885462888812414,0.09175712612988818,0.9282026260371847
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.0,mean over all voxels,9.780448333457937,9.875949383531204,0.09550105007326692,0.9670062731641904
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.1,mean over all voxels,9.7686749153151,9.867233712533773,0.09855879721867389,0.9988493238330859
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.2,mean over all voxels,9.758249050770633,9.859278254223913,0.10102920345327959,1.0247119601274735
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.3,mean over all voxels,9.749035516468524,9.852036906668893,0.1030013902003688,1.0454831947558647
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.4,mean over all voxels,9.740905498479503,9.845459476334334,0.104553977854831,1.0619512284434143
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.5,mean over all voxels,9.733739334639187,9.839494651317585,0.10575531667839755,1.0748043515043335
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.6,mean over all voxels,9.727427702324414,9.834091939593785,0.10666423726937069,1.0846373811080787
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.7,mean over all voxels,9.721871853114243,9.829202874718243,0.10733102160400065,1.091960588992089
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.8,mean over all voxels,9.716983290244222,9.824781715375716,0.1077984251314934,1.0972093656064603
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,1.9,mean over all voxels,9.712683142375022,9.82078580246079,0.10810266008576797,1.100753669412897
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,2.0,mean over all voxels,9.70890139217981,9.817175689404461,0.10827429722465176,1.1029067895923537
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,2.1,mean over all voxels,9.705576056312463,9.813915126241016,0.10833906992855269,1.1039332268002746
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,2.2,mean over all voxels,9.70265237361548,9.810970952671639,0.10831857905615827,1.1040556493204365
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,2.3,mean over all voxels,9.700082033348686,9.808312937594167,0.10823090424548099,1.103460961473242
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,2.4,mean over all voxels,9.697822459620868,9.805913590172077,0.10809113055120889,1.1023055583473897
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,2.5,mean over all voxels,9.695836158685545,9.803747958956368,0.10791180027082348,1.100719854514813
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,2.6,mean over all voxels,9.694090130101667,9.801793429711111,0.1077032996094438,1.0988121753614446
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,2.7,mean over all voxels,9.692555339528699,9.800029528605334,0.10747418907663508,1.0966720943332708
average,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,2.8,mean over all voxels,9.691206249205452,9.798437734747054,0.10723148554160211,1.094373291380315
