run_id,output_dir,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,cell_count,n_timepoints,final_average_uM,final_center_uM
dx_2um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_2um__uptake_12044__dtdiff_0p005min__volume_1um3,2.0,12044,0.005,1.0,0.1,12,101,9.982541796428421,6.133913645746291
dx_2um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_2um__uptake_12044__dtdiff_0p005min__volume_523um3,2.0,12044,0.005,523.0,52.300000000000004,12,101,9.97819118700156,9.398635368461093
dx_2um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_2um__uptake_12044__dtdiff_0p005min__volume_1000um3,2.0,12044,0.005,1000.0,100.0,12,101,9.978098133551384,9.434449785550598
dx_2um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_2um__uptake_12044__dtdiff_0p01min__volume_1um3,2.0,12044,0.01,1.0,0.1,12,101,9.98901299887315,6.40080128787764
dx_2um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_2um__uptake_12044__dtdiff_0p01min__volume_523um3,2.0,12044,0.01,523.0,52.300000000000004,12,101,9.98773826701776,9.686736086945945
dx_2um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_2um__uptake_12044__dtdiff_0p01min__volume_1000um3,2.0,12044,0.01,1000.0,100.0,12,101,9.987721553141757,9.70589391374788
dx_2um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_2um__uptake_12044__dtdiff_0p1min__volume_1um3,2.0,12044,0.1,1.0,0.1,12,101,9.997442946536802,6.660350996451299
dx_2um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_2um__uptake_12044__dtdiff_0p1min__volume_523um3,2.0,12044,0.1,523.0,52.300000000000004,12,101,9.99742782927963,9.972878775723451
dx_2um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_2um__uptake_12044__dtdiff_0p1min__volume_1000um3,2.0,12044,0.1,1000.0,100.0,12,101,9.997429708930625,9.974085793632614
dx_3um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_3um__uptake_12044__dtdiff_0p005min__volume_1um3,3.0,12044,0.005,1.0,0.1,12,101,9.961921824809274,6.039311155421298
dx_3um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_3um__uptake_12044__dtdiff_0p005min__volume_523um3,3.0,12044,0.005,523.0,52.300000000000004,12,101,9.939752250367436,8.262376250863863
dx_3um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_3um__uptake_12044__dtdiff_0p005min__volume_1000um3,3.0,12044,0.005,1000.0,100.0,12,101,9.938722024569044,8.38369893063906
dx_3um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_3um__uptake_12044__dtdiff_0p01min__volume_1um3,3.0,12044,0.01,1.0,0.1,12,101,9.972554467457531,6.28482020551533
dx_3um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_3um__uptake_12044__dtdiff_0p01min__volume_523um3,3.0,12044,0.01,523.0,52.300000000000004,12,101,9.963969186563126,9.0222545125285
dx_3um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_3um__uptake_12044__dtdiff_0p01min__volume_1000um3,3.0,12044,0.01,1000.0,100.0,12,101,9.963660881912123,9.09772926327986
dx_3um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_3um__uptake_12044__dtdiff_0p1min__volume_1um3,3.0,12044,0.1,1.0,0.1,12,101,9.993020743494045,6.658854087479538
dx_3um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_3um__uptake_12044__dtdiff_0p1min__volume_523um3,3.0,12044,0.1,523.0,52.300000000000004,12,101,9.992853610487703,9.911332231913699
dx_3um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_3um__uptake_12044__dtdiff_0p1min__volume_1000um3,3.0,12044,0.1,1000.0,100.0,12,101,9.99285585832109,9.917000454487257
dx_5um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p005min__volume_1um3,5.0,12044,0.005,1.0,0.1,12,101,9.928826052062512,6.483999298562201
dx_5um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p005min__volume_523um3,5.0,12044,0.005,523.0,52.300000000000004,12,101,9.853900481704503,4.888227356131603
dx_5um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p005min__volume_1000um3,5.0,12044,0.005,1000.0,100.0,12,101,9.828852542942036,6.6536957995537245
dx_5um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p01min__volume_1um3,5.0,12044,0.01,1.0,0.1,12,101,9.937962476338225,6.540354502114114
dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,5.0,12044,0.01,523.0,52.300000000000004,12,101,9.891628679891792,5.856145017311394
dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,5.0,12044,0.01,1000.0,100.0,12,101,9.879541803745598,7.72203882184182
dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,5.0,12044,0.1,1.0,0.1,12,101,9.976589793763335,6.712974362832597
dx_5um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p1min__volume_523um3,5.0,12044,0.1,523.0,52.300000000000004,12,101,9.97411248443351,8.0143190465566
dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,12,101,9.973965913915332,9.706593671998538
dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,10.0,12044,0.005,1.0,0.1,12,101,9.895903801628249,7.707742687226057
dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,10.0,12044,0.005,523.0,52.300000000000004,12,101,9.68203731013953,3.256798389855817
dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,12,101,9.681407588266394,3.2450490393815956
dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_sweep/dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,12,101,9.897617846913331,7.67780912134473
