0: 33,38
2: 22,31,36,45
3: 39,11,38,18
4: 20,32,23,42,61,47
5: 46,34
6: 12,25,49,21,19
7: 28,53,48,49,25
8: 14,27,57,42,61,53
9: 63,15,24,37,41
10: 46,34,16,23,59,43
11: 26,48,35,18,39,3
12: 30,25,51,6
13: 60,55
14: 58,8,27,37,57
15: 9,41,62
16: 60,32,23,64,10,46
17: 34
18: 33,38,40,26,11,3
19: 29,21,49,44,6
20: 32,4,55,42,31,45
21: 29,50,54,19,6
22: 2,31,56,57,58
23: 16,32,4,59,47,10
24: 58,37,63,9,56
25: 12,35,6,7,48
26: 28,11,48,40,18
27: 14,49,8,44,53
28: 26,7,61,53,48,47
29: 21,50,52,62,19
30: 12,51,54
31: 2,22,45,57,20,42
32: 60,16,20,23,4,55
33: 0,43,38,40,18
34: 5,10,17,43
35: 25,11,48,39
36: 2,45
37: 14,24,41,44,9
38: 0,33,18,3
39: 3,11,35
40: 43,33,18,26,59
41: 37,44,15,9,62
42: 20,4,31,57,8,61
43: 33,40,59,10,34
44: 49,27,37,41,19
45: 2,31,36,20,55
46: 5,10,16,64
47: 28,59,61,23,4
48: 28,26,7,11,35,25
49: 27,44,19,7,6
50: 29,21,52,54
51: 12,30
52: 29,50,62
53: 28,7,61,8,27
54: 21,50,30
55: 60,20,32,45,13
56: 22,58,24
57: 22,31,14,58,8,42
58: 14,24,22,56,57
59: 47,23,10,43,40
60: 16,32,64,55,13
61: 28,53,47,8,4,42
62: 29,52,15,41
63: 9,24
64: 60,16,46
