0: 17,70,130,132
2: 22,137,153,194
3: 230,140,149,179,81,166
4: 20,142,32,247,126,23
5: 145,110,218
6: 141,148,193,19,232,82
7: 176,49,148,242,163,150
8: 244,177,108,156,42,219
9: 115,209,157,223,159
10: 94,213,164,231,34,254
11: 189,97,229,192,166
12: 25,82,210,21,171,239
13: 154,104,173
14: 175,151,207,57,88,184
15: 180,62,221
16: 46,183,235,60,225
17: 0,168,70,185
18: 89,246,189,111,190,230
19: 193,90,198,6,82,21
20: 4,142,195,202,32,85
21: 82,12,239,19,198,197
22: 2,137,201
23: 205,133,98,4,142,126
24: 63,127,91,208,103,250
25: 82,210,12,232,182,106
26: 172,246,155,212,28,47
27: 215,109,184,156,88,244
28: 191,47,233,220,212,26
29: 222,193,90,186,227,141
30: 224,77,206,51
31: 68,124,226,169,96,136
32: 199,247,85,228,20,4
33: 40,131,70,132,74,162
34: 161,254,164,10,110,218
35: 117,229,182,72,240,143
36: 144,167
37: 105,78,146,41,93,159
38: 65,149,134
39: 71,97,152,129,179
40: 131,190,74,33,89,216
41: 253,93,159,245,157,37
42: 219,160,195,202,8
43: 135,162,254,94,102,131
44: 80,93,105,204,165,67
45: 75,68,107,169,167,255
46: 64,183,16,170,118
47: 28,233,200,113,172,26
48: 117,192,111,220,174,212
49: 176,165,7,114,242,87
50: 92,178,54,248
51: 77,30,181
52: 187,234
53: 191,119,242,241,236,150
54: 198,248,197,92,252,50
55: 199,120,228,238,107,95
56: 100,211,58,203,139,103
57: 207,112,14,88,177,256
58: 56,211,207,103,250,151
59: 94,102,213,116,133,147
60: 128,225,251,217,235,16
61: 119,233,200,123,219,160
62: 221,15,125,245,83
63: 127,223,24,91
64: 46,170,225,188
65: 38,130,134
66: 130,132,74,81,134
67: 176,227,165,141,80,44
68: 75,45,31,124,169,153
69: 79,135,161,168,185
70: 132,33,162,168,17,0
71: 39,140,179
72: 182,174,106,84,117,35
73: 187,186,121,178,222
74: 40,66,132,190,33
75: 45,68,194,153,144,167
76: 98,113,142,160,202,200
77: 101,171,206,30,181,51
78: 214,175,105,37,146,158
79: 69,161,218
80: 44,253,237,93,227,67
81: 230,149,3,134,66,190
82: 25,21,12,6,19,232
83: 187,234,121,62,125
84: 163,236,174,72,106,150
85: 199,32,238,226,99,20,195
86: 181,152,129,138
87: 215,114,242,241,49
88: 244,177,57,14,27,184
89: 246,155,216,18,40,190
90: 222,193,19,29,198,248
91: 63,223,24,250,214,146
92: 252,50,54
93: 80,44,253,41,105,37
94: 10,102,59,213,43,254
95: 104,173,255,107,55,120
96: 136,256,243,112,31,124
97: 11,166,129,179,39
98: 113,76,142,116,133,23
99: 108,136,226,85,195
100: 56,211,196,139,201
101: 77,210,171,181,138,143
102: 94,59,147,216,43,131
103: 208,203,24,56,58,250
104: 13,154,217,95,173,120
105: 78,37,158,44,93,204
106: 232,182,163,72,84,25
107: 238,45,169,255,95,55
108: 99,177,8,136,256
109: 215,114,204,27,184,158
110: 5,145,188,164,170,34
111: 189,48,192,246,18,212
112: 211,196,57,243,96,256
113: 98,76,47,200,116,172
114: 109,204,87,165,49
115: 180,209,221,9,157
116: 59,133,147,98,113,172
117: 48,35,229,192,174,72
118: 46,183,126,231,205
119: 191,61,53,233,241,123
120: 55,228,235,104,217,95
121: 187,73,83,186,237,125
122: 224,197,252,206,239
123: 215,156,241,219,119,61
124: 31,68,137,243,153,96
125: 253,237,245,62,83,121
126: 183,118,247,4,205,23
127: 63,24,208
128: 60,225,251
129: 86,152,138,240,97,39
130: 66,132,134,0,65
131: 40,33,102,216,43,162
132: 66,70,130,74,33,0
133: 205,59,213,116,23,98
134: 149,81,66,130,65,38
135: 43,69,161,162,168,254
136: 96,99,108,256,31,226
137: 2,22,243,201,153,124
138: 181,86,129,240,143,101
139: 203,56,100
140: 149,3,179,71
141: 176,227,6,67,148,193,29
142: 98,20,4,76,202,23
143: 138,240,182,210,101,35
144: 36,167,194,75
145: 5,110,188
146: 214,78,37,223,91,159
147: 102,59,116,172,155,216
148: 176,6,7,141,232,163
149: 140,3,81,134,38
150: 163,236,84,242,7,53
151: 250,14,214,175,58,207
152: 86,129,39
153: 2,137,194,75,68,124
154: 13,251,104,217
155: 172,89,246,216,26,147
156: 215,27,123,244,8,219
157: 115,221,9,41,159,245
158: 175,105,78,109,204,184
159: 41,223,9,157,37,146
160: 42,219,76,202,61,200
161: 79,69,135,34,254,218
162: 43,135,168,131,70,33
163: 232,106,84,150,7,148
164: 170,231,10,110,34
165: 176,49,67,44,114,204
166: 189,97,11,230,3,179
167: 36,144,255,75,45
168: 69,135,162,70,185,17
169: 238,45,31,68,107,226
170: 164,64,46,110,188
171: 77,210,101,206,12,239
172: 155,26,113,47,116,147
173: 255,13,104,95
174: 236,72,84,220,117,48
175: 14,214,78,151,158,184
176: 165,49,7,67,141,148
177: 88,244,108,8,256,57
178: 73,222,248,50
179: 140,3,97,166,71,39
180: 115,221,15
181: 86,138,77,101,51
182: 72,106,25,210,35,143
183: 46,16,126,118,247,235
184: 109,27,14,175,158,88
185: 69,168,17
186: 73,121,237,227,222,29
187: 52,234,73,83,121
188: 145,110,64,170
189: 11,192,166,111,18,230
190: 40,74,89,18,230,81
191: 28,119,53,233,220,236
192: 189,117,48,11,229,111
193: 19,90,29,6,141
194: 2,153,144,75
195: 42,20,202,99,85
196: 100,211,112,243,201
197: 54,198,252,21,239,122
198: 54,19,90,248,197,21
199: 32,85,55,228,238
200: 47,61,233,113,76,160
201: 22,137,243,100,196
202: 42,20,76,142,160,195
203: 249,208,139,103,56
204: 109,114,105,158,44,165
205: 213,133,23,126,231,118
206: 77,171,239,224,30,122
207: 211,58,57,14,151
208: 249,203,103,127,24
209: 115,9
210: 25,101,171,12,182,143
211: 56,100,58,207,196,112
212: 246,26,28,220,48,111
213: 94,10,205,59,133,231
214: 250,175,78,146,151,91
215: 109,27,87,156,241,123
216: 89,155,102,147,40,131
217: 251,154,104,120,235,60
218: 5,79,161,34
219: 42,160,8,156,123,61
220: 28,191,236,174,212,48
221: 115,180,62,157,15,245
222: 90,29,248,73,186,178
223: 63,91,9,146,159
224: 30,122,206
225: 128,60,64,16
226: 238,31,169,99,136,85
227: 67,141,80,237,186,29
228: 199,32,247,55,120,235
229: 117,35,11,192,240
230: 3,81,18,189,166,190
231: 164,118,10,205,213
232: 163,106,6,148,25,82
233: 28,191,47,119,61,200
234: 52,187,83
235: 247,120,228,217,60,183,16
236: 174,84,150,191,53,220
237: 80,253,125,186,121,227
238: 107,226,169,199,85,55
239: 21,171,206,12,197,122
240: 129,138,143,35,229
241: 215,242,87,123,119,53
242: 87,241,49,7,53,150
243: 137,201,196,112,124,96
244: 88,177,8,27,156
