0: 257,17,543,783,514
2: 680,301,518,153,366,137
3: 140,815,522,179,569,659
4: 860,142,326,524,865,271
5: 528,955,218,953,353
6: 193,532,963,258,517,856
7: 242,278,1002,944,150,617,959
8: 444,541,672,801,690,894
9: 209,310,912,288,546
10: 291,1012,380,853,679,550
11: 859,393,851,534,554,229
12: 332,928,558,719,797,897
13: 750,563,173,104,417
14: 745,923,175,567,758,307,804
15: 180,774,492,312,571
16: 989,480,968,235,573,799
17: 0,783,578,810,70,514
18: 451,397,321,583,880,450
19: 324,587,276,82,897,823
20: 202,142,326,577,590,649
21: 330,587,594,885,299,888
22: 598,334,733,201
23: 394,338,544,580,602,914
24: 986,877,103,341,607,208,308
25: 82,404,610,232,890,332,823
26: 345,381,246,935,323,612
27: 109,619,687,854,896,336,948
28: 622,345,635,935,354,511
29: 421,186,227,624,837,863,972
30: 361,302,966,626
31: 68,124,630,775,386,984
32: 228,974,636,524,865,247
33: 40,374,996,637,640,411
34: 447,584,646,699,955,353
35: 383,182,542,651,143,429
36: 766,655,440
37: 422,313,389,919,530,660
38: 664,391,537,352,134
39: 129,513,97,668,765,363
40: 33,374,298,640,673,715
41: 389,579,623,850,678,466
42: 398,681,285,654,553,588
43: 94,59,744,853,685,254
44: 105,292,688,1021,376,611
45: 75,300,695,270,691,771
46: 377,225,813,968,573,694
47: 477,200,465,698,426,725
48: 117,431,111,650,700,940
49: 951,620,703,759,430,789
50: 437,669,706
51: 77,709,309,494,830,782
52: 442,712,187,486,507,295
53: 436,704,845,617,716,969
54: 373,272,718,723,248,453
55: 95,491,726,120,526,722
56: 311,289,458,740,670,729,730
57: 463,483,734,839,749,777
58: 475,306,779,754,319,730,937
59: 43,478,94,327,409,744
60: 480,746,791,870,968,225
61: 219,358,965,751,160,581,811
62: 364,805,976,780,852,485
63: 487,988,370,941,756,809
64: 337,761,1004,489
65: 287,521,662,764
66: 74,767,879,298,715,279
67: 479,165,688,548,770,686
68: 31,124,575,615,775,379
69: 802,604,316,408,778,692
70: 445,708,810,17,783,693
71: 817,140,490,786,318
72: 790,182,794,642,788,428
73: 982,222,701,792,819,926
74: 66,328,510,879,795,715
75: 194,300,45,798,270,980
76: 632,800,284,303,465,743,752
77: 361,51,302,709,806,309
78: 652,660,781,808,313,158
79: 275,953,802,812
80: 253,237,816,418,320,827
81: 134,535,538,954,820,352
82: 25,404,232,983,276,19,823
83: 500,493,121,825,874,125
84: 339,773,828,735,290,675
85: 990,266,590,831,925,872
86: 833,938,346
87: 336,653,836,949,908,468,896
88: 758,1005,307,356,839,961
89: 347,1008,450,973,707,842
90: 367,963,357,844,978,258
91: 223,331,340,656,146,919
92: 718,848,669
93: 1001,611,623,850,418
94: 43,59,327,380,853,875
95: 491,726,884,606,55,855
96: 1024,386,847,857,1003,630
97: 859,554,697,129,39,765
98: 113,303,915,862,394,338
99: 195,226,438,555,711,866
100: 565,869,282,641,402,269,566
101: 138,576,582,934,830,871
102: 409,586,564,744,216,873
103: 740,413,877,24,341,729
104: 375,417,884,818,563,13
105: 44,204,292,683,376,887
106: 290,497,572,675,890,428
107: 425,169,633,702,713,892
108: 177,136,552,749,690,894
109: 468,910,27,687,896,114
110: 899,164,699,592,596,628
111: 48,700,940,880,512,901
112: 306,904,319,821,474,734
113: 98,303,698,752,915,907
114: 430,648,683,468,910,109
115: 209,912,822
116: 757,915,907,283,787,344
117: 48,916,650,700,790,481
118: 456,918,231,724,296,631,945
119: 407,191,233,449,796,811,921
120: 491,349,55,793,526,924
121: 493,83,505,874,926,792
122: 992,495,835,1018,929
123: 215,241,1000,667,931,488
124: 68,31,498,575,630,933
125: 1020,826,936,500,493,83
126: 271,939,524,1010,499,247
127: 864,756,927,208,607,941
128: 943,506
129: 240,513,39,859,390,97
130: 259,262,519,515,627
131: 525,591,873,564,996,268
132: 257,529,281,627,783
133: 338,914,862,533,644,913
134: 538,662,81,38,352
135: 1022,414,293,545,778,161
136: 520,552,108,438,894,711
137: 366,498,933,680,2,556
138: 101,582,830,560,304,999
139: 565,776,906,641
140: 817,71,815,3,490,569
141: 176,265,322,574,609,742
142: 20,860,4,326,577,865
143: 882,582,429,934,35,651
144: 900,589,728,387
145: 899,188,596
146: 601,660,808,91,331,919
147: 155,216,842,942,467,586,605
148: 983,163,608,609,676,742
149: 569,614,659,954,537,352
150: 419,613,617,716,959,7
151: 459,475,207,595,621,923
152: 346,395,625
153: 2,518,629,531,798,366
154: 634,563,375,998
155: 147,1008,842,639,1014,467,605
156: 444,385,643,244,350,838
157: 159,471,546,561,647,666
158: 313,785,887,78,652,909
159: 157,340,530,561,656,666
160: 410,581,661,219,956,61
161: 469,408,665,1022,135,778
162: 597,671,411,637,708,693
163: 148,676,742,348,536,355
