0: 514,543,783,17,257,132
2: 366,518,153,680,301,137
3: 522,179,815,659,569,140
4: 524,865,142,326,271,860
5: 528,353,955,953,218
6: 856,258,608,532,193,963
7: 944,242,278,1002,959,617
8: 801,444,690,894,672,541
9: 310,546,471,209,115,912
10: 853,679,291,550,1012,380
11: 393,851,554,229,534,859
12: 332,897,928,797,558,299,719
13: 563,104,417,173,750
14: 307,745,758,175,923,804,567
15: 312,180,774,571
16: 799,989,480,235,573,968
17: 514,783,0,578,810,70
18: 451,880,583,901,450,397
19: 82,324,587,276,823,897
20: 649,202,142,590,326,577
21: 330,885,594,587,299,888
22: 334,282,598,201
23: 394,914,338,544,580,602
24: 208,308,986,877,103,341
25: 823,332,610,404,890
26: 935,345,381,323,612,246
27: 687,336,896,948,619,854
28: 622,935,345,511,635,354
29: 421,193,863,227,624,837
30: 626,966,737,302,361
31: 68,984,630,775,124
32: 228,974,636,524,865,247
33: 40,640,637,374,996,411
34: 353,955,699,447,646,584
35: 143,651,182,383,542,429
36: 655,440,766
37: 660,919,530,389,422,313
38: 134,149,537,352,287,664
39: 513,765,97,363,668,129
40: 715,33,640,298,673,374
41: 579,466,678,389,623,850
42: 588,398,553,555,681,654,285
43: 685,59,744,94,853,254
44: 376,611,105,1021,688,292
45: 75,771,691,270,300,695
46: 573,377,813,968,694,225
47: 477,200,465,698,725,426
48: 431,650,117,111,940,700
49: 703,430,789,759,951,620
50: 437,706
51: 830,782,494,309,77,709
52: 486,295,507,187,712,442
53: 969,150,617,716,845,436,704
54: 373,248,453,718,272,723
55: 95,491,726,120,526,722
56: 670,289,311,729,458,740
57: 463,734,777,749,483,839
58: 730,779,754,475,319,306
59: 43,744,94,478,327,409
60: 746,791,480,870,225,968
61: 219,358,965,751,160,581
62: 852,485,805,364,780,976
63: 756,809,988,487,941,370
64: 761,1004,489,337
65: 764,521,662
66: 767,879,74,715,279,298
67: 479,686,548,770,688,165
68: 379,775,31,124,575,615
69: 316,408,778,802,604,692
70: 810,445,708,693,783,17
71: 318,786,140,817,490
72: 790,642,788,182,428,794
73: 792,819,701,982,222
74: 328,795,510,715,879,559,66
75: 45,980,270,798,194,300
76: 465,752,570,284,800,743,303
77: 361,309,806,51,971,709
78: 652,781,808,660,313,158
79: 812,275,953,802,218
80: 253,816,237,418,320,827
81: 954,535,820,134,352,538
82: 983,19,276,232,823,404
83: 493,121,825,500,125,874
84: 290,339,675,773,828,735
85: 590,266,326,831,872,990
86: 346,938,833
87: 336,896,468,949,653,836
88: 961,1005,356,839,307,758
89: 942,1008,973,842,707,347
90: 367,963,357,844,258,978
91: 919,340,223,656,331,146
92: 669,718,848
93: 850,816,418,623,1001,611
94: 380,875,478,327,853,43,59
95: 491,726,55,606,855,884
96: 984,630,847,857,1024,386
97: 765,39,129,554,859,697
98: 394,303,338,113,915,862
99: 195,555,711,226,866
100: 282,641,565,269,566,402
101: 871,576,582,560,830,138
102: 564,873,744,409,586,216
103: 24,877,341,729,413,732
104: 818,884,563,13,375,417
105: 376,44,204,887,292,683
106: 290,572,675,497,890,428
107: 169,702,892,425,713,633
108: 177,136,690,749,894,552
109: 687,896,443,114,910,468
110: 592,699,899,164,273,596
111: 880,940,901,48,512,700
