0: 347,267,312,262,261
2: 150,263,272,337,56,493
3: 76,273,136
4: 277,394,119,428,139
5: 115,435,198,385,279,11
6: 283,60,306,221,314
7: 154,459,473,288,382,243
8: 512,483,295,391,29,256
9: 72,233,302,269,159,439
10: 496,164,366,305,57,310
11: 168,315,308,385,5,115
12: 175,171,444,428,318,416
13: 321,464,180,494,214,360
14: 455,229,324,364
15: 327,153,370,289,189,98
16: 191,330,39,343,433,342
17: 67,134,280,91,257,334
18: 195,309,339,237,130,266
19: 299,199,355,343,285
20: 329,346,298,146,322
21: 236,147,423,434,348,507
22: 192,325,446,365,352,406
23: 194,205,114,356,429,311
24: 250,225,362,396,331,222
25: 354,468
26: 172,294,371,393,231
27: 132,73,163,390,234,441
28: 217,333,379
29: 256,381,8,295,212,492
30: 467,181,227,384,286
31: 253,290,386,392,205,356
32: 255,394,126,249,220
33: 138,225,362,438,400,291
34: 152,408,131,299,268,140
35: 87,331,411,222,144,316
36: 425,315,146,142,322
37: 482,149,414,358,427,66
38: 431,86,323,219
39: 157,343,285,16,232,433
40: 161,496,361,383,436,432
41: 190,376,320,107,443,100
42: 339,451,165
43: 404,454,243
44: 104,375,378,263,340,457
45: 461,173
46: 450,228,77,179,463,118
47: 468,469,202,424
48: 471,127,470,420,226,406
49: 187,183,458,474,258
50: 294,485,371,177,477,495
51: 169,506,83,412,270,480
52: 84,479,200,484,125
53: 224,401,487
54: 338,129,296,139,489,175
55: 188,488,418,363,359,68
56: 176,215,493,150,2,363,491
57: 82,310,372,436,10,496
58: 114,498,429,452,223,399
59: 410,501,467,301,332,282
60: 283,328,503,6,230,306
61: 498,72,252,233,330,505
62: 141,167,373,124,213,507
63: 297,239,510,509
64: 105,511,460,490,170,98
65: 129,78,258,259,296
66: 156,344,264,358,149,37
67: 17,134,335,347,267,91
68: 138,359,269,403,55,418
69: 143,204,262,195,309,271
70: 241,145,276,320,460,370
71: 188,155,110,345,408,278
72: 61,233,9,281,505,302
73: 132,27,284,390,160,380
74: 287,196,402
75: 169,506,290,174,502,384
76: 3,426
77: 46,450,172,463,294
78: 65,259,296,277,297,239
79: 300,316,101,388,396,222
80: 499,192,120,350,303
81: 232,440,117,89,279,336
82: 158,201,57,367,310,372
83: 51,253,506,221,314,270
84: 52,200,313,143,312
85: 125,189,319,327,353
86: 274,323,219,325,365,38
87: 116,209,331,35,332,411
88: 245,401,333
89: 385,81,279,336,103,218
90: 235,162,387,338,445,210
91: 449,395,334,17,67,347
92: 148,242,350,328
93: 354,468,182,229,415,244
94: 477,495,163,357,390,443
95: 359,250,491,403,500,150
96: 237,130,254,449,395,366
97: 133,368,447,275
98: 490,189,370,15,460,64
99: 167,373,404
100: 128,512,41,376,107,397
101: 500,378,388,337,79,396
102: 288,217
103: 308,367,372,218,385,89
104: 44,378,388,340,210,387
105: 511,64,483,427,170
106: 393,231,275,423,133
107: 163,443,41,100,441,397
108: 442,178,437,444,318
109: 501,251,181,135,238
110: 188,155,71,418,281,302
111: 194,114,260,399,420
112: 422,265,508,305,201,310
113: 273,424,136,202,410,227
114: 58,194,111,23,429,399
115: 5,435,168,11,151
116: 87,438,331,332,282,362
117: 232,440,81,433,211,184
118: 442,214,389,46,228,179
119: 405,394,4,444,428
120: 80,192,446,465,242,350
121: 173,419
122: 429,439,311,374,452,453
123: 455,478,415,240,186,476
124: 167,62,473,213,459,351
125: 85,317,319,52,484
126: 255,510,32,466
127: 211,471,184,504,48,470
128: 512,511,100,483,241,376
129: 338,54,65,445,258,296
130: 237,166,266,254,96,18
131: 152,34,344,264,280,268
132: 27,73,160,234,375,272
133: 461,97,106,275
134: 17,149,67,335,264,280
135: 501,109,438,282,238,400
136: 3,273,286,113,227
137: 289,351,213,348,349,276
138: 33,225,68,403,291
139: 54,296,277,4,175,428
140: 299,355,34,408,155,497
141: 373,304,62,507,447,236
142: 158,146,308,367,36,315
143: 262,69,271,84,200,312
144: 481,316,476,244,35,411
145: 190,70,349,276,320,326
146: 158,142,20,298,322,36
147: 21,177,434,348,349,326
148: 92,283,328
149: 482,134,335,37,66,264
150: 500,2,337,56,95,491
151: 168,207,115,341
152: 248,34,408,344,131,278
153: 327,154,459,15,289,351
154: 327,7,153,459,353,382
155: 71,110,408,140,281,497
156: 66,248,344,295,358,391
157: 39,361,285,232,336,432
158: 146,201,142,82,367,298
159: 439,291,374,269,9
160: 457,380,416,132,73,375
161: 40,496,164,257,334,383
162: 90,481,300,186,235,387
163: 107,94,27,390,443,441
164: 10,161,496,395,334,366
165: 266,398,42,339
166: 196,130,508,254,398
167: 99,373,404,62,473,124
168: 407,315,11,151,115
169: 51,75,506,174,412
170: 490,414,462,105,64,427
171: 175,12,340,457,416,489
172: 77,463,26,421,419,393
173: 121,421,45,461
174: 169,75,384,292,426
175: 171,428,12,54,139,489
176: 56,215,493,381,430
177: 371,147,434,50,326,495
178: 450,179,247,108,437
179: 46,450,178,442,118
180: 464,13,448,413,228,214
181: 501,251,467,30,109
182: 468,469,93,209,244,411
183: 187,472,49,456,259
184: 211,127,470,475,440,117
185: 187,458,324,478
186: 481,235,162,476,240,123
187: 486,49,183,458,185
188: 55,71,110,488,418,345
189: 490,85,319,98,327,15
190: 41,145,320,326,495,443
191: 16,330,497,505,355,343
192: 80,499,120,22,325,446
193: 199,268,383,280,257
