0: 312,262,206,261,841,518
2: 56,522,566,988,272,493
3: 76,525,136,273,538
4: 428,119,534,548,582,993,394
5: 985,11,565,590,537,748
6: 283,603,746,539,719,761
7: 546,924,874,154,382,597,288
8: 512,391,550,256,1011,1019,29
9: 233,159,439,553,780,809,873
10: 556,679,691,305,366,631
11: 385,985,5,308,565,646,728
12: 676,720,444,567,171,175
13: 571,889,464,745,494,990
14: 324,574
15: 153,189,577,760,938,718
16: 342,774,330,581,191,825,749
17: 334,91,257,513,134,584,794
18: 266,807,516,309,589
19: 299,343,355,608,664,762,877
20: 322,146,572,594,661
21: 575,755,599,423,434,348,1014
22: 995,192,756,446,607,626
23: 311,611,704,194,205,356,783
24: 362,331,893,619,778,840,849
25: 900,621,875
26: 77,172,665,833,552,625,922
27: 441,163,531,629,785,878,811
28: 333,632,217
29: 970,986,381,635,8,295,550,256
30: 616,975,181,897,853,639,699
31: 205,290,386,520,642,879
32: 510,255,650,1007,1017
33: 138,225,362,637,596,653
34: 299,268,140,554,131,630,655
35: 222,331,659,316,730,144,648
36: 572,663,747,315,425,715
37: 482,149,335,580,795,658,667
38: 431,675,219
39: 232,433,870,825,610,678,285
40: 432,436,496,743,361,682
41: 945,948,690,721,107,624,793
42: 451,836,339,693
43: 696,612
44: 457,698,936,340,104,810,378
45: 706,461,173,687,421
46: 860,695,710,831,833,991
47: 900,621,712,469,468,202
48: 406,470,420,1009,722,851,909,911
49: 486,258,517,703,724,925
50: 477,294,485,964,645,371,686,733
51: 412,1013,735,944,169,649,506
52: 84,479,732,737,764,859,958
53: 401,602,847,742
54: 338,489,514,803,744,139
55: 68,796,887,363,750,680
56: 2,522,988,752,491,176,215,819
57: 372,754,770,850,82,310,556,691
58: 399,757,839,984,223,843,998,498
59: 282,501,601,777,332,781,759
60: 578,603,767,1008,761,328
61: 252,998,498,1012,765,873
62: 213,507,813,1003,769,167
63: 509,773
64: 490,170,657,961,779,98,1018
65: 78,786,296,514,129,517
66: 580,427,667,358,604,791
67: 134,335,794,795,267,347,549
68: 543,557,55,796,418,680,269
69: 271,204,689,731,776,798
70: 320,145,916,570,801,920
71: 188,110,586,716,805,408,600
72: 281,1012,598,671,809,873
73: 380,524,617,606,960,531,284,811
74: 196,814,265,605,740
75: 174,384,169,649,672,817,1006,506
76: 821,525,426,3
77: 26,172,831,833,922,294,645
78: 65,656,786,837,277,296,652
79: 388,101,300,316,526,666,842,568
80: 995,725,844,854,120
81: 232,117,870,797,89,846,890
82: 201,766,310,158,57,850
83: 253,963,838,506,1013,857
84: 52,479,764,859,707,200,143,560
85: 353,327,863,1005,718
86: 865,899,675,751,219,325,832
87: 331,987,659,778,867
88: 883,929,784,333
89: 830,956,336,81,797,515,846,890
90: 338,210,803,895,816,885
91: 334,17,347,449,794,395,901
92: 350,328,904,148
93: 927,182,468,907,354
94: 390,163,531,624,793,912,934
95: 359,250,915,943,1002,500,150,583
96: 130,254,366,562,965,826,903,919
97: 908,576,820,923
98: 779,189,876,938,490,64
99: 928,942,612
100: 512,1011,376,948,128,969,397
101: 388,396,79,842,949,568,1002,950,799
102: 454,855,623,953
103: 385,367,308,515,685,926,956
104: 340,523,802,810,44,698,378,959,949
105: 427,170,961,358,483,955
106: 393,231,529,702,880,966
107: 163,969,624,785,945,948,41
108: 775,437,734,614,688,971
109: 1004,973,535,181,251,699
110: 188,71,418,716,281,600,976
111: 417,260,864,692,729,978,114
112: 980,422,201,310,679
113: 227,136,768,641,709,982
114: 429,399,611,194,984,111,729,978
115: 151,985,646,198,748,435,763
116: 987,893,778,282,438,777
117: 232,989,81,440,782,846,705
118: 991,389,214,815,228,442
119: 4,993,394,834,220,559,405,808
120: 242,854,465,888,80,995,818
121: 654,669,822,997
122: 311,452,726,439,453,931,999
123: 1001,476,186,662,858,939
124: 351,856,813,1003,459,921,874
125: 736,737,958,484,863
126: 510,1007
127: 211,471,504,804,823,470,1009
128: 241,376,739,512,511,1011,100
129: 445,258,517,816,65,338,514
130: 237,96,254,965,919,516,638
131: 827,521,591,655,268,554,34
132: 160,375,524,234,629,272
133: 461,923,529,966
134: 280,149,67,335,532,584,794,17
135: 1004,438,400,535,601,777
136: 227,113,273,982,286,538,3
137: 351,540,579,856,289,276,627
138: 403,225,543,609,33,637
139: 744,296,534,548,652,676,54,514
140: 299,551,34,630,655,408,155
141: 447,769,555,677,894,507
142: 146,572,613,663,158,558,905,685
143: 200,564,84,764,707,271,798,560
144: 481,563,932,316,730,35,648
145: 190,70,320,570,326,848
146: 20,142,298,572,613,661
147: 326,349,575,755,758,848,845
148: 92,328,904,578
149: 37,134,264,335,532,580,541,791
150: 500,337,522,583,752,799,95
151: 168,587,628,115,985,646,435
152: 248,937,278,591,630,655,805
153: 289,15,577,627,760,351,595
154: 382,597,595,459,7,874
155: 497,600,996,408,140,551
156: 248,937,604,344,295,542,647
157: 870,610,797,432,743,336
158: 82,766,850,142,613,367,905
159: 9,269,553,615,637,780
160: 132,416,375,457,524,617,936
161: 164,620,682,972,994,496
162: 300,387,622,895,885,711
163: 107,94,390,441,27,531,624,785
164: 161,620,788,994,631,903
165: 266,339,807,547,588,634,693
166: 398,638,1015,965,196,740,508
167: 921,644,928,942,769,373,62,1003
168: 407,151,628,715,646,728
169: 292,174,75,640,649,51,412
170: 462,105,427,414,64,657,961,983
171: 416,869,670,567,12,660,175
172: 77,26,419,884,665,694,833,552
173: 687,997,45,706
174: 384,169,75,640,649,672,717
175: 489,660,744,676,12,171
176: 430,493,684,819,962,56,988
177: 371,686,755,758,434,868
178: 450,179,247,935,790,437,688
179: 450,935,178,695,991,790,688
180: 571,815,228,448,464,697,413
181: 501,109,897,639,699,30
182: 209,927,469,93,701,906,468
183: 259,472,519,786,917,486,703
184: 930,475,440,705,804,470
185: 187,708,458,753
186: 1001,476,123,711,946,240,885
187: 185,714,458,724
188: 979,345,71,110,586,716,750
189: 98,15,938,718,490,319
190: 320,145,690,721,326,992,495,443,848
191: 505,723,343,877,581,16,330
192: 1000,995,325,22,725,756
193: 513,592,727,199,268,554,664
194: 114,23,611,356,729,771
195: 898,261,533,731,589,237
196: 74,605,740,398,166,402
197: 283,746,314
198: 537,683,748,824,115,274,763
199: 268,664,762,193,383,727
200: 143,564,643,84,764,271
201: 82,422,766,112,310,700,298
202: 469,906,301,47,712,768,668,709
203: 306,392,879,527,771,681
204: 69,487,271,689,776,224,564
205: 31,356,386,783,23,879
206: 312,0,518,713,787,951,267
207: 341,587,812,789,323,741,431
208: 814,544,329,792
209: 411,182,469,701,800,867,906,301
210: 90,981,523,802,803,810,895
211: 342,504,127,804,823,989,749
212: 345,829,492,986,635,806
213: 348,507,62,540,1014,856,813
214: 389,118,528,571,815,889,228
215: 806,819,56,491,363,488,829
216: 930,475,683,824,866,352,365
217: 28,828,632,914,967,288
218: 432,436,372,770,830,926,956,336
219: 86,675,832,38,377
220: 360,528,834,559,940,405,119
221: 306,963,392,539,545,719,838
222: 331,35,840,316,842,568
223: 252,593,843,954,998,1010,498,58
224: 293,564,602,847,487,271,204
225: 138,403,609,33,362,849
226: 420,851,465,417,673
227: 467,136,113,853,639,641
228: 180,118,214,815,413,860
229: 574,862,907,354,896
230: 503,864,888,673,767,918
231: 393,434,106,552,625,702,868
232: 39,433,989,117,870,81,797
233: 9,439,809,873,498,452,839
234: 629,878,132,430,493,272
235: 445,474,816,240,885
236: 447,576,599,894,423,275,702
237: 130,826,919,589,898,195,516
238: 400,535,902,852,374,291,931,596
239: 297,656,837,910,509,773
240: 235,474,872,913,1001,186,939
241: 460,376,128,739,916,801,511,1018
242: 854,904,918,120,888
243: 404,473,546,924,623,696
244: 476,415,563,662,932,927
245: 643,929,941,784,957,479
246: 317,313,787,462,414,933,882
247: 357,881,935,178,606,437
248: 827,152,937,156,344,278,591
249: 466,650,940,990,360
250: 95,609,943,1002,396,619,849
251: 409,502,952,699,109,973
252: 61,223,774,954,998,330,765
253: 963,83,642,290,817,506,1013
254: 1015,96,130,366,965,305
255: 32,650,1017,968,582,394
256: 8,512,550,29,970,397,381
257: 334,17,513,620,727,972
258: 445,474,49,129,517,703,925
259: 456,472,183,519,837,910
260: 417,111,503,864,527,729
261: 898,262,195,0,841,530,533
