timestep,cell_count,diameter
720,1,0.0
1440,1,0.0
2160,2,0.0
2880,4,20.114048823097797
3600,4,21.935495853260992
4320,8,31.230939877443586
5040,16,44.19268287982527
5760,16,51.929798663516685
6480,32,68.0448303326553
7200,64,84.67615739844005
7920,64,105.00863509052704
8640,128,127.58915261933467
9360,256,159.7386494236494
10080,256,195.76189825839705
10800,512,236.33570063023177
11520,1019,295.35598807519494
12240,1022,354.16442608302975
12960,1827,420.1214281842186
13680,2720,498.13060463443776
14400,3037,559.2380144248705
15120,4207,627.1621872471818
15840,5659,696.92951982467
16560,6159,769.3656030561094
17280,7802,843.6930459956818
18000,9715,915.4800473029889
18720,10415,981.6498876770171
19440,12589,1050.5145590389166
20160,15054,1126.0958472011127
20880,15906,1193.1940884587177
21600,18639,1262.2762712103258
22320,21580,1339.0533569442318
23040,22641,1407.4063444276505
23760,25898,1480.7287629893392
24480,29299,1556.0618319884632
25200,30623,1627.7494600631946
25920,34346,1698.4170724705673
26640,38297,1776.4342657340833
27360,39842,1844.479344360201
28080,44017,1915.799643215709
28800,48499,2000.775503521647
29520,50212,2068.197407731312
30240,55004,2141.6751140013516
30960,60007,2218.599319486468
31680,61898,2283.80314547259
32400,67177,2353.8800793599166
33120,72715,2429.989715379676
33840,74729,2499.285321718484
34560,80489,2572.4900453852606
35280,86465,2653.8399465489665
36000,88845,2724.1634341027525
36720,95166,2796.120592869472
37440,101754,2872.2091714617027
38160,104265,2941.3396227536273
38880,111098,3010.522772232061
39600,118235,3088.6360844884757
40320,121008,3158.2409895406586
41040,128280,3230.9582470341084
