,x,y,z,vol,diff,timestep
0,-20.0,-20.0,-20.0,8000.0,0.0,0.0
1,0.0,-20.0,-20.0,8000.0,0.0,0.0
2,20.0,-20.0,-20.0,8000.0,0.0,0.0
3,-20.0,0.0,-20.0,8000.0,0.0,0.0
4,0.0,0.0,-20.0,8000.0,0.0,0.0
5,20.0,0.0,-20.0,8000.0,0.0,0.0
6,-20.0,20.0,-20.0,8000.0,0.0,0.0
7,0.0,20.0,-20.0,8000.0,0.0,0.0
8,20.0,20.0,-20.0,8000.0,0.0,0.0
9,-20.0,-20.0,0.0,8000.0,0.0,0.0
10,0.0,-20.0,0.0,8000.0,0.0,0.0
11,20.0,-20.0,0.0,8000.0,0.0,0.0
12,-20.0,0.0,0.0,8000.0,0.0,0.0
13,0.0,0.0,0.0,8000.0,0.0,0.0
14,20.0,0.0,0.0,8000.0,0.0,0.0
15,-20.0,20.0,0.0,8000.0,0.0,0.0
16,0.0,20.0,0.0,8000.0,0.0,0.0
17,20.0,20.0,0.0,8000.0,0.0,0.0
18,-20.0,-20.0,20.0,8000.0,0.0,0.0
19,0.0,-20.0,20.0,8000.0,0.0,0.0
20,20.0,-20.0,20.0,8000.0,0.0,0.0
21,-20.0,0.0,20.0,8000.0,0.0,0.0
22,0.0,0.0,20.0,8000.0,0.0,0.0
23,20.0,0.0,20.0,8000.0,0.0,0.0
24,-20.0,20.0,20.0,8000.0,0.0,0.0
25,0.0,20.0,20.0,8000.0,0.0,0.0
26,20.0,20.0,20.0,8000.0,0.0,0.0
0,-20.0,-20.0,-20.0,8000.0,6022.0,0.01
1,0.0,-20.0,-20.0,8000.0,6022.0,0.01
2,20.0,-20.0,-20.0,8000.0,6022.0,0.01
3,-20.0,0.0,-20.0,8000.0,6022.0,0.01
4,0.0,0.0,-20.0,8000.0,6022.0,0.01
5,20.0,0.0,-20.0,8000.0,6022.0,0.01
6,-20.0,20.0,-20.0,8000.0,6022.0,0.01
7,0.0,20.0,-20.0,8000.0,6022.0,0.01
8,20.0,20.0,-20.0,8000.0,6022.0,0.01
9,-20.0,-20.0,0.0,8000.0,6022.0,0.01
10,0.0,-20.0,0.0,8000.0,6022.0,0.01
11,20.0,-20.0,0.0,8000.0,6022.0,0.01
12,-20.0,0.0,0.0,8000.0,6022.0,0.01
13,0.0,0.0,0.0,8000.0,1416.978557375707,0.01
14,20.0,0.0,0.0,8000.0,6022.0,0.01
15,-20.0,20.0,0.0,8000.0,6022.0,0.01
16,0.0,20.0,0.0,8000.0,6022.0,0.01
17,20.0,20.0,0.0,8000.0,6022.0,0.01
18,-20.0,-20.0,20.0,8000.0,6022.0,0.01
19,0.0,-20.0,20.0,8000.0,6022.0,0.01
20,20.0,-20.0,20.0,8000.0,6022.0,0.01
21,-20.0,0.0,20.0,8000.0,6022.0,0.01
22,0.0,0.0,20.0,8000.0,6022.0,0.01
23,20.0,0.0,20.0,8000.0,6022.0,0.01
24,-20.0,20.0,20.0,8000.0,6022.0,0.01
25,0.0,20.0,20.0,8000.0,6022.0,0.01
26,20.0,20.0,20.0,8000.0,6022.0,0.01
0,-20.0,-20.0,-20.0,8000.0,6022.0,0.02
1,0.0,-20.0,-20.0,8000.0,6022.0,0.02
2,20.0,-20.0,-20.0,8000.0,6022.0,0.02
3,-20.0,0.0,-20.0,8000.0,6022.0,0.02
4,0.0,0.0,-20.0,8000.0,6022.0,0.02
5,20.0,0.0,-20.0,8000.0,6022.0,0.02
