time (day),diameter (um)
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,16.61814
1.1,17.16426
1.2,17.3162
1.3,17.59968
1.4,19.47654
1.5,20.145
1.6,20.2202
1.7,19.78552
1.8,22.3356
1.9,24.3184
2.0,27.7338
2.1,27.9636
2.2,28.3988
2.3,29.21
2.4,29.9112
2.5,29.5046
2.6,31.1456
2.7,33.6626
2.8,32.2264
2.9,36.0482
3.0,36.2262
3.1,36.9202
3.2,37.0932
3.3,38.174
3.4,39.229
3.5,39.9434
3.6,40.2206
3.7,42.3924
3.8,46.3428
3.9,47.04
4.0,48.4434
4.1,48.9678
4.2,49.6486
4.3,50.541
4.4,51.2466
4.5,51.7058
4.6,55.143
4.7,56.9406
4.8,58.0906
4.9,58.8374
5.0,59.4244
5.1,59.9954
5.2,60.8238
5.3,61.1152
5.4,62.0368
5.5,64.0402
5.6,65.6228
5.7,67.7992
5.8,69.2096
5.9,70.7824
6.0,71.5682
6.1,72.7032
6.2,74.2412
6.3,75.851
6.4,77.6826
6.5,80.0834
6.6,81.9158
6.7,83.1924
6.8,84.7002
6.9,86.5066
7.0,88.1216
7.1,89.9672
7.2,92.2538
7.3,93.5086
7.4,95.7174
7.5,97.8672
7.6,100.0046
7.7,102.1242
7.8,104.2848
7.9,106.2504
8.0,108.5542
8.1,111.1414
8.2,113.508
8.3,116.1678
8.4,118.511
8.5,121.6234
8.6,123.6024
8.7,126.2114
8.8,128.8364
8.9,131.7634
9.0,135.0774
9.1,137.8324
9.2,141.5914
9.3,144.2484
9.4,147.203
9.5,149.753
9.6,152.687
9.7,155.7094
9.8,158.874
9.9,163.0354
10.0,166.9272
10.1,170.7352
10.2,174.4702
10.3,178.2258
10.4,181.382
10.5,184.5944
10.6,187.6918
10.7,190.9912
10.8,194.8676
10.9,199.605
11.0,204.398
11.1,208.91
11.2,213.116
11.3,217.016
11.4,220.982
11.5,224.912
11.6,228.03
11.7,232.08
11.8,236.594
11.9,241.604
12.0,246.824
12.1,251.76
12.2,256.468
12.3,260.688
12.4,264.948
12.5,269.064
12.6,273.37
12.7,277.618
12.8,282.594
12.9,287.92
13.0,293.118
13.1,298.404
13.2,303.084
13.3,307.842
13.4,312.368
13.5,316.738
13.6,321.198
13.7,326.18
13.8,331.632
13.9,337.08
14.0,342.356
14.1,347.878
14.2,352.91
14.3,357.802
14.4,362.44
14.5,366.996
14.6,372.126
14.7,377.584
14.8,383.196
14.9,388.916
15.0,394.596
15.1,399.92
15.2,405.042
15.3,409.998
15.4,414.994
15.5,420.194
15.6,425.504
15.7,431.116
15.8,436.858
15.9,442.726
16.0,448.276
16.1,453.71
16.2,458.966
16.3,464.238
16.4,469.57
16.5,474.934
16.6,480.546
16.7,486.156
16.8,492.052
16.9,497.944
17.0,503.56
17.1,508.894
17.2,514.256
17.3,519.75
17.4,525.39
17.5,530.992
17.6,536.906
17.7,542.928
17.8,548.81
17.9,554.626
18.0,560.05
18.1,565.474
18.2,571.104
18.3,576.682
18.4,582.406
18.5,588.354
18.6,594.442
18.7,600.482
