time (hour),cell 1 volume,cell 1 phase,cell 2 volume,cell 2 phase,cell 3 volume,cell 3 phase,cell 4 volume,cell 4 phase
0.488889,1.0,G1,,,,,,
0.968889,1.0,G1,,,,,,
1.44889,1.0,G1,,,,,,
1.92889,1.0,G1,,,,,,
2.40889,1.0,G1,,,,,,
2.88889,1.0,G1,,,,,,
3.36889,1.0,G1,,,,,,
3.84889,1.0,G1,,,,,,
4.32889,1.0,G1,,,,,,
4.8,1.0,G1,,,,,,
5.28,1.0,G1,,,,,,
5.76,1.0,G1,,,,,,
6.24,1.0,G1,,,,,,
6.72,1.0,G1,,,,,,
7.20889,1.18296,S,,,,,,
7.68889,1.271,S,,,,,,
8.16889,1.35437,S,,,,,,
8.64889,1.43252,S,,,,,,
9.12889,1.50508,S,,,,,,
9.60889,1.57177,S,,,,,,
10.0889,1.63246,S,,,,,,
10.5689,1.68714,S,,,,,,
11.0489,1.73588,S,,,,,,
11.5289,1.77888,S,,,,,,
12.0089,1.8164,S,,,,,,
12.4889,1.84878,S,,,,,,
12.9689,1.87642,S,,,,,,
13.4489,1.89976,G2,,,,,,
13.9289,1.9193,G2,,,,,,
14.4089,1.93557,G2,,,,,,
14.8889,1.94913,G2,,,,,,
15.3689,1.96054,G2,,,,,,
15.8489,1.9704,G2,,,,,,
16.3289,1.97931,M,,,,,,
16.8089,1.98788,M,,,,,,
17.2889,1.99673,M,,,,,,
17.7689,2.0,M,,,,,,
18.2489,1.0,G1,1.0,G1,,,,
18.7289,1.0,G1,1.0,G1,,,,
19.2089,1.0,G1,1.0,G1,,,,
19.6889,1.0,G1,1.0,G1,,,,
20.1689,1.0,G1,1.0,G1,,,,
20.6489,1.0,G1,1.0,G1,,,,
21.1289,1.0,G1,1.0,G1,,,,
21.6089,1.0,G1,1.0,G1,,,,
22.0889,1.0,G1,1.0,G1,,,,
22.5689,1.0,G1,1.0,G1,,,,
23.0489,1.0,G1,1.0,G1,,,,
23.5289,1.0,G1,1.0,G1,,,,
24.0089,1.0,G1,1.0,G1,,,,
24.4889,1.0,G1,1.0,G1,,,,
24.9689,1.0,G1,1.0,G1,,,,
25.4489,1.22916,S,1.23078,S,,,,
25.9289,1.31485,S,1.31639,S,,,,
26.4089,1.39557,S,1.39702,S,,,,
26.8889,1.47086,S,1.4722,S,,,,
27.3689,1.5404,S,1.54163,S,,,,
27.8489,1.60399,S,1.60511,S,,,,
28.3289,1.66156,S,1.66257,S,,,,
28.8089,1.71314,S,1.71404,S,,,,
29.2889,1.75888,S,1.75968,S,,,,
29.7689,1.799,S,1.7997,S,,,,
30.2489,1.83381,S,1.83441,S,,,,
30.7289,1.86368,S,1.86418,S,,,,
31.2089,1.88902,G2,1.88945,G2,,,,
31.6889,1.91033,G2,1.91069,G2,,,,
32.1689,1.92811,G2,1.92841,G2,,,,
32.6489,1.9429,G2,1.94315,G2,,,,
33.1289,1.95527,G2,1.95548,G2,,,,
33.6089,1.96581,G2,1.96599,G2,,,,
34.0889,1.9751,M,1.97526,M,,,,
34.5689,1.98376,M,1.98392,M,,,,
35.0489,1.9924,M,1.99256,M,,,,
35.5289,2.0,M,2.0,M,,,,
36.0089,1.0,G1,1.0,G1,1.0,G1,1.0,G1
36.4889,1.0,G1,1.0,G1,1.0,G1,1.0,G1
36.9689,1.0,G1,1.0,G1,1.0,G1,1.0,G1
37.4489,1.0,G1,1.0,G1,1.0,G1,1.0,G1
37.9289,1.0,G1,1.0,G1,1.0,G1,1.0,G1
38.4089,1.0,G1,1.0,G1,1.0,G1,1.0,G1
38.8889,1.0,G1,1.0,G1,1.0,G1,1.0,G1
39.3689,1.0,G1,1.0,G1,1.0,G1,1.0,G1
39.8489,1.0,G1,1.0,G1,1.0,G1,1.0,G1
40.3289,1.0,G1,1.0,G1,1.0,G1,1.0,G1
40.8089,1.0,G1,1.0,G1,1.0,G1,1.0,G1
41.2889,1.0,G1,1.0,G1,1.0,G1,1.0,G1
41.7689,1.0,G1,1.0,G1,1.0,G1,1.0,G1
42.2489,1.0,G1,1.0,G1,1.0,G1,1.0,G1
42.7289,1.0,G1,1.0,G1,1.0,G1,1.0,G1
43.2089,1.18796,S,1.18463,S,1.1863,S,1.18963,S
43.6889,1.27576,S,1.27259,S,1.27418,S,1.27734,S
44.1689,1.35885,S,1.35586,S,1.35736,S,1.36034,S
44.6489,1.43671,S,1.43392,S,1.43531,S,1.43809,S
45.1289,1.50894,S,1.50637,S,1.50765,S,1.51022,S
45.6089,1.5753,S,1.57295,S,1.57412,S,1.57647,S
46.0889,1.63566,S,1.63353,S,1.63459,S,1.63672,S
46.5689,1.69,S,1.68809,S,1.68905,S,1.69095,S
47.0489,1.73842,S,1.73673,S,1.73758,S,1.73926,S
47.5289,1.78111,S,1.77963,S,1.78037,S,1.78185,S
48.0089,1.81833,S,1.81705,S,1.81769,S,1.81897,S
