time(min),concentration,Unnamed: 2,Unnamed: 3,time(min).1,1000,200,100,50,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0.01,0.516911,,,0.01,0.516911,0.411568,0.412835,0.413332,,,,,,,,
0.02,0.744573,,,0.02,0.744573,0.662811,0.665148,0.666301,,,,,,,,
0.03,0.958188,,,0.03,0.958188,0.89723,0.900691,0.902484,,,,,,,,
0.04,1.15893,,,0.04,1.15893,1.11676,1.1214,1.12375,,,,,,,,
0.05,1.34767,,,0.05,1.34767,1.32306,1.32888,1.33171,,,,,,,,
0.06,1.52644,,,0.06,1.52644,1.51767,1.52451,1.52792,,,,,,,,
0.07,1.6953,,,0.07,1.6953,1.70165,1.70943,1.71344,,,,,,,,
0.08,1.85594,,,0.08,1.85594,1.87573,1.88479,1.88941,,,,,,,,
0.09,2.00851,,,0.09,2.00851,2.04133,2.05141,2.05673,,,,,,,,
0.1,2.15447,,,0.1,2.15447,2.19902,2.21017,2.21614,,,,,,,,
0.11,2.29358,,,0.11,2.29358,2.34957,2.3618,2.36831,,,,,,,,
0.12,2.42652,,,0.12,2.42652,2.4935,2.50678,2.51388,,,,,,,,
0.13,2.55359,,,0.13,2.55359,2.63142,2.64591,2.65336,,,,,,,,
0.14,2.67564,,,0.14,2.67564,2.76375,2.7795,2.78725,,,,,,,,
0.15,2.79308,,,0.15,2.79308,2.89107,2.9077,2.91598,,,,,,,,
0.16,2.90612,,,0.16,2.90612,3.01357,3.03104,3.03996,,,,,,,,
0.17,3.01504,,,0.17,3.01504,3.13172,3.15001,3.15949,,,,,,,,
0.18,3.12003,,,0.18,3.12003,3.2456,3.26493,3.27483,,,,,,,,
0.19,3.22161,,,0.19,3.22161,3.35573,3.37598,3.3863,,,,,,,,
0.2,3.31933,,,0.2,3.31933,3.46227,3.48351,3.49421,,,,,,,,
0.21,3.41409,,,0.21,3.41409,3.56547,3.58743,3.59866,,1000.0,200.0,100.0,50.0,20.0,10.0,1.0
0.22,3.50572,,,0.22,3.50572,3.66539,3.68826,3.69995,,8.96,9.79,9.89,9.948,9.979,9.989,9.998
0.23,3.595,,,0.23,3.595,3.76239,3.78613,3.79829,,,,,,,,
0.24,3.68112,,,0.24,3.68112,3.85649,3.88114,3.89372,,,,,,,,
0.25,3.76471,,,0.25,3.76471,3.94792,3.97342,3.98646,,,,,,,,
0.26,3.8461,,,0.26,3.8461,4.03664,4.0632,4.07673,,,,,,,,
0.27,3.92507,,,0.27,3.92507,4.12322,4.15058,4.16464,,,,,,,,
0.28,4.00198,,,0.28,4.00198,4.20742,4.23569,4.2503,,,,,,,,
0.29,4.07684,,,0.29,4.07684,4.28953,4.31853,4.33367,,,,,,,,
0.3,4.1498,,,0.3,4.1498,4.36961,4.39935,4.41487,,,,,,,,
0.31,4.22105,,,0.31,4.22105,4.44764,4.47833,4.49412,,,,,,,,
0.32,4.29038,,,0.32,4.29038,4.52387,4.55533,4.57139,,,,,,,,
0.33,4.35766,,,0.33,4.35766,4.59819,4.63049,4.64692,,,,,,,,
0.34,4.4239,,,0.34,4.4239,4.67086,4.70401,4.72071,,,,,,,,
0.35,4.48821,,,0.35,4.48821,4.74187,4.77581,4.79282,,,,,,,,
0.36,4.55141,,,0.36,4.55141,4.81121,4.84601,4.86338,,,,,,,,
0.37,4.6131,,,0.37,4.6131,4.87903,4.91461,4.93243,,,,,,,,
0.38,4.6731,,,0.38,4.6731,4.94553,4.98185,5.00001,,,,,,,,
0.39,4.73181,,,0.39,4.73181,5.0105,5.04762,5.06614,,,,,,,,
0.4,4.78931,,,0.4,4.78931,5.07409,5.11203,5.13096,,,,,,,,
0.41,4.84578,,,0.41,4.84578,5.13666,5.17521,5.19447,,,,,,,,
0.42,4.90075,,,0.42,4.90075,5.19796,5.23712,5.25662,,,,,,,,
0.43,4.9547,,,0.43,4.9547,5.25787,5.29777,5.31752,,,,,,,,
0.44,5.00766,,,0.44,5.00766,5.31668,5.35715,5.37729,,,,,,,,
0.45,5.05952,,,0.45,5.05952,5.37429,5.41552,5.43593,,,,,,,,
0.46,5.11024,,,0.46,5.11024,5.43081,5.4727,5.49351,,,,,,,,
0.47,5.16008,,,0.47,5.16008,5.48636,5.52891,5.54996,,,,,,,,
0.48,5.20922,,,0.48,5.20922,5.54082,5.58406,5.60541,,,,,,,,
0.49,5.25706,,,0.49,5.25706,5.5943,5.6381,5.65983,,,,,,,,
0.5,5.30428,,,0.5,5.30428,5.6468,5.6913,5.71328,,,,,,,,
0.51,5.35063,,,0.51,5.35063,5.69835,5.7434,5.76576,,,,,,,,
0.52,5.39581,,,0.52,5.39581,5.74916,5.79462,5.81738,,,,,,,,
0.53,5.44036,,,0.53,5.44036,5.79908,5.84488,5.86806,,,,,,,,
0.54,5.48416,,,0.54,5.48416,5.84828,5.89446,5.91789,,,,,,,,
0.55,5.52742,,,0.55,5.52742,5.89645,5.94318,5.96692,,,,,,,,
0.56,5.56973,,,0.56,5.56973,5.94403,5.9911,6.01517,,,,,,,,
0.57,5.61121,,,0.57,5.61121,5.99046,6.03814,6.06252,,,,,,,,
0.58,5.65193,,,0.58,5.65193,6.03612,6.08448,6.10909,,,,,,,,
0.59,5.69229,,,0.59,5.69229,6.08127,6.1301,6.15494,,,,,,,,
0.6,5.73176,,,0.6,5.73176,6.1255,6.17492,6.20003,,,,,,,,
0.61,5.77101,,,0.61,5.77101,6.16905,6.21917,6.24448,,,,,,,,
0.62,5.80935,,,0.62,5.80935,6.2119,6.26269,6.28826,,,,,,,,
0.63,5.84725,,,0.63,5.84725,6.25414,6.30539,6.33137,,,,,,,,
0.64,5.88455,,,0.64,5.88455,6.29584,6.34751,6.37379,,,,,,,,
0.65,5.92109,,,0.65,5.92109,6.33681,6.38904,6.41552,,,,,,,,
0.66,5.95696,,,0.66,5.95696,6.37705,6.42982,6.45663,,,,,,,,
0.67,5.9922,,,0.67,5.9922,6.41679,6.47007,6.49711,,,,,,,,
0.68,6.02721,,,0.68,6.02721,6.45589,6.50973,6.53701,,,,,,,,
0.69,6.06141,,,0.69,6.06141,6.49425,6.54877,6.57638,,,,,,,,
0.7,6.09491,,,0.7,6.09491,6.53211,6.58722,6.61513,,,,,,,,
0.71,6.12804,,,0.71,6.12804,6.56942,6.62516,6.65331,,,,,,,,
0.72,6.16128,,,0.72,6.16128,6.60632,6.66252,6.6909,,,,,,,,
0.73,6.1937,,,0.73,6.1937,6.64273,6.69928,6.72801,,,,,,,,
0.74,6.22577,,,0.74,6.22577,6.67863,6.73559,6.76455,,,,,,,,
0.75,6.25724,,,0.75,6.25724,6.714,6.77132,6.80056,,,,,,,,
0.76,6.28855,,,0.76,6.28855,6.74904,6.80669,6.83617,,,,,,,,
0.77,6.31918,,,0.77,6.31918,6.78345,6.8415,6.8712,,,,,,,,
0.78,6.34951,,,0.78,6.34951,6.81732,6.87574,6.90572,,,,,,,,
0.79,6.37908,,,0.79,6.37908,6.85073,6.90964,6.93985,,,,,,,,
0.8,6.40838,,,0.8,6.40838,6.88364,6.94291,6.97339,,,,,,,,
0.81,6.43718,,,0.81,6.43718,6.9162,6.97589,7.00665,,,,,,,,
0.82,6.46571,,,0.82,6.46571,6.94822,7.00848,7.03943,,,,,,,,
0.83,6.4935,,,0.83,6.4935,6.9799,7.04067,7.07175,,,,,,,,
0.84,6.52111,,,0.84,6.52111,7.01119,7.07244,7.10363,,,,,,,,
0.85,6.54818,,,0.85,6.54818,7.04202,7.10372,7.13513,,,,,,,,
0.86,6.57483,,,0.86,6.57483,7.07243,7.13456,7.1662,,,,,,,,
0.87,6.60139,,,0.87,6.60139,7.10242,7.16495,7.19683,,,,,,,,
0.88,6.62753,,,0.88,6.62753,7.13208,7.19497,7.22701,,,,,,,,
0.89,6.65304,,,0.89,6.65304,7.16133,7.22467,7.25683,,,,,,,,
0.9,6.67865,,,0.9,6.67865,7.19013,7.25394,7.28632,,,,,,,,
0.91,6.70372,,,0.91,6.70372,7.21861,7.2828,7.31543,,,,,,,,
0.92,6.72833,,,0.92,6.72833,7.2469,7.31133,7.34413,,,,,,,,
0.93,6.75279,,,0.93,6.75279,7.27467,7.33947,7.37248,,,,,,,,
0.94,6.77723,,,0.94,6.77723,7.30206,7.36736,7.40051,,,,,,,,
0.95,6.80123,,,0.95,6.80123,7.32936,7.3948,7.42818,,,,,,,,
