time(min)	-1,-1,-1	-1,-1,0	-1,-1,1	0,-1,-1	0,-1,0	0,-1,1	1,-1,-1	1,-1,0	1,-1,1	-1,0,-1	-1,0,0	-1,0,1	0,0,-1	0,0,0	0,0,1	1,0,-1	1,0,0	1,0,1	-1,1,-1	-1,1,0	-1,1,1	0,1,-1	0,1,0	0,1,1	1,1,-1	1,1,0	1,1,1
0.1	9.46869	8.98038	9.49356	8.98038	8.00804	9.00384	9.49356	9.00384	9.49347	8.98057	8.00908	9.00409	8.00908	5.41576	8.00789	9.00409	8.00789	8.98002	9.49368	9.00427	9.49362	9.00427	8.00899	8.98032	9.49362	8.98032	9.46858
0.2	9.89746	9.79987	9.90232	9.79987	9.59964	9.80441	9.90232	9.80441	9.90221	9.80008	9.60073	9.80469	9.60073	8.55513	9.59948	9.80469	9.59948	9.79948	9.90246	9.80489	9.90239	9.80489	9.60063	9.7998	9.90239	9.7998	9.89733
0.3	9.97812	9.95646	9.97913	9.95646	9.90869	9.9573	9.97913	9.9573	9.97902	9.95668	9.90979	9.95758	9.90979	9.17484	9.90853	9.95758	9.90853	9.95607	9.97927	9.95778	9.9792	9.95778	9.90969	9.95639	9.9792	9.95639	9.97799
0.4	9.99377	9.98685	9.99403	9.98685	9.96868	9.98697	9.99403	9.98697	9.99392	9.98707	9.96978	9.98725	9.96978	9.29516	9.96852	9.98725	9.96852	9.98646	9.99418	9.98746	9.9941	9.98746	9.96968	9.98678	9.9941	9.98678	9.99364
0.5	9.99681	9.99275	9.99693	9.99275	9.98033	9.99273	9.99693	9.99273	9.99681	9.99297	9.98142	9.99301	9.98142	9.31852	9.98016	9.99301	9.98016	9.99236	9.99707	9.99321	9.997	9.99321	9.98132	9.99268	9.997	9.99268	9.99668
0.6	9.9974	9.99389	9.99749	9.99389	9.98259	9.99385	9.99749	9.99385	9.99737	9.99411	9.98368	9.99413	9.98368	9.32305	9.98243	9.99413	9.98243	9.9935	9.99763	9.99433	9.99756	9.99433	9.98358	9.99383	9.99756	9.99383	9.99727
0.7	9.99751	9.99412	9.9976	9.99412	9.98303	9.99407	9.9976	9.99407	9.99748	9.99433	9.98412	9.99435	9.98412	9.32393	9.98286	9.99435	9.98286	9.99372	9.99774	9.99455	9.99767	9.99455	9.98402	9.99405	9.99767	9.99405	9.99738
0.8	9.99753	9.99416	9.99762	9.99416	9.98311	9.99411	9.99762	9.99411	9.9975	9.99438	9.98421	9.99439	9.98421	9.3241	9.98295	9.99439	9.98295	9.99377	9.99776	9.99459	9.99769	9.99459	9.98411	9.99409	9.99769	9.99409	9.99741
0.9	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99438	9.98422	9.9944	9.98422	9.32413	9.98297	9.9944	9.98297	9.99377	9.99776	9.9946	9.99769	9.9946	9.98412	9.9941	9.99769	9.9941	9.99741
1	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
1.1	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
1.2	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
1.3	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
1.4	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
1.5	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
1.6	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
1.7	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
1.8	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
