time(min)	-1,-1,-1	-1,-1,0	-1,-1,1	0,-1,-1	0,-1,0	0,-1,1	1,-1,-1	1,-1,0	1,-1,1	-1,0,-1	-1,0,0	-1,0,1	0,0,-1	0,0,0	0,0,1	1,0,-1	1,0,0	1,0,1	-1,1,-1	-1,1,0	-1,1,1	0,1,-1	0,1,0	0,1,1	1,1,-1	1,1,0	1,1,1
0.0166667	3.82817	3.01377	3.8365	3.01377	1.89151	3.01939	3.8365	3.01939	3.8365	3.01377	1.89151	3.01939	1.89151	0.298393	1.89151	3.01939	1.89151	3.01377	3.8365	3.01939	3.8365	3.01939	1.89151	3.01377	3.8365	3.01377	3.82817
0.0333333	6.47235	5.35801	6.48337	5.35801	3.66719	5.36612	6.48337	5.36612	6.48337	5.35801	3.66719	5.36612	3.66719	1.03284	3.66719	5.36612	3.66719	5.35801	6.48337	5.36612	6.48337	5.36612	3.66719	5.35801	6.48337	5.35801	6.47235
0.05	7.87238	6.80288	7.8824	6.80288	5.04349	6.81087	7.8824	6.81087	7.8824	6.80288	5.04349	6.81087	5.04349	2.08919	5.04349	6.81087	5.04349	6.80288	7.8824	6.81087	7.8824	6.81087	5.04349	6.80288	7.8824	6.80288	7.87238
0.0666667	8.61501	7.70301	8.62313	7.70301	6.1073	7.70991	8.62313	7.70991	8.62313	7.70301	6.1073	7.70991	6.1073	3.27411	6.1073	7.70991	6.1073	7.70301	8.62313	7.70991	8.62313	7.70991	6.1073	7.70301	8.62313	7.70301	8.61501
0.0833333	9.03975	8.29749	9.0461	8.29749	6.93999	8.30316	9.0461	8.30316	9.0461	8.29749	6.93999	8.30316	6.93999	4.4318	6.93999	8.30316	6.93999	8.29749	9.0461	8.30316	9.0461	8.30316	6.93999	8.29749	9.0461	8.29749	9.03975
0.1	9.30409	8.71185	9.30902	8.71185	7.59512	8.7164	9.30902	8.7164	9.30902	8.71185	7.59512	8.7164	7.59512	5.47374	7.59512	8.7164	7.59512	8.71185	9.30902	8.7164	9.30902	8.7164	7.59512	8.71185	9.30902	8.71185	9.30409
0.116667	9.48074	9.01237	9.48458	9.01237	8.11082	9.01599	9.48458	9.01599	9.48458	9.01237	8.11082	9.01599	8.11082	6.36535	8.11082	9.01599	8.11082	9.01237	9.48458	9.01599	9.48458	9.01599	8.11082	9.01237	9.48458	9.01237	9.48074
0.133333	9.60526	9.23634	9.60825	9.23634	8.51646	9.2392	9.60825	9.2392	9.60825	9.23634	8.51646	9.2392	8.51646	7.10461	8.51646	9.2392	8.51646	9.23634	9.60825	9.2392	9.60825	9.2392	8.51646	9.23634	9.60825	9.23634	9.60526
0.15	9.69636	9.40631	9.69869	9.40631	8.83526	9.40857	9.69869	9.40857	9.69869	9.40631	8.83526	9.40857	8.83526	7.70546	8.83526	9.40857	8.83526	9.40631	9.69869	9.40857	9.69869	9.40857	8.83526	9.40631	9.69869	9.40631	9.69636
0.166667	9.76469	9.53685	9.76651	9.53685	9.08567	9.53863	9.76651	9.53863	9.76651	9.53685	9.08567	9.53863	9.08567	8.18767	9.08567	9.53863	9.08567	9.53685	9.76651	9.53863	9.76651	9.53863	9.08567	9.53685	9.76651	9.53685	9.76469
0.183333	9.81678	9.63789	9.81821	9.63789	9.2823	9.63928	9.81821	9.63928	9.81821	9.63789	9.2823	9.63928	9.2823	8.57156	9.2823	9.63928	9.2823	9.63789	9.81821	9.63928	9.81821	9.63928	9.2823	9.63789	9.81821	9.63789	9.81678
0.2	9.85692	9.71648	9.85804	9.71648	9.43666	9.71758	9.85804	9.71758	9.85804	9.71648	9.43666	9.71758	9.43666	8.87561	9.43666	9.71758	9.43666	9.71648	9.85804	9.71758	9.85804	9.71758	9.43666	9.71648	9.85804	9.71648	9.85692
0.216667	9.88806	9.77782	9.88894	9.77782	9.55783	9.77868	9.88894	9.77868	9.88894	9.77782	9.55783	9.77868	9.55783	9.11564	9.55783	9.77868	9.55783	9.77782	9.88894	9.77868	9.88894	9.77868	9.55783	9.77782	9.88894	9.77782	9.88806
0.233333	9.91232	9.82579	9.91301	9.82579	9.65294	9.82646	9.91301	9.82646	9.91301	9.82579	9.65294	9.82646	9.65294	9.30473	9.65294	9.82646	9.65294	9.82579	9.91301	9.82646	9.91301	9.82646	9.65294	9.82579	9.91301	9.82579	9.91232
0.25	9.93127	9.86335	9.93181	9.86335	9.72759	9.86388	9.93181	9.86388	9.93181	9.86335	9.72759	9.86388	9.72759	9.45349	9.72759	9.86388	9.72759	9.86335	9.93181	9.86388	9.93181	9.86388	9.72759	9.86335	9.93181	9.86335	9.93127
0.266667	9.9461	9.89279	9.94652	9.89279	9.78618	9.8932	9.94652	9.8932	9.94652	9.89279	9.78618	9.8932	9.78618	9.57043	9.78618	9.8932	9.78618	9.89279	9.94652	9.8932	9.94652	9.8932	9.78618	9.89279	9.94652	9.89279	9.9461
0.283333	9.95771	9.91587	9.95805	9.91587	9.83217	9.9162	9.95805	9.9162	9.95805	9.91587	9.83217	9.9162	9.83217	9.6623	9.83217	9.9162	9.83217	9.91587	9.95805	9.9162	9.95805	9.9162	9.83217	9.91587	9.95805	9.91587	9.95771
0.3	9.96682	9.93398	9.96708	9.93398	9.86827	9.93423	9.96708	9.93423	9.96708	9.93398	9.86827	9.93423	9.86827	9.73445	9.86827	9.93423	9.86827	9.93398	9.96708	9.93423	9.96708	9.93423	9.86827	9.93398	9.96708	9.93398	9.96682
0.316667	9.97396	9.94818	9.97417	9.94818	9.8966	9.94838	9.97417	9.94838	9.97417	9.94818	9.8966	9.94838	9.8966	9.7911	9.8966	9.94838	9.8966	9.94818	9.97417	9.94838	9.97417	9.94838	9.8966	9.94818	9.97417	9.94818	9.97396
0.333333	9.97957	9.95933	9.97973	9.95933	9.91884	9.95949	9.97973	9.95949	9.97973	9.95933	9.91884	9.95949	9.91884	9.83558	9.91884	9.95949	9.91884	9.95933	9.97973	9.95949	9.97973	9.95949	9.91884	9.95933	9.97973	9.95933	9.97957
