time (min),distance (um)
0.0,30.0
0.1,28.0
0.2,26.0
0.3,24.0
0.4,22.0
0.5,20.0
0.6,18.0
0.7,16.0
0.8,14.0
0.9,12.0
1.0,10.0
1.1,7.99
1.2,5.9026
1.3,4.552399999999999
1.4,3.9068000000000023
1.5,3.5585999999999984
1.6,3.3819999999999997
1.7,3.2956000000000003
1.8,3.2541999999999973
1.9,3.234400000000001
2.0,3.224999999999996
2.1,3.2205999999999992
2.2,3.218600000000002
2.3,3.2175999999999974
2.4,3.2171999999999983
2.5,3.216800000000001
2.6,3.216800000000001
2.7,3.216800000000001
2.8,3.216800000000001
2.9,3.216800000000001
3.0,3.216800000000001
3.1,3.216800000000001
3.2,3.216800000000001
3.3,3.216800000000001
3.4,3.216800000000001
3.5,3.216800000000001
3.6,3.216800000000001
3.7,3.216800000000001
3.8,3.216800000000001
3.9,3.216800000000001
4.0,3.216800000000001
4.1,3.216800000000001
4.2,3.216800000000001
4.3,3.216800000000001
4.4,3.216800000000001
4.5,3.216800000000001
4.6,3.216800000000001
4.7,3.216800000000001
4.8,3.216800000000001
4.9,3.216800000000001
5.0,3.216800000000001
5.1,3.216800000000001
5.2,3.216800000000001
5.3,3.216800000000001
5.4,3.216800000000001
5.5,3.216800000000001
5.6,3.216800000000001
5.7,3.216800000000001
5.8,3.216800000000001
5.9,3.216800000000001
6.0,3.216800000000001
6.1,3.216800000000001
6.2,3.216800000000001
6.3,3.216800000000001
6.4,3.216800000000001
6.5,3.216800000000001
6.6,3.216800000000001
6.7,3.216800000000001
6.8,3.216800000000001
6.9,3.216800000000001
7.0,3.216800000000001
7.1,3.216800000000001
7.2,3.216800000000001
7.3,3.216800000000001
7.4,3.216800000000001
7.5,3.216800000000001
7.6,3.216800000000001
7.7,3.216800000000001
7.8,3.216800000000001
7.9,3.216800000000001
8.0,3.216800000000001
8.1,3.216800000000001
8.2,3.216800000000001
8.3,3.216800000000001
8.4,3.216800000000001
8.5,3.216800000000001
8.6,3.216800000000001
8.7,3.216800000000001
8.8,3.216800000000001
8.9,3.216800000000001
9.0,3.216800000000001
9.1,3.216800000000001
9.2,3.216800000000001
9.3,3.216800000000001
9.4,3.216800000000001
9.5,3.216800000000001
9.6,3.216800000000001
9.7,3.216800000000001
9.8,3.216800000000001
9.9,3.216800000000001
10.0,3.216800000000001
