time (min),distance (um)
0.0,30.0
0.00166667,29.9667
0.00333333,29.9333
0.005,29.9
0.00666667,29.8667
0.00833333,29.8333
0.01,29.8
0.0116667,29.7667
0.0133333,29.7333
0.015,29.7
0.0166667,29.6667
0.0183333,29.6333
0.02,29.6
0.0216667,29.5667
0.0233333,29.5333
0.025,29.5
0.0266667,29.4667
0.0283333,29.4333
0.03,29.4
0.0316667,29.3667
0.0333333,29.3333
0.035,29.3
0.0366667,29.2667
0.0383333,29.2333
0.04,29.2
0.0416667,29.1667
0.0433333,29.1333
0.045,29.1
0.0466667,29.0667
0.0483333,29.0333
0.05,29.0
0.0516667,28.9667
0.0533333,28.9333
0.055,28.9
0.0566667,28.8667
0.0583333,28.8333
0.06,28.8
0.0616667,28.7667
0.0633333,28.7333
0.065,28.7
0.0666667,28.6667
0.0683333,28.6333
0.07,28.6
0.0716667,28.5667
0.0733333,28.5333
0.075,28.5
0.0766667,28.4667
0.0783333,28.4333
0.08,28.4
0.0816667,28.3667
0.0833333,28.3333
0.085,28.3
0.0866667,28.2667
0.0883333,28.2333
0.09,28.2
0.0916667,28.1667
0.0933333,28.1333
0.095,28.1
0.0966667,28.0667
0.0983333,28.0333
0.1,28.0
0.101667,27.9667
0.103333,27.9333
0.105,27.9
0.106667,27.8667
0.108333,27.8333
0.11,27.8
0.111667,27.7667
0.113333,27.7333
0.115,27.7
0.116667,27.6667
0.118333,27.6333
0.12,27.6
0.121667,27.5667
0.123333,27.5333
0.125,27.5
0.126667,27.4667
0.128333,27.4333
0.13,27.4
0.131667,27.3667
0.133333,27.3333
0.135,27.3
0.136667,27.2667
0.138333,27.2333
0.14,27.2
0.141667,27.1667
0.143333,27.1333
0.145,27.1
0.146667,27.0667
0.148333,27.0333
0.15,27.0
0.151667,26.9667
0.153333,26.9333
0.155,26.9
0.156667,26.8667
0.158333,26.8333
0.16,26.8
0.161667,26.7667
0.163333,26.7333
0.165,26.7
0.166667,26.6667
0.168333,26.6333
0.17,26.6
0.171667,26.5667
0.173333,26.5333
0.175,26.5
0.176667,26.4667
0.178333,26.4333
0.18,26.4
0.181667,26.3667
0.183333,26.3333
0.185,26.3
0.186667,26.2667
0.188333,26.2333
0.19,26.2
0.191667,26.1667
0.193333,26.1333
0.195,26.1
0.196667,26.0667
0.198333,26.0333
0.2,26.0
0.201667,25.9667
0.203333,25.9333
0.205,25.9
0.206667,25.8667
0.208333,25.8333
0.21,25.8
0.211667,25.7667
0.213333,25.7333
0.215,25.7
0.216667,25.6667
0.218333,25.6333
0.22,25.6
0.221667,25.5667
0.223333,25.5333
0.225,25.5
0.226667,25.4667
0.228333,25.4333
0.23,25.4
0.231667,25.3667
0.233333,25.3333
0.235,25.3
0.236667,25.2667
0.238333,25.2333
0.24,25.2
0.241667,25.1667
0.243333,25.1333
0.245,25.1
0.246667,25.0667
0.248333,25.0333
0.25,25.0
0.251667,24.9667
0.253333,24.9333
0.255,24.9
0.256667,24.8667
0.258333,24.8333
0.26,24.8
0.261667,24.7667
0.263333,24.7333
0.265,24.7
0.266667,24.6667
0.268333,24.6333
0.27,24.6
0.271667,24.5667
0.273333,24.5333
0.275,24.5
0.276667,24.4667
0.278333,24.4333
0.28,24.4
0.281667,24.3667
0.283333,24.3333
0.285,24.3
0.286667,24.2667
0.288333,24.2333
0.29,24.2
0.291667,24.1667
0.293333,24.1333
0.295,24.1
0.296667,24.0667
0.298333,24.0333
0.3,24.0
0.301667,23.9667
0.303333,23.9333
0.305,23.9
0.306667,23.8667
0.308333,23.8333
0.31,23.8
0.311667,23.7667
0.313333,23.7333
0.315,23.7
0.316667,23.6667
0.318333,23.6333
0.32,23.6
0.321667,23.5667
0.323333,23.5333
0.325,23.5
0.326667,23.4667
0.328333,23.4333
0.33,23.4
0.331667,23.3667
0.333333,23.3333
0.335,23.3
0.336667,23.2667
0.338333,23.2333
0.34,23.2
0.341667,23.1667
0.343333,23.1333
0.345,23.1
0.346667,23.0667
0.348333,23.0333
0.35,23.0
0.351667,22.9667
0.353333,22.9333
0.355,22.9
0.356667,22.8667
0.358333,22.8333
0.36,22.8
0.361667,22.7667
0.363333,22.7333
0.365,22.7
0.366667,22.6667
0.368333,22.6333
0.37,22.6
0.371667,22.5667
0.373333,22.5333
0.375,22.5
0.376667,22.4667
0.378333,22.4333
0.38,22.4
0.381667,22.3667
0.383333,22.3333
0.385,22.3
0.386667,22.2667
0.388333,22.2333
0.39,22.2
0.391667,22.1667
0.393333,22.1333
0.395,22.1
0.396667,22.0667
0.398333,22.0333
0.4,22.0
0.401667,21.9667
0.403333,21.9333
0.405,21.9
0.406667,21.8667
0.408333,21.8333
0.41,21.8
0.411667,21.7667
0.413333,21.7333
0.415,21.7
0.416667,21.6667
0.418333,21.6333
0.42,21.6
0.421667,21.5667
0.423333,21.5333
0.425,21.5
0.426667,21.4667
0.428333,21.4333
0.43,21.4
0.431667,21.3667
0.433333,21.3333
0.435,21.3
0.436667,21.2667
0.438333,21.2333
0.44,21.2
0.441667,21.1667
0.443333,21.1333
0.445,21.1
0.446667,21.0667
0.448333,21.0333
0.45,21.0
0.451667,20.9667
0.453333,20.9333
0.455,20.9
0.456667,20.8667
0.458333,20.8333
0.46,20.8
0.461667,20.7667
0.463333,20.7333
0.465,20.7
0.466667,20.6667
0.468333,20.6333
0.47,20.6
0.471667,20.5667
0.473333,20.5333
0.475,20.5
0.476667,20.4667
0.478333,20.4333
0.48,20.4
0.481667,20.3667
0.483333,20.3333
0.485,20.3
0.486667,20.2667
0.488333,20.2333
0.49,20.2
0.491667,20.1667
0.493333,20.1333
0.495,20.1
0.496667,20.0667
0.498333,20.0333
0.5,20.0
0.501667,19.9667
0.503333,19.9333
0.505,19.9
0.506667,19.8667
0.508333,19.8333
0.51,19.8
0.511667,19.7667
0.513333,19.7333
0.515,19.7
0.516667,19.6667
0.518333,19.6333
0.52,19.6
0.521667,19.5667
0.523333,19.5333
0.525,19.5
0.526667,19.4667
0.528333,19.4333
0.53,19.4
0.531667,19.3667
0.533333,19.3333
0.535,19.3
0.536667,19.2667
0.538333,19.2333
0.54,19.2
0.541667,19.1667
0.543333,19.1333
0.545,19.1
0.546667,19.0667
0.548333,19.0333
0.55,19.0
0.551667,18.9667
0.553333,18.9333
0.555,18.9
0.556667,18.8667
0.558333,18.8333
0.56,18.8
0.561667,18.7667
0.563333,18.7333
0.565,18.7
0.566667,18.6667
0.568333,18.6333
0.57,18.6
0.571667,18.5667
0.573333,18.5333
0.575,18.5
0.576667,18.4667
0.578333,18.4333
0.58,18.4
0.581667,18.3667
0.583333,18.3333
0.585,18.3
0.586667,18.2667
0.588333,18.2333
0.59,18.2
0.591667,18.1667
0.593333,18.1333
0.595,18.1
0.596667,18.0667
0.598333,18.0333
0.6,18.0
0.601667,17.9667
0.603333,17.9333
0.605,17.9
0.606667,17.8667
0.608333,17.8333
0.61,17.8
0.611667,17.7667
0.613333,17.7333
0.615,17.7
0.616667,17.6667
0.618333,17.6333
0.62,17.6
0.621667,17.5667
0.623333,17.5333
0.625,17.5
0.626667,17.4667
0.628333,17.4333
0.63,17.4
0.631667,17.3667
0.633333,17.3333
0.635,17.3
0.636667,17.2667
0.638333,17.2333
0.64,17.2
0.641667,17.1667
0.643333,17.1333
0.645,17.1
0.646667,17.0667
0.648333,17.0333
0.65,17.0
0.651667,16.9667
0.653333,16.9333
0.655,16.9
0.656667,16.8667
0.658333,16.8333
0.66,16.8
0.661667,16.7667
0.663333,16.7333
0.665,16.7
0.666667,16.6667
0.668333,16.6333
0.67,16.6
0.671667,16.5667
0.673333,16.5333
0.675,16.5
0.676667,16.4667
0.678333,16.4333
0.68,16.4
0.681667,16.3667
0.683333,16.3333
0.685,16.3
0.686667,16.2667
0.688333,16.2333
0.69,16.2
0.691667,16.1667
0.693333,16.1333
0.695,16.1
0.696667,16.0667
0.698333,16.0333
0.7,16.0
0.701667,15.9667
0.703333,15.9333
0.705,15.9
0.706667,15.8667
0.708333,15.8333
0.71,15.8
0.711667,15.7667
0.713333,15.7333
0.715,15.7
0.716667,15.6667
0.718333,15.6333
0.72,15.6
0.721667,15.5667
0.723333,15.5333
0.725,15.5
0.726667,15.4667
0.728333,15.4333
0.73,15.4
0.731667,15.3667
0.733333,15.3333
0.735,15.3
0.736667,15.2667
0.738333,15.2333
0.74,15.2
0.741667,15.1667
0.743333,15.1333
0.745,15.1
0.746667,15.0667
0.748333,15.0333
0.75,15.0
0.751667,14.9667
0.753333,14.9333
0.755,14.9
0.756667,14.8667
0.758333,14.8333
0.76,14.8
0.761667,14.7667
0.763333,14.7333
0.765,14.7
0.766667,14.6667
0.768333,14.6333
0.77,14.6
0.771667,14.5667
0.773333,14.5333
0.775,14.5
0.776667,14.4667
0.778333,14.4333
0.78,14.4
0.781667,14.3667
0.783333,14.3333
0.785,14.3
0.786667,14.2667
0.788333,14.2333
0.79,14.2
0.791667,14.1667
0.793333,14.1333
0.795,14.1
0.796667,14.0667
0.798333,14.0333
0.8,14.0
0.801667,13.9667
0.803333,13.9333
0.805,13.9
0.806667,13.8667
0.808333,13.8333
0.81,13.8
0.811667,13.7667
0.813333,13.7333
0.815,13.7
0.816667,13.6667
0.818333,13.6333
0.82,13.6
0.821667,13.5667
0.823333,13.5333
0.825,13.5
0.826667,13.4667
0.828333,13.4333
0.83,13.4
0.831667,13.3667
0.833333,13.3333
0.835,13.3
0.836667,13.2667
0.838333,13.2333
0.84,13.2
0.841667,13.1667
0.843333,13.1333
0.845,13.1
0.846667,13.0667
0.848333,13.0333
0.85,13.0
0.851667,12.9667
0.853333,12.9333
0.855,12.9
0.856667,12.8667
0.858333,12.8333
0.86,12.8
0.861667,12.7667
0.863333,12.7333
0.865,12.7
0.866667,12.6667
0.868333,12.6333
0.87,12.6
0.871667,12.5667
0.873333,12.5333
0.875,12.5
0.876667,12.4667
0.878333,12.4333
0.88,12.4
0.881667,12.3667
0.883333,12.3333
0.885,12.3
0.886667,12.2667
0.888333,12.2333
0.89,12.2
0.891667,12.1667
0.893333,12.1333
0.895,12.1
0.896667,12.0667
0.898333,12.0333
0.9,12.0
0.901667,11.9667
0.903333,11.9333
0.905,11.9
0.906667,11.8667
0.908333,11.8333
0.91,11.8
0.911667,11.7667
0.913333,11.7333
0.915,11.7
0.916667,11.6667
0.918333,11.6333
0.92,11.6
0.921667,11.5667
0.923333,11.5333
0.925,11.5
0.926667,11.4667
0.928333,11.4333
0.93,11.4
0.931667,11.3667
0.933333,11.3333
0.935,11.3
0.936667,11.2667
0.938333,11.2333
0.94,11.2
0.941667,11.1667
0.943333,11.1333
0.945,11.1
0.946667,11.0667
0.948333,11.0333
0.95,11.0
0.951667,10.9667
0.953333,10.9333
0.955,10.9
0.956667,10.8667
0.958333,10.8333
0.96,10.8
0.961667,10.7667
0.963333,10.7333
0.965,10.7
0.966667,10.6667
0.968333,10.6333
0.97,10.6
0.971667,10.5667
0.973333,10.5333
0.975,10.5
0.976667,10.4667
0.978333,10.4333
0.98,10.4
0.981667,10.3667
0.983333,10.3333
0.985,10.3
0.986667,10.2667
0.988333,10.2333
0.99,10.2
0.991667,10.1667
0.993333,10.1333
0.995,10.1
0.996667,10.0667
0.998333,10.0333
1.0,10.0
1.00167,9.96667
1.00333,9.93333
1.005,9.9
1.00667,9.86667
1.00833,9.83333
1.01,9.8
1.01167,9.76667
1.01333,9.73333
1.015,9.7
1.01667,9.66667
1.01833,9.63333
1.02,9.6
1.02167,9.56667
1.02333,9.53333
1.025,9.5
1.02667,9.46667
1.02833,9.43333
1.03,9.4
1.03167,9.36667
1.03333,9.33333
1.035,9.3
1.03667,9.26667
1.03833,9.23333
1.04,9.2
1.04167,9.16667
1.04333,9.13333
1.045,9.1
1.04667,9.06667
1.04833,9.03333
1.05,9.0
1.05167,8.97035
1.05333,8.97401
1.055,8.97765
1.05667,8.98128
1.05833,8.98488
1.06,8.98847
1.06167,8.99203
1.06333,8.99558
1.065,8.99911
1.06667,9.00262
1.06833,9.00612
1.07,9.00959
1.07167,9.01305
1.07333,9.01649
1.075,9.01991
1.07667,9.02332
1.07833,9.0267
1.08,9.03007
1.08167,9.03343
1.08333,9.03676
1.085,9.04008
1.08667,9.04338
1.08833,9.04667
1.09,9.04994
1.09167,9.05319
1.09333,9.05642
1.095,9.05964
1.09667,9.06285
1.09833,9.06603
1.1,9.0692
1.10167,9.07236
1.10333,9.0755
1.105,9.07862
1.10667,9.08173
1.10833,9.08482
1.11,9.0879
1.11167,9.09096
1.11333,9.09401
1.115,9.09704
1.11667,9.10005
1.11833,9.10306
1.12,9.10604
1.12167,9.10901
1.12333,9.11197
1.125,9.11492
1.12667,9.11784
1.12833,9.12076
1.13,9.12366
1.13167,9.12654
1.13333,9.12942
1.135,9.13227
1.13667,9.13512
1.13833,9.13795
1.14,9.14073
1.14167,9.14351
1.14333,9.14627
1.145,9.14901
1.14667,9.15174
1.14833,9.15446
1.15,9.15717
1.15167,9.15986
1.15333,9.16254
1.155,9.16521
1.15667,9.16786
1.15833,9.1705
1.16,9.17313
1.16167,9.17575
1.16333,9.17835
1.165,9.18094
1.16667,9.18352
1.16833,9.18608
1.17,9.18864
1.17167,9.19118
1.17333,9.19371
1.175,9.19623
1.17667,9.19874
1.17833,9.20123
1.18,9.20371
1.18167,9.20618
1.18333,9.20864
1.185,9.21109
