time_s,distance_10um,force_nN
0,0.9,0.564686
3,0.910522,0.47795
6,0.91945,0.408227
9,0.927093,0.351528
12,0.933686,0.304935
15,0.939415,0.266285
18,0.944425,0.233948
21,0.948832,0.20668
24,0.952729,0.183521
27,0.956193,0.163721
30,0.959286,0.146691
33,0.96206,0.13196
36,0.964556,0.119151
39,0.966812,0.107959
42,0.968857,0.0981361
45,0.970717,0.0894775
48,0.972413,0.0818151
51,0.973965,0.0750091
54,0.975388,0.0689424
57,0.976697,0.063517
60,0.977903,0.0586498
63,0.979017,0.0542707
66,0.980048,0.0503196
69,0.981004,0.0467452
72,0.981893,0.0435036
75,0.98272,0.0405567
78,0.983491,0.0378716
81,0.984211,0.0354197
84,0.984885,0.0331763
87,0.985516,0.0311194
90,0.986109,0.0292301
93,0.986665,0.0274915
96,0.987188,0.0258888
99,0.987681,0.024409
102,0.988146,0.0230404
105,0.988585,0.0217728
108,0.988999,0.020597
111,0.989392,0.0195048
114,0.989763,0.0184888
117,0.990115,0.0175425
120,0.990449,0.0166601
123,0.990767,0.0158361
126,0.991069,0.0150658
129,0.991356,0.0143449
132,0.991629,0.0136695
135,0.99189,0.0130361
138,0.992138,0.0124413
141,0.992375,0.0118824
144,0.992602,0.0113565
147,0.992818,0.0108614
150,0.993025,0.0103948
153,0.993224,0.00995463
156,0.993413,0.00953908
159,0.993595,0.00914642
162,0.99377,0.00877512
165,0.993937,0.00842372
168,0.994098,0.00809091
171,0.994252,0.00777547
174,0.9944,0.00747628
177,0.994543,0.0071923
180,0.99468,0.00692257
183,0.994812,0.00666622
186,0.994939,0.00642242
189,0.995062,0.0061904
192,0.99518,0.00596946
195,0.995294,0.00575895
198,0.995403,0.00555826
201,0.995509,0.00536682
204,0.995612,0.00518409
207,0.995711,0.0050096
210,0.995806,0.00484288
213,0.995899,0.00468349
216,0.995988,0.00453105
219,0.996075,0.00438517
222,0.996158,0.00424551
225,0.996239,0.00411173
228,0.996318,0.00398353
231,0.996394,0.00386062
234,0.996467,0.00374274
237,0.996539,0.00362961
240,0.996608,0.00352101
243,0.996675,0.00341672
246,0.99674,0.00331651
249,0.996804,0.0032202
252,0.996865,0.00312758
255,0.996925,0.0030385
258,0.996983,0.00295277
261,0.997039,0.00287025
264,0.997094,0.00279078
267,0.997147,0.00271423
270,0.997199,0.00264046
273,0.997249,0.00256934
276,0.997298,0.00250076
279,0.997346,0.00243461
282,0.997393,0.00237077
285,0.997438,0.00230915
288,0.997482,0.00224965
291,0.997525,0.00219218
294,0.997567,0.00213666
297,0.997608,0.002083
300,0.997647,0.00203113
303,0.997686,0.00198097
306,0.997724,0.00193245
309,0.997761,0.0018855
312,0.997797,0.00184007
315,0.997832,0.00179608
318,0.997866,0.00175349
321,0.9979,0.00171224
324,0.997932,0.00167227
327,0.997964,0.00163354
330,0.997995,0.001596
333,0.998026,0.0015596
336,0.998056,0.0015243
339,0.998085,0.00149006
342,0.998113,0.00145684
345,0.998141,0.00142461
348,0.998168,0.00139331
351,0.998195,0.00136293
354,0.998221,0.00133343
357,0.998246,0.00130477
360,0.998271,0.00127693
363,0.998296,0.00124988
366,0.998319,0.00122358
369,0.998343,0.00119802
372,0.998366,0.00117317
375,0.998388,0.001149
378,0.99841,0.00112549
381,0.998431,0.00110262
384,0.998452,0.00108036
387,0.998473,0.0010587
390,0.998493,0.00103762
393,0.998513,0.00101709
396,0.998533,0.000997097
399,0.998552,0.000977628
402,0.99857,0.000958662
405,0.998589,0.000940185
408,0.998607,0.000922179
411,0.998624,0.00090463
414,0.998641,0.000887524
417,0.998658,0.000870847
420,0.998675,0.000854585
423,0.998691,0.000838725
426,0.998707,0.000823256
429,0.998723,0.000808165
432,0.998738,0.00079344
435,0.998754,0.000779071
438,0.998768,0.000765047
441,0.998783,0.000751357
444,0.998797,0.000737992
447,0.998811,0.000724942
450,0.998825,0.000712198
453,0.998839,0.000699751
456,0.998852,0.000687592
459,0.998865,0.000675713
462,0.998878,0.000664106
465,0.998891,0.000652763
468,0.998903,0.000641677
471,0.998916,0.00063084
474,0.998928,0.000620246
477,0.99894,0.000609888
480,0.998951,0.000599758
483,0.998963,0.000589852
486,0.998974,0.000580162
489,0.998985,0.000570684
492,0.998996,0.00056141
495,0.999007,0.000552336
498,0.999017,0.000543457
501,0.999028,0.000534766
504,0.999038,0.00052626
507,0.999048,0.000517933
510,0.999058,0.00050978
513,0.999067,0.000501797
516,0.999077,0.00049398
519,0.999086,0.000486325
522,0.999096,0.000478826
525,0.999105,0.00047148
528,0.999114,0.000464284
531,0.999123,0.000457233
534,0.999132,0.000450324
537,0.99914,0.000443553
540,0.999149,0.000436917
543,0.999157,0.000430413
546,0.999165,0.000424036
549,0.999173,0.000417785
552,0.999181,0.000411656
555,0.999189,0.000405646
558,0.999197,0.000399752
561,0.999204,0.000393971
564,0.999212,0.000388301
567,0.999219,0.000382739
570,0.999227,0.000377282
573,0.999234,0.000371929
576,0.999241,0.000366676
579,0.999248,0.000361521
582,0.999255,0.000356462
585,0.999262,0.000351496
588,0.999268,0.000346623
591,0.999275,0.000341838
594,0.999282,0.000337141
597,0.999288,0.00033253
600,0.999294,0.000328001
603,0.999301,0.000323555
606,0.999307,0.000319188
609,0.999313,0.000314899
612,0.999319,0.000310686
615,0.999325,0.000306548
618,0.999331,0.000302483
621,0.999336,0.000298489
624,0.999342,0.000294565
627,0.999348,0.000290709
630,0.999353,0.000286919
633,0.999359,0.000283195
636,0.999364,0.000279535
639,0.99937,0.000275938
642,0.999375,0.000272401
645,0.99938,0.000268925
648,0.999385,0.000265507
651,0.99939,0.000262147
654,0.999395,0.000258842
657,0.9994,0.000255593
660,0.999405,0.000252398
663,0.99941,0.000249256
666,0.999415,0.000246165
669,0.999419,0.000243125
672,0.999424,0.000240134
675,0.999429,0.000237192
678,0.999433,0.000234298
681,0.999438,0.00023145
684,0.999442,0.000228648
687,0.999446,0.000225891
690,0.999451,0.000223177
693,0.999455,0.000220507
696,0.999459,0.000217879
699,0.999463,0.000215292
702,0.999467,0.000212746
705,0.999471,0.000210239
708,0.999476,0.000207772
711,0.999479,0.000205343
714,0.999483,0.000202951
717,0.999487,0.000200596
720,0.999491,0.000198277
723,0.999495,0.000195993
726,0.999499,0.000193744
729,0.999502,0.000191529
732,0.999506,0.000189348
735,0.99951,0.000187199
738,0.999513,0.000185082
741,0.999517,0.000182997
744,0.99952,0.000180943
747,0.999524,0.00017892
750,0.999527,0.000176926
753,0.99953,0.000174961
756,0.999534,0.000173026
759,0.999537,0.000171118
762,0.99954,0.000169238
765,0.999544,0.000167386
768,0.999547,0.00016556
771,0.99955,0.00016376
774,0.999553,0.000161986
777,0.999556,0.000160237
780,0.999559,0.000158514
783,0.999562,0.000156814
786,0.999565,0.000155139
789,0.999568,0.000153487
792,0.999571,0.000151859
795,0.999574,0.000150253
798,0.999577,0.000148669
801,0.99958,0.000147108
804,0.999583,0.000145568
807,0.999585,0.000144049
810,0.999588,0.000142551
813,0.999591,0.000141074
816,0.999594,0.000139616
819,0.999596,0.000138179
822,0.999599,0.000136761
825,0.999601,0.000135362
828,0.999604,0.000133982
831,0.999607,0.00013262
834,0.999609,0.000131277
837,0.999612,0.000129952
840,0.999614,0.000128644
843,0.999617,0.000127353
846,0.999619,0.00012608
849,0.999621,0.000124823
852,0.999624,0.000123582
855,0.999626,0.000122358
858,0.999628,0.00012115
861,0.999631,0.000119957
864,0.999633,0.00011878
867,0.999635,0.000117618
870,0.999638,0.000116471
873,0.99964,0.000115338
876,0.999642,0.00011422
879,0.999644,0.000113117
882,0.999646,0.000112027
885,0.999649,0.000110951
888,0.999651,0.000109889
891,0.999653,0.000108839
894,0.999655,0.000107804
897,0.999657,0.000106781
900,0.999659,0.00010577
903,0.999661,0.000104772
906,0.999663,0.000103787
909,0.999665,0.000102814
912,0.999667,0.000101852
915,0.999669,0.000100903
918,0.999671,9.9965e-05
921,0.999673,9.90385e-05
924,0.999675,9.81232e-05
927,0.999676,9.7219e-05
930,0.999678,9.63257e-05
933,0.99968,9.54432e-05
936,0.999682,9.45712e-05
939,0.999684,9.37097e-05
942,0.999686,9.28585e-05
945,0.999687,9.20173e-05
948,0.999689,9.11861e-05
951,0.999691,9.03648e-05
