time_s,distance_10um,force_nN
0,0.9,0.564686
3,0.900111,0.56375
6,0.900221,0.562815
9,0.900331,0.561883
12,0.900441,0.560954
15,0.900551,0.560026
18,0.900661,0.5591
21,0.90077,0.558176
24,0.900879,0.557255
27,0.900988,0.556335
30,0.901097,0.555417
33,0.901206,0.554502
36,0.901314,0.553588
39,0.901423,0.552677
42,0.901531,0.551768
45,0.901639,0.55086
48,0.901747,0.549955
51,0.901854,0.549051
54,0.901962,0.54815
57,0.902069,0.547251
60,0.902176,0.546353
63,0.902283,0.545458
66,0.90239,0.544564
69,0.902496,0.543673
72,0.902603,0.542783
75,0.902709,0.541896
78,0.902815,0.54101
81,0.902921,0.540127
84,0.903026,0.539245
87,0.903132,0.538365
90,0.903237,0.537488
93,0.903342,0.536612
96,0.903447,0.535738
99,0.903552,0.534866
102,0.903657,0.533996
105,0.903761,0.533128
108,0.903866,0.532261
111,0.90397,0.531397
114,0.904074,0.530535
117,0.904177,0.529674
120,0.904281,0.528815
123,0.904384,0.527958
126,0.904488,0.527103
129,0.904591,0.52625
132,0.904694,0.525399
135,0.904796,0.52455
138,0.904899,0.523702
141,0.905001,0.522857
144,0.905104,0.522013
147,0.905206,0.521171
150,0.905308,0.520331
153,0.905409,0.519492
156,0.905511,0.518656
159,0.905612,0.517821
162,0.905714,0.516988
165,0.905815,0.516157
168,0.905915,0.515328
171,0.906016,0.5145
174,0.906117,0.513675
177,0.906217,0.512851
180,0.906317,0.512029
183,0.906418,0.511208
186,0.906517,0.51039
189,0.906617,0.509573
192,0.906717,0.508758
195,0.906816,0.507944
198,0.906916,0.507133
201,0.907015,0.506323
204,0.907114,0.505515
207,0.907212,0.504709
210,0.907311,0.503904
213,0.90741,0.503101
216,0.907508,0.5023
219,0.907606,0.501501
222,0.907704,0.500703
225,0.907802,0.499907
228,0.9079,0.499113
231,0.907997,0.49832
234,0.908094,0.49753
237,0.908192,0.49674
240,0.908289,0.495953
243,0.908386,0.495167
246,0.908482,0.494383
249,0.908579,0.493601
252,0.908675,0.49282
255,0.908772,0.492041
258,0.908868,0.491263
261,0.908964,0.490487
264,0.90906,0.489713
267,0.909155,0.488941
270,0.909251,0.48817
273,0.909346,0.487401
276,0.909441,0.486633
279,0.909536,0.485867
282,0.909631,0.485103
285,0.909726,0.48434
288,0.909821,0.483579
291,0.909915,0.48282
294,0.910009,0.482062
297,0.910103,0.481305
300,0.910197,0.480551
303,0.910291,0.479798
306,0.910385,0.479046
309,0.910478,0.478296
312,0.910572,0.477548
315,0.910665,0.476801
318,0.910758,0.476056
321,0.910851,0.475313
324,0.910944,0.474571
327,0.911037,0.47383
330,0.911129,0.473091
333,0.911222,0.472354
336,0.911314,0.471618
339,0.911406,0.470884
342,0.911498,0.470151
345,0.91159,0.46942
348,0.911681,0.46869
351,0.911773,0.467962
354,0.911864,0.467235
357,0.911955,0.46651
360,0.912046,0.465787
363,0.912137,0.465065
366,0.912228,0.464344
369,0.912319,0.463625
372,0.912409,0.462908
375,0.912499,0.462192
378,0.91259,0.461477
381,0.91268,0.460764
384,0.91277,0.460052
387,0.912859,0.459342
390,0.912949,0.458634
393,0.913039,0.457927
396,0.913128,0.457221
399,0.913217,0.456517
402,0.913306,0.455814
405,0.913395,0.455113
408,0.913484,0.454413
411,0.913573,0.453714
414,0.913661,0.453017
417,0.91375,0.452322
420,0.913838,0.451628
423,0.913926,0.450935
426,0.914014,0.450244
429,0.914102,0.449554
432,0.914189,0.448866
435,0.914277,0.448179
438,0.914364,0.447494
441,0.914452,0.446809
444,0.914539,0.446127
447,0.914626,0.445445
450,0.914713,0.444766
453,0.9148,0.444087
456,0.914886,0.44341
459,0.914973,0.442734
462,0.915059,0.44206
465,0.915145,0.441387
468,0.915231,0.440716
471,0.915317,0.440045
474,0.915403,0.439377
