time (day),diameter (um),number
0.0,0.0,1
0.1,0.0,1
0.2,0.0,1
0.3,0.0,1
0.4,0.0,1
0.5,0.0,1
0.6,0.0,1
0.7,0.0,1
0.8,0.0,1
0.9,12.52116,2
1.0,12.81284,2
1.1,13.1571,2
1.2,14.08224,2
1.3,14.19836,2
1.4,14.26192,2
1.5,14.7838,2
1.6,15.3379,2
1.7,15.95348,2
1.8,21.7958,3
1.9,22.9518,4
2.0,24.4224,4
2.1,25.0716,4
2.2,26.0112,4
2.3,25.9382,4
2.4,27.7882,4
2.5,31.8876,4
2.6,32.32,4
2.7,33.0042,7
2.8,33.5012,8
2.9,34.673,8
3.0,34.7252,8
3.1,37.5188,8
3.2,36.9372,8
3.3,39.5768,8
3.4,40.9168,9
3.5,42.5636,11
3.6,44.079,15
3.7,45.4988,15
3.8,49.412,16
3.9,53.3608,16
4.0,57.7118,16
4.1,60.698,16
4.2,63.5352,16
4.3,65.9426,18
4.4,68.1886,21
4.5,71.5896,27
4.6,76.299,31
4.7,78.6334,32
4.8,82.2806,32
4.9,85.3988,32
5.0,88.7036,32
5.1,93.3186,33
5.2,96.084,40
5.3,101.5788,44
5.4,105.751,50
5.5,108.566,54
5.6,111.1058,63
5.7,115.1382,64
5.8,120.2724,65
5.9,124.715,66
6.0,130.509,68
6.1,134.8474,75
6.2,141.3172,87
6.3,146.7072,103
6.4,152.2798,112
6.5,159.0092,119
6.6,165.5974,125
6.7,171.8434,127
6.8,178.6448,132
6.9,185.2276,137
7.0,192.4482,155
7.1,200.082,174
7.2,208.248,198
7.3,215.864,220
7.4,224.258,232
7.5,233.934,241
7.6,242.096,253
7.7,252.564,258
7.8,260.55,277
7.9,269.9,303
8.0,278.704,336
8.1,289.622,383
8.2,301.052,422
8.3,311.15,447
8.4,322.136,469
8.5,333.906,494
8.6,344.284,511
8.7,354.826,544
8.8,365.632,594
8.9,377.17,646
9.0,389.056,714
9.1,402.118,780
9.2,415.038,846
9.3,427.84,903
9.4,439.718,954
9.5,451.504,984
9.6,463.34,1050
9.7,476.036,1134
9.8,488.81,1228
9.9,503.67,1347
10.0,518.512,1474
10.1,531.664,1580
10.2,544.036,1682
10.3,556.788,1768
10.4,569.98,1837
10.5,582.482,1937
10.6,596.306,2078
10.7,612.988,2217
10.8,626.998,2386
10.9,640.732,2603
11.0,653.35,2788
11.1,666.534,3094
11.2,680.092,3248
11.3,694.762,3396
11.4,709.95,3588
11.5,726.046,3800
11.6,740.292,4050
11.7,753.216,4360
11.8,766.326,4613
11.9,779.782,4839
12.0,794.102,5065
12.1,808.964,5301
12.2,825.294,5499
12.3,840.3,5765
12.4,854.38,6062
12.5,867.486,6393
12.6,881.272,6760
12.7,895.86,7107
12.8,910.936,7451
12.9,925.944,7757
13.0,941.83,8041
13.1,957.042,8344
13.2,970.6,8654
13.3,984.75,8991
13.4,999.098,9405
13.5,1013.89,9825
13.6,1029.526,10272
13.7,1045.484,10684
13.8,1061.222,11082
13.9,1075.218,11484
14.0,1089.386,11873
14.1,1103.568,12307
14.2,1119.31,12748
14.3,1135.278,13224
14.4,1151.256,13754
14.5,1165.912,14267
14.6,1180.744,14804
14.7,1195.348,15299
14.8,1209.342,15805
14.9,1225.006,16303
15.0,1241.24,16827
15.1,1256.848,17356
15.2,1272.048,17912
15.3,1286.954,18525
15.4,1302.04,19157
15.5,1315.958,19739
15.6,1330.542,20331
15.7,1346.256,20926
15.8,1362.286,21585
15.9,1378.342,22253
16.0,1394.078,22888
16.1,1408.376,23471
16.2,1422.68,24125
16.3,1437.93,24846
16.4,1453.0,25570
16.5,1469.114,26278
16.6,1485.464,27000
16.7,1500.638,27710
16.8,1515.616,28459
16.9,1530.528,29140
17.0,1545.57,29888
17.1,1560.702,30660
17.2,1576.296,31448
17.3,1592.328,32274
17.4,1608.668,33084
17.5,1624.544,33927
17.6,1639.492,34816
17.7,1654.58,35663
17.8,1669.654,36532
17.9,1685.52,37321
18.0,1701.146,38188
18.1,1717.098,39150
18.2,1732.826,40033
18.3,1748.336,40950
18.4,1764.138,41884
18.5,1779.028,42790
18.6,1793.998,43775
18.7,1809.672,44740
18.8,1825.508,45683
18.9,1841.588,46643
19.0,1857.916,47679
19.1,1873.014,48674
19.2,1888.642,49661
19.3,1903.698,50685
19.4,1919.298,51713
19.5,1934.604,52777
19.6,1950.46,53885
19.7,1966.482,55002
19.8,1982.37,56080
19.9,1997.524,57160
20.0,2012.56,58292
20.1,2028.24,59396
20.2,2044.48,60542
20.3,2060.3,61675
20.4,2075.66,62876
20.5,2091.54,64045
20.6,2107.3,65245
20.7,2122.66,66435
20.8,2138.08,67682
20.9,2153.78,68875
21.0,2169.66,70091
21.1,2185.38,71402
21.2,2200.86,72711
21.3,2216.84,74043
21.4,2233.22,75346
21.5,2248.68,76692
21.6,2264.5,78024
21.7,2279.78,79305
21.8,2295.54,80548
21.9,2310.92,81894
22.0,2326.56,83294
22.1,2342.46,84713
22.2,2358.46,86207
22.3,2374.24,87631
22.4,2390.28,89077
22.5,2405.64,90532
22.6,2421.14,91960
22.7,2436.6,93354
22.8,2452.94,94751
22.9,2468.54,96277
23.0,2484.64,97770
23.1,2500.18,99269
23.2,2515.88,100774
23.3,2531.42,102327
23.4,2547.44,103956
23.5,2563.16,105532
23.6,2578.84,107128
23.7,2594.52,108673
23.8,2610.44,110209
23.9,2626.58,111861
24.0,2642.22,113446
24.1,2658.02,115100
24.2,2672.96,116799
24.3,2688.48,118533
24.4,2704.24,120245
24.5,2720.0,121914
24.6,2736.52,123626
24.7,2752.56,125342
24.8,2768.16,127007
24.9,2783.56,128701
25.0,2799.0,130415
25.1,2815.02,132262
25.2,2830.72,134084
25.3,2846.62,135938
25.4,2862.54,137753
25.5,2878.44,139578
25.6,2893.82,141404
25.7,2909.2,143238
25.8,2925.08,145054
25.9,2941.24,146919
