time (day),diameter (um)
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,12.52116
1.0,12.81284
1.1,13.1571
1.2,14.08224
1.3,14.19836
1.4,14.26192
1.5,14.7838
1.6,15.3379
1.7,15.95348
1.8,21.7958
1.9,22.9518
2.0,24.4224
2.1,25.0716
2.2,26.0112
2.3,25.9382
2.4,27.7882
2.5,31.8876
2.6,32.32
2.7,33.0042
2.8,33.5012
2.9,34.673
3.0,34.7252
3.1,37.5188
3.2,36.9372
3.3,39.5768
3.4,40.9168
3.5,42.5636
3.6,44.079
3.7,45.4988
3.8,49.412
3.9,53.3608
4.0,57.7118
4.1,60.698
4.2,63.5352
4.3,65.9426
4.4,68.1886
4.5,71.5896
4.6,76.299
4.7,78.6334
4.8,82.2806
4.9,85.3988
5.0,88.7036
5.1,93.3186
5.2,96.084
5.3,101.5788
5.4,105.751
5.5,108.566
5.6,111.1058
5.7,115.1382
5.8,120.2724
5.9,124.715
6.0,130.509
6.1,134.8474
6.2,141.3172
6.3,146.7072
6.4,152.2798
6.5,159.0092
6.6,165.5974
6.7,171.8434
6.8,178.6448
6.9,185.2276
7.0,192.4482
7.1,200.082
7.2,208.248
7.3,215.864
7.4,224.258
7.5,233.934
7.6,242.096
7.7,252.564
7.8,260.55
7.9,269.9
8.0,278.704
8.1,289.622
8.2,301.052
8.3,311.15
8.4,322.136
8.5,333.906
8.6,344.284
8.7,354.826
8.8,365.632
8.9,377.17
9.0,389.056
9.1,402.118
9.2,415.038
9.3,427.84
9.4,439.718
9.5,451.504
9.6,463.34
9.7,476.036
9.8,488.81
9.9,503.67
10.0,518.512
10.1,531.664
10.2,544.036
10.3,556.788
10.4,569.98
10.5,582.482
10.6,596.306
10.7,612.988
10.8,626.998
10.9,640.732
11.0,653.35
11.1,666.534
11.2,680.092
11.3,694.762
11.4,709.95
11.5,726.046
11.6,740.292
11.7,753.216
11.8,766.326
11.9,779.782
12.0,794.102
12.1,808.964
12.2,825.294
12.3,840.3
12.4,854.38
12.5,867.486
12.6,881.272
12.7,895.86
12.8,910.936
12.9,925.944
13.0,941.83
13.1,957.042
13.2,970.6
13.3,984.75
13.4,999.098
13.5,1013.89
13.6,1029.526
13.7,1045.484
13.8,1061.222
13.9,1075.218
14.0,1089.386
14.1,1103.568
14.2,1119.31
14.3,1135.278
14.4,1151.256
14.5,1165.912
14.6,1180.744
14.7,1195.348
14.8,1209.342
14.9,1225.006
15.0,1241.24
15.1,1256.848
15.2,1272.048
15.3,1286.954
15.4,1302.04
15.5,1315.958
15.6,1330.542
15.7,1346.256
15.8,1362.286
15.9,1378.342
16.0,1394.078
16.1,1408.376
16.2,1422.68
16.3,1437.93
16.4,1453.0
16.5,1469.114
16.6,1485.464
16.7,1500.638
16.8,1515.616
16.9,1530.528
17.0,1545.57
17.1,1560.702
17.2,1576.296
17.3,1592.328
17.4,1608.668
17.5,1624.544
17.6,1639.492
17.7,1654.58
17.8,1669.654
17.9,1685.52
18.0,1701.146
18.1,1717.098
18.2,1732.826
18.3,1748.336
18.4,1764.138
18.5,1779.028
18.6,1793.998
18.7,1809.672
18.8,1825.508
18.9,1841.588
19.0,1857.916
19.1,1873.014
19.2,1888.642
19.3,1903.698
19.4,1919.298
19.5,1934.604
19.6,1950.46
19.7,1966.482
19.8,1982.37
19.9,1997.524
20.0,2012.56
20.1,2028.24
20.2,2044.48
20.3,2060.3
20.4,2075.66
20.5,2091.54
20.6,2107.3
20.7,2122.66
20.8,2138.08
20.9,2153.78
21.0,2169.66
21.1,2185.38
21.2,2200.86
21.3,2216.84
21.4,2233.22
21.5,2248.68
21.6,2264.5
21.7,2279.78
21.8,2295.54
21.9,2310.92
22.0,2326.56
22.1,2342.46
22.2,2358.46
22.3,2374.24
22.4,2390.28
22.5,2405.64
22.6,2421.14
22.7,2436.6
22.8,2452.94
22.9,2468.54
23.0,2484.64
23.1,2500.18
23.2,2515.88
23.3,2531.42
23.4,2547.44
23.5,2563.16
23.6,2578.84
23.7,2594.52
23.8,2610.44
23.9,2626.58
24.0,2642.22
24.1,2658.02
24.2,2672.96
24.3,2688.48
24.4,2704.24
24.5,2720.0
24.6,2736.52
24.7,2752.56
24.8,2768.16
24.9,2783.56
25.0,2799.0
25.1,2815.02
25.2,2830.72
25.3,2846.62
25.4,2862.54
25.5,2878.44
25.6,2893.82
25.7,2909.2
25.8,2925.08
25.9,2941.24
