time_min,center_concentration_uM,average_concentration_uM
0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01
1.000000000000000056e-01,9.047927078068161322e+00,9.275079865071882423e+00
2.000000000000000111e-01,8.186879987545887971e+00,8.767163243174442400e+00
3.000000000000000444e-01,7.408627318953857177e+00,8.382102184504097053e+00
4.000000000000000222e-01,6.709609841614363468e+00,8.082463362027461073e+00
5.000000000000000000e-01,6.089693595793718828e+00,7.845928508977924487e+00
6.000000000000000888e-01,5.548249903884815204e+00,7.657489557531600433e+00
7.000000000000000666e-01,5.082092540752560339e+00,7.506416589809831841e+00
8.000000000000000444e-01,4.685579310683420040e+00,7.384749570228460236e+00
9.000000000000000222e-01,4.351543620054811434e+00,7.286436627513234399e+00
1.000000000000000000e+00,4.072241083669362993e+00,7.206796163623759632e+00
1.100000000000000089e+00,3.840040022396296493e+00,7.142160110637230552e+00
1.200000000000000178e+00,3.647838999469081855e+00,7.089626751487015710e+00
1.300000000000000044e+00,3.489274333515096416e+00,7.046883698698657383e+00
1.400000000000000133e+00,3.358788143415670557e+00,7.012077782220258904e+00
1.500000000000000000e+00,3.251612938516692530e+00,6.983717393007813357e+00
1.600000000000000089e+00,3.163711507117588528e+00,6.960597924621914068e+00
1.700000000000000178e+00,3.091696818113419454e+00,6.941744050868488003e+00
1.800000000000000044e+00,3.032746702446564857e+00,6.926364529254217750e+00
1.900000000000000133e+00,2.984521532416156475e+00,6.913816488305983832e+00
2.000000000000000000e+00,2.945089018522330182e+00,6.903577002909877969e+00
2.100000000000000089e+00,2.912857788961736194e+00,6.895220340028819450e+00
2.200000000000000178e+00,2.886520016922095699e+00,6.888399661347163416e+00
2.300000000000000266e+00,2.865002614973036099e+00,6.882832258083732668e+00
2.400000000000000355e+00,2.847426163262826382e+00,6.878287603630033331e+00
2.500000000000000000e+00,2.833070613893342138e+00,6.874577665917157354e+00
2.600000000000000089e+00,2.821346815828490673e+00,6.871549039399130976e+00
2.700000000000000178e+00,2.811772971459109982e+00,6.869076546948964967e+00
2.800000000000000266e+00,2.803955231313269181e+00,6.867058032116589494e+00
2.900000000000000355e+00,2.797571736811929721e+00,6.865410117207311202e+00
3.000000000000000000e+00,2.792359521346326812e+00,6.864064746147765739e+00
3.100000000000000089e+00,2.788103771844820500e+00,6.862966365758063070e+00
3.200000000000000178e+00,2.784629034209339604e+00,6.862069626800416877e+00
