time_min,center_concentration_uM,average_concentration_uM
0.000000000000000000e+00,9.999766262520905613e+00,9.999766262520907389e+00
1.000000000000000056e-01,8.228616501975970721e+00,9.964503451222784136e+00
2.000000000000000111e-01,8.199753458935266082e+00,9.955727913390518324e+00
3.000000000000000444e-01,8.194274017482134909e+00,9.954033588871626037e+00
4.000000000000000222e-01,8.193217353256439850e+00,9.953706784017768427e+00
5.000000000000000000e-01,8.193013422108675670e+00,9.953643712077331784e+00
6.000000000000000888e-01,8.192974059409747767e+00,9.953631537959202191e+00
7.000000000000000666e-01,8.192966461456956395e+00,9.953629188060000743e+00
8.000000000000000444e-01,8.192964994861545946e+00,9.953628734470528983e+00
9.000000000000000222e-01,8.192964711771603348e+00,9.953628646916309108e+00
1.000000000000000000e+00,8.192964657128088746e+00,9.953628630016130074e+00
