Time (minutes)	total_volume (um^3)	relative_volume	Hours
0	2494	100	0
30	2494	100	0.5
60	2494	100	1
90	2494	100	1.5
120	2542.760239	101.9551018	2
150	2692.534831	107.9604984	2.5
180	2877.351241	115.3709399	3
210	3075.175127	123.3029321	3.5
240	3272.403617	131.2110512	4
270	3461.002768	138.7731663	4.5
300	3636.576535	145.8130126	5
330	3797.069192	152.2481633	5.5
360	3941.897875	158.0552476	6
390	4071.37656	163.2468548	6.5
420	4186.337044	167.856337	7
450	4287.882613	171.9279316	7.5
480	4377.230718	175.5104538	8
510	4455.615016	178.6533687	8.5
540	4524.226694	181.4044384	9
570	4584.181547	183.8084021	9.5
600	4636.503684	185.9063225	10
630	4682.119764	187.7353554	10.5
660	4721.859715	189.3287777	11
690	4756.46125	190.7161688	11.5
720	4786.576442	191.9236745	12
810	4855.399042	194.6832014	13.5
840	4872.64183	195.3745722	14
870	4887.637454	195.9758402	14.5
900	2450.339319	98.24937124	15
930	2456.010137	98.47674966	15.5
960	2460.942089	98.67450235	16
990	2465.231648	98.84649753	16.5
1020	2468.962707	98.99609891	17
1050	2472.208198	99.12623088	17.5
1080	2475.03152	99.23943543	18
1110	2477.487775	99.33792203	18.5
1140	2479.624859	99.42361103	19
1170	2481.484396	99.49817144	19.5
1200	2483.102564	99.5630539	20
1230	2484.510811	99.61951929	20.5
1260	2485.73647	99.66866358	21
1290	2486.803302	99.71143952	21.5
1320	2487.731963	99.74867535	22
1350	2488.540415	99.78109121	22.5
1380	2489.244272	99.80931324	23
1410	2489.857115	99.83388591	23.5
1440	2490.390752	99.85528274	24
